pos	5pC>T
1	0.165217391304348
2	0.0789473684210526
3	0.09375
4	0.0695187165775401
5	0.0396039603960396
6	0.05
7	0.0269058295964126
8	0.0434782608695652
9	0.0414746543778802
10	0.0452261306532663
11	0.014018691588785
12	0.0246913580246914
13	0.0219298245614035
14	0.00930232558139535
15	0.0315315315315315
16	0.014018691588785
17	0.0197044334975369
18	0.0108695652173913
19	0.0224215246636771
20	0.0362694300518135
21	0.0285714285714286
22	0.00546448087431694
23	0.0185185185185185
24	0.0248756218905473
25	0.014218009478673
