# table produced by mapDamage version 2.2.1
# using mapped file JK2782_rmdup.bam and Mammoth_MT_Krause.fasta as reference file
# Std: strand of reads
Std	Length	Occurences 
+	89	8
+	64	6
+	86	3
+	160	1
+	43	10
+	71	7
+	47	8
+	53	7
+	68	10
+	92	8
+	114	4
+	82	10
+	52	15
+	44	4
+	129	7
+	84	8
+	61	6
+	55	10
+	190	2
+	34	3
+	77	8
+	46	5
+	60	9
+	65	8
+	88	9
+	118	1
+	48	10
+	83	6
+	75	10
+	87	5
+	56	9
+	81	6
+	116	2
+	57	3
+	63	8
+	37	2
+	98	5
+	74	10
+	181	2
+	119	2
+	99	5
+	41	3
+	115	1
+	79	5
+	31	1
+	59	9
+	131	2
+	50	8
+	36	2
+	109	4
+	97	3
+	49	8
+	179	1
+	78	6
+	113	2
+	66	12
+	178	1
+	80	3
+	45	5
+	39	2
+	70	9
+	54	4
+	51	4
+	76	7
+	138	1
+	67	2
+	85	4
+	33	1
+	185	2
+	62	6
+	207	1
+	100	3
+	42	1
+	69	4
+	72	4
+	73	7
+	120	2
+	58	3
+	125	4
+	107	5
+	90	6
+	142	3
+	40	2
+	123	2
+	103	1
+	95	3
+	155	3
+	101	4
+	104	4
+	198	1
+	151	2
+	184	1
+	199	2
+	161	2
+	111	1
+	127	1
+	122	2
+	94	3
+	140	1
+	96	3
+	38	1
+	124	2
+	153	1
+	106	2
+	154	1
+	157	2
+	156	1
+	209	1
+	102	2
+	112	3
+	169	1
+	130	2
+	93	1
+	91	2
+	105	2
+	173	1
+	108	2
+	197	1
+	145	1
+	35	1
+	223	1
+	149	2
+	171	1
+	170	2
+	216	1
+	175	1
+	134	1
+	117	1
+	110	1
+	32	1
-	66	6
-	53	10
-	76	9
-	109	5
-	36	2
-	130	3
-	59	10
-	54	4
-	74	4
-	45	5
-	150	1
-	52	4
-	122	7
-	88	7
-	68	4
-	98	7
-	133	4
-	56	10
-	87	8
-	192	1
-	44	3
-	51	6
-	118	2
-	101	3
-	67	15
-	55	3
-	85	8
-	63	9
-	206	1
-	61	9
-	175	1
-	83	6
-	40	2
-	125	2
-	104	5
-	62	7
-	50	8
-	105	5
-	81	12
-	90	4
-	73	9
-	92	9
-	69	11
-	48	6
-	84	2
-	96	5
-	72	9
-	49	7
-	127	4
-	91	9
-	178	2
-	103	3
-	46	6
-	47	7
-	58	7
-	64	5
-	65	7
-	57	7
-	75	4
-	78	9
-	123	2
-	80	4
-	42	4
-	70	10
-	89	5
-	99	4
-	158	2
-	137	3
-	171	1
-	129	4
-	147	2
-	100	4
-	114	3
-	111	4
-	143	2
-	77	4
-	172	1
-	152	1
-	97	5
-	232	1
-	132	1
-	60	3
-	126	2
-	160	2
-	41	2
-	124	6
-	113	3
-	149	1
-	71	3
-	79	2
-	131	3
-	110	2
-	121	1
-	94	5
-	102	2
-	32	1
-	119	2
-	108	4
-	38	2
-	82	2
-	154	2
-	86	3
-	205	1
-	214	1
-	140	1
-	190	1
-	112	3
-	107	1
-	106	1
-	145	2
-	117	1
-	43	2
-	146	1
-	116	2
-	167	1
-	176	1
-	174	1
-	95	2
-	185	1
-	134	1
-	183	1
-	141	1
-	39	1
