#mpa_v31_CHOCOPhlAn_201901
#/usr/local/bin/metaphlan --nproc 6 --input_type fastq lil_bub_SRR22078166_1.fastp.fastq.gz,lil_bub_SRR22078166_2.fastp.fastq.gz --mpa3 --bowtie2out lil_bub_pe_SRR22078166_metaphlan3-db.metaphlan.bowtie2out.txt --bowtie2db metaphlan3 --index mpa_v31_CHOCOPhlAn_201901 --biom lil_bub_pe_SRR22078166_metaphlan3-db.metaphlan.biom --output_file lil_bub_pe_SRR22078166_metaphlan3-db.metaphlan_profile.txt
#28195253 reads processed
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
k__Bacteria	2	100.0	
k__Bacteria|p__Firmicutes	2|1239	44.30422	
k__Bacteria|p__Bacteroidetes	2|976	34.73101	
k__Bacteria|p__Actinobacteria	2|201174	19.85508	
k__Bacteria|p__Proteobacteria	2|1224	1.1097	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	34.73101	
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	27.22983	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	19.75128	
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	10.43539	
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	3.72666	
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	2.3507	
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	0.56164	
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.3951	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.36819	
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	2|1224|29547	0.25993	
k__Bacteria|p__Actinobacteria|c__Actinobacteria	2|201174|1760	0.1038	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	0.07789	
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	2|1224|28211	0.00858	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	34.73101	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	27.22983	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	18.80254	
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified	2|1239||	10.43539	
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	2|1239|909932|1843489	3.71535	
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	2.3507	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	2|201174|84998|1643822	0.94873	
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	0.56164	
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	2|1224|28221|213115	0.3951	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	2|1224|28216|80840	0.36819	
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales	2|1224|29547|213849	0.25993	
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales	2|201174|1760|85007	0.09608	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	2|1224|1236|91347	0.07789	
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	2|1239|909932|909929	0.01131	
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales	2|1224|28211|204441	0.00858	
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	2|201174|1760|85004	0.00772	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	2|976|200643|171549|815	21.35127	
