LENGTH	Example_101	Example_102	Example_103	Example_109	Example_110	Example_111	Example_117	Example_118	Example_119	Example_125	Example_126	Example_127	Example_133	Example_134	Example_135	Example_141	Example_142	Example_143	Example_201
0	466974	370171	164713	405296	483490	256203	417386	370820	407721	537038	693210	463790	760178	568597	518886	1232949	602308	530762	15939
1	21901	15116	8296	18262	17281	11271	18314	12825	15187	21033	21061	18565	31843	18181	20639	43621	18230	15432	442
2	99005	82433	43827	64913	76849	52607	79772	61152	72310	65151	74548	70903	78252	74596	75709	91135	76883	1957	4096
3	29983	20286	14031	19029	19333	15316	23169	14878	23743	19199	17026	19215	23199	16063	21874	25976	16199	1660	1211
4	15449	12336	7593	10574	11127	7823	12301	7978	11722	12149	10130	11424	14219	9790	11789	15797	10013	3155	630
5	15248	10174	9875	9523	11008	7117	13062	6860	13580	11257	10123	10020	13566	9492	10867	14140	10861	3446	688
6	28645	21754	24211	21919	21006	18817	24664	14705	25670	22708	16914	20561	26374	17467	22714	22815	18576	3239	1621
7	109344	74161	71526	84916	68470	64393	84699	46898	91975	85070	51630	65298	86558	50488	72912	88039	49246	12492	5934
8	51440	37021	35371	42273	41941	34736	48866	31230	52131	53105	52807	38160	64664	45018	44113	68858	38458	30466	2921
9	70186	51046	45483	56461	48299	43617	59307	37820	71594	65452	42937	43279	71516	35759	44390	59614	31996	16835	4561
10	126648	80024	87386	85210	71305	78679	103614	55759	130552	85131	53005	79054	91822	44120	73067	81670	42272	2704	9685
11	39818	34037	29970	37973	35653	31684	40215	31040	36340	42886	32930	27790	46318	28141	29115	38747	27390	8038	3665
12	66177	46428	42756	63465	46039	45944	57844	36724	53876	74391	45411	50116	81909	36777	52503	79557	35934	33250	3941
13	209064	116317	110085	200754	114298	118637	143211	85915	126577	213872	125051	150338	269595	104019	166192	302389	90118	120093	6714
14	155516	104486	88210	151375	112572	99478	134190	92633	114593	169413	140197	125915	242790	113968	148580	274144	102955	104599	8707
15	73156	60342	57814	73229	65793	58376	72517	55239	63744	93425	73139	66907	111019	63440	68296	117628	65015	33292	6528
16	91375	76678	94448	95906	84536	82858	87861	72627	100690	116772	91573	99176	132732	78549	87607	145354	80706	34754	9784
17	77344	71773	90702	81339	72054	80442	85352	67677	91343	107238	75041	94376	121625	65779	81571	95860	74327	14780	12535
18	68112	71768	98197	82385	74743	83602	89193	79914	91866	110789	79379	88083	123115	65578	75394	88075	68611	8447	13355
19	67009	79142	124800	91095	81601	99310	88726	97641	109171	111574	107609	106361	120313	81638	87421	90299	79962	3441	16026
20	236911	338694	327900	332390	341433	346552	312263	439070	371441	313844	572582	418056	361194	440025	369385	356685	363921	9577	82167
21	768075	1149348	954497	1024359	1117043	1066573	1015786	1315380	1172148	954565	1524157	1216650	1104237	1146948	1100318	1026858	988215	20241	240817
22	2382231	3522432	2956154	3210938	3427556	3374146	2997162	4144945	3592931	2837261	4643127	3546806	3425901	3623198	3352919	3309867	3034662	56247	751757
23	1032164	1430652	1032928	1175631	1418898	1203815	1259340	1499672	1382251	1182962	1625545	1359952	1324148	1439950	1299302	1277337	1296967	18809	264695
24	653885	778164	634246	758584	804500	760480	750159	896637	854206	748080	869059	806683	826777	747671	764628	815058	665861	9549	142089
25	143623	164757	223180	147168	174653	153644	182484	154634	236209	194687	152470	188608	196243	140950	155120	164167	174346	2888	28853
