DISTINCT_MIRNA_HAIRPINS_ACCUMULATED_COUNT	Example_101	Example_102	Example_103	Example_109	Example_110	Example_111	Example_117	Example_118	Example_119	Example_125	Example_126	Example_127	Example_133	Example_134	Example_135	Example_141	Example_142	Example_143	Example_201
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	10	1	2	3	1	0	4	3	5	7	4	7	10	1	1	3	12	20	9
2	10	1	2	3	1	1	5	4	6	7	4	7	10	2	2	3	12	20	9
3	18	3	2	7	10	2	5	4	6	7	5	15	11	2	2	11	12	20	23
4	18	3	2	20	10	2	6	8	6	19	12	16	11	8	3	12	12	20	23
5	19	4	2	20	10	12	12	8	9	19	15	22	13	8	3	16	14	47	77
6	32	4	2	31	11	12	12	13	17	29	16	27	13	10	3	18	17	51	77
7	37	5	6	32	16	16	12	13	26	29	16	27	13	10	4	18	17	51	77
8	43	6	6	32	23	16	12	18	27	29	16	28	13	11	4	22	18	55	77
9	43	9	8	32	32	17	25	18	27	29	19	28	13	15	4	22	42	64	77
10	43	15	14	32	39	19	26	26	35	39	24	28	14	15	4	24	42	70	78
11	44	15	14	35	44	19	30	26	35	39	24	29	14	17	11	28	42	70	78
12	44	53	21	35	44	21	30	27	35	58	26	32	14	20	11	31	56	92	81
13	44	53	27	51	44	36	36	27	35	58	32	32	14	20	22	31	56	103	118
14	44	56	27	68	44	36	36	28	35	62	32	34	15	28	22	31	56	109	152
15	47	56	30	68	44	38	40	28	35	75	32	34	15	28	23	35	56	157	152
16	57	56	30	83	44	41	40	29	52	81	40	35	25	41	34	40	64	168	157
17	67	56	41	83	46	41	43	29	52	81	48	35	25	41	34	40	64	169	157
18	67	56	44	83	46	48	43	29	52	82	48	35	39	41	35	44	86	169	251
19	70	57	44	92	57	61	47	29	59	82	52	38	44	54	35	44	86	187	419
20	85	60	81	100	64	63	75	29	59	118	56	38	57	54	50	44	86	260	482
21	97	60	84	100	70	69	75	29	106	118	56	38	66	54	50	44	89	261	537
22	97	67	84	120	70	69	77	44	106	126	56	50	74	54	51	50	95	261	539
23	110	67	87	120	106	69	77	54	110	130	58	50	74	93	51	50	97	261	539
24	120	67	109	121	106	69	89	54	110	137	58	54	80	93	62	52	97	361	625
25	123	70	109	143	112	79	90	56	118	137	64	54	80	100	72	52	101	483	625
26	123	70	134	143	112	80	90	60	118	159	64	60	111	112	72	57	101	494	625
27	144	72	134	149	134	80	90	70	162	159	64	60	111	114	81	57	107	494	627
28	144	75	152	190	179	84	96	99	162	164	64	66	128	131	83	57	107	543	663
29	161	75	152	202	186	84	96	99	178	164	64	77	128	155	86	57	115	638	663
30	168	80	156	220	213	92	111	106	180	167	64	101	131	167	96	57	115	638	663
31	168	80	156	220	267	96	114	142	229	167	70	108	135	169	97	85	117	662	712
32	190	95	232	236	267	96	114	149	229	174	76	108	140	169	103	85	120	692	782
33	277	95	298	236	271	103	166	149	239	185	87	126	143	180	103	94	123	692	782
34	279	101	299	241	284	138	166	156	259	231	94	132	143	186	103	97	155	751	790
35	291	113	303	261	314	138	211	156	416	231	94	132	144	186	103	132	176	799	790
36	334	120	303	261	355	152	267	182	423	271	102	150	144	210	104	132	188	804	888
37	334	120	306	273	356	152	267	199	423	271	102	156	145	210	104	137	212	938	929
38	366	125	327	298	358	175	299	199	481	271	108	249	145	218	112	150	215	938	929
39	366	125	327	299	358	190	299	213	481	274	118	249	212	218	112	150	217	938	1011
40	391	131	350	334	358	199	319	213	481	329	118	308	266	223	112	168	217	1011	1075
41	400	158	383	334	367	205	319	227	498	342	120	308	266	242	163	168	234	1135	1075
42	402	172	401	348	378	205	358	233	498	349	146	325	334	245	163	247	234	1194	1098
43	434	188	448	363	378	216	390	250	504	404	157	413	335	245	183	296	241	1194	1098
44	444	272	450	363	378	216	438	250	517	417	171	435	335	267	183	357	241	1252	1229
45	444	300	467	363	383	233	438	268	597	417	175	470	342	283	187	360	267	1276	1263
46	584	315	481	376	385	233	438	268	606	428	182	510	342	292	209	394	267	1345	1348
47	584	345	481	394	404	237	450	268	708	518	182	517	367	292	215	394	268	1345	1348
48	602	351	520	489	515	249	450	268	719	521	251	517	498	292	215	403	292	1353	1399
49	629	401	524	489	515	258	473	278	719	573	261	522	550	323	216	452	390	1393	1410
50	710	424	532	523	528	260	484	287	722	573	279	581	595	334	226	452	414	1393	1530
51	745	549	610	528	528	301	485	312	768	573	279	605	629	334	236	454	424	1411	1563
52	774	584	611	544	548	324	510	319	824	575	294	611	629	350	260	492	458	1556	1632
53	782	584	611	584	561	333	617	369	839	625	299	639	678	363	268	514	458	1556	1646
54	782	584	627	584	566	333	665	388	860	627	309	639	712	368	287	514	486	1626	1859
55	782	619	637	588	566	355	670	411	905	628	331	643	712	377	338	529	522	1824	1895
56	940	650	736	616	635	361	671	424	905	658	331	786	713	377	365	529	580	1902	1979
57	940	669	780	616	654	439	671	436	916	658	356	786	740	388	425	529	580	2024	2175
58	1064	673	798	616	698	470	676	436	933	658	360	802	740	405	473	534	585	2025	2213
59	1064	675	930	616	698	582	721	463	1001	721	362	962	871	405	558	544	645	2082	2354
60	1093	690	930	661	710	582	725	491	1029	721	388	967	979	469	571	595	674	2153	2493
61	1155	708	945	674	710	604	732	525	1134	728	432	989	1001	604	642	601	674	2198	2970
62	1415	708	1008	674	753	604	732	537	1165	729	432	1006	1124	615	662	601	674	2199	2970
63	1437	723	1064	674	753	639	745	537	1206	945	440	1006	1171	615	678	604	689	2373	2970
64	1452	741	1064	687	753	656	1030	631	1274	1114	441	1006	1171	618	703	629	745	2373	3429
65	1452	812	1064	788	753	671	1073	637	1309	1144	453	1046	1171	618	703	629	783	2600	4030
66	1453	826	1066	788	790	744	1089	647	1309	1204	456	1051	1184	618	838	694	815	2664	4030
67	1497	826	1094	814	790	853	1363	712	1388	1275	484	1061	1192	659	840	758	849	2692	4259
68	1650	848	1249	896	817	869	1463	712	1403	1407	500	1096	1192	696	842	833	1000	3170	4259
69	1752	848	1280	1033	950	916	1671	843	1403	1420	526	1096	1192	738	865	845	1111	3170	4269
70	1765	848	1280	1049	1047	940	1671	887	1553	1477	545	1096	1215	738	865	856	1165	3866	4349
71	1788	899	1280	1114	1047	1064	1817	903	1648	1477	553	1160	1215	738	865	859	1207	3866	4809
72	2028	934	1315	1123	1083	1140	1835	917	1696	1477	563	1160	1301	738	880	859	1277	3866	4895
73	2028	941	1370	1123	1124	1162	2040	925	1696	1483	578	1315	1317	791	943	916	1277	3878	5597
74	2076	998	1370	1127	1124	1162	2040	1041	1739	1532	586	1333	1450	842	943	935	1284	3925	5786
75	2496	998	1398	1131	1124	1165	2040	1076	1747	1543	605	1333	1555	905	943	935	1311	3925	5916
76	2496	998	1457	1216	1290	1175	2236	1109	1754	1696	622	1404	1756	905	943	1029	1397	3925	6471
77	2496	1049	1481	1240	1367	1175	2280	1109	1761	1731	629	1404	1804	968	944	1140	1436	3946	6592
78	2644	1301	1534	1315	1397	1229	2308	1171	2055	1803	642	1488	1804	973	944	1140	1436	4059	6674
79	2843	1327	1534	1315	1424	1265	2415	1179	2098	1809	642	1488	2026	973	972	1140	1436	4336	7188
80	2973	1327	1559	1453	1428	1265	2535	1269	2594	1816	758	1790	2081	973	982	1235	1436	4432	7533
81	3013	1506	1569	1567	1485	1834	2535	1319	2618	2105	758	1796	2272	1124	985	1250	1512	4468	7611
82	3280	1684	1645	1592	1620	1984	2573	1322	2628	2105	945	1796	2421	1124	1033	1257	1539	4526	8194
83	3282	1684	1681	1651	1801	2009	2573	1339	2641	2197	954	1905	2721	1127	1076	1274	1627	4526	8312
84	3672	1684	1730	1651	1801	2009	2573	1345	2851	2427	1032	1920	2789	1335	1138	1469	1780	4808	8312
85	3692	1886	1737	1887	1826	2009	2739	1345	2872	2450	1234	1963	2876	1349	1176	1604	1860	4808	8312
86	3833	1945	2213	1916	1934	2056	2759	1345	2872	2661	1234	2002	3080	1420	1310	1760	1941	4950	8424
87	3833	1975	2213	1999	2063	2448	2805	1448	3122	2661	1266	2021	3080	1425	1366	1899	1974	4950	9040
88	3834	2319	2213	2100	2071	2549	3144	1448	3122	2661	1320	2186	3153	1425	1403	1899	2154	5457	9213
89	4308	2392	2235	2105	2243	2549	3334	1495	3169	2661	1407	2248	3347	1479	1403	1899	2183	5794	9969
90	4308	2535	2235	2125	2243	2738	3573	1498	3169	2723	1445	2508	3543	1513	1403	2103	2415	6485	10855
91	4519	2574	2268	2244	2243	2804	3629	1498	3208	2844	1445	2530	3770	1631	1614	2221	2415	6923	10855
