## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates  --input /ifs/data/nfs_share/sukmb352/projects/pipelines/exomes/trio/test_gatk4/work/18/9776617f54b6e40a5a4089cff2f663/S00111_G00076-L2_G00076-L2_1.aligned.bam --output S00111.dedup.bam --METRICS_FILE S00111_duplicate_metrics.txt --CREATE_INDEX true --CREATE_MD5_FILE true --reference /ifs/data/nfs_share/ikmb_repository/references/gatk/bundle/2.8/hg19/ucsc.hg19.fasta --TMP_DIR tmp  --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --reportMemoryStats false --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --REMOVE_DUPLICATES false --ASSUME_SORTED false --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --READ_NAME_REGEX [a-zA-Z0-9]+:[0-9]:([0-9]+):([0-9]+):([0-9]+).* --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 1 --MAX_RECORDS_IN_RAM 500000 --help false --version false --showHidden false --verbosity INFO --QUIET false --use_jdk_deflater false --use_jdk_inflater false --gcs_max_retries 20
## htsjdk.samtools.metrics.StringHeader
# Started on: September 15, 2017 11:38:03 AM CEST

## METRICS CLASS	org.broadinstitute.hellbender.utils.read.markduplicates.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
G00076-L2	13100	58215697	28148	8403	13135364	7644919	0.225679	215714835

## HISTOGRAM	java.lang.Double
BIN	VALUE
1.0	1.131795
2.0	1.995894
3.0	2.655613
4.0	3.159292
5.0	3.543839
6.0	3.837432
7.0	4.061583
8.0	4.232717
9.0	4.363374
10.0	4.463127
11.0	4.539286
12.0	4.597432
13.0	4.641825
14.0	4.675718
15.0	4.701594
16.0	4.72135
17.0	4.736433
18.0	4.747949
19.0	4.756741
20.0	4.763454
21.0	4.768578
22.0	4.772491
23.0	4.775478
24.0	4.777759
25.0	4.7795
26.0	4.78083
27.0	4.781845
28.0	4.782619
29.0	4.783211
30.0	4.783663
31.0	4.784008
32.0	4.784271
33.0	4.784472
34.0	4.784625
35.0	4.784742
36.0	4.784832
37.0	4.7849
38.0	4.784952
39.0	4.784992
40.0	4.785023
41.0	4.785046
42.0	4.785064
43.0	4.785077
44.0	4.785087
45.0	4.785095
46.0	4.785101
47.0	4.785106
48.0	4.785109
49.0	4.785112
50.0	4.785114
51.0	4.785116
52.0	4.785117
53.0	4.785118
54.0	4.785118
55.0	4.785119
56.0	4.785119
57.0	4.78512
58.0	4.78512
59.0	4.78512
60.0	4.78512
61.0	4.78512
62.0	4.78512
63.0	4.785121
64.0	4.785121
65.0	4.785121
66.0	4.785121
67.0	4.785121
68.0	4.785121
69.0	4.785121
70.0	4.785121
71.0	4.785121
72.0	4.785121
73.0	4.785121
74.0	4.785121
75.0	4.785121
76.0	4.785121
77.0	4.785121
78.0	4.785121
79.0	4.785121
80.0	4.785121
81.0	4.785121
82.0	4.785121
83.0	4.785121
84.0	4.785121
85.0	4.785121
86.0	4.785121
87.0	4.785121
88.0	4.785121
89.0	4.785121
90.0	4.785121
91.0	4.785121
92.0	4.785121
93.0	4.785121
94.0	4.785121
95.0	4.785121
96.0	4.785121
97.0	4.785121
98.0	4.785121
99.0	4.785121
100.0	4.785121

