## net.sf.picard.metrics.StringHeader
# net.sf.picard.analysis.CollectGcBiasMetrics REFERENCE_SEQUENCE=/projects/ExampleProj/sequence/reference/genome.fa INPUT=/projects/ExampleProj/P0001_101/alignments/P0001_101/P0001_101.bam OUTPUT=P0001_101.collectGcBias.txt CHART_OUTPUT=P0001_101.collectGcBias.pdf ASSUME_SORTED=true TMP_DIR=[/scratch] VALIDATION_STRINGENCY=LENIENT    WINDOW_SIZE=100 MINIMUM_GENOME_FRACTION=1.0E-5 IS_BISULFITE_SEQUENCED=false VERBOSITY=INFO QUIET=false COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false
## net.sf.picard.metrics.StringHeader
# Started on: Tue Sep 08 18:50:08 CEST 2015

## METRICS CLASS	net.sf.picard.analysis.GcBiasDetailMetrics
GC	WINDOWS	READ_STARTS	MEAN_BASE_QUALITY	NORMALIZED_COVERAGE	ERROR_BAR_WIDTH
0	941	6768449	15	102371.091849	39.348914
1	6653	1388	16	2.96927	0.079699
2	22596	3098	17	1.951316	0.035058
3	54415	6422	17	1.679691	0.02096
4	112172	11767	17	1.492998	0.013763
5	200273	19584	17	1.391736	0.009945
6	330687	29059	16	1.250666	0.007337
7	496852	38385	16	1.099543	0.005612
8	708148	51943	16	1.043953	0.004581
9	973256	74995	16	1.096688	0.004005
10	1284308	95982	16	1.063649	0.003433
11	1642428	101111	16	0.876173	0.002755
12	2061700	125006	15	0.862945	0.002441
13	2531838	175609	15	0.987163	0.002356
14	3065089	230014	15	1.068044	0.002227
15	3659461	244128	15	0.949463	0.001922
16	4352472	247401	14	0.80899	0.001626
17	5175755	303026	15	0.833267	0.001514
18	6186718	316553	14	0.728222	0.001294
19	7459217	376543	14	0.718454	0.001171
20	9131945	434454	14	0.677109	0.001027
21	11308831	524289	14	0.659828	0.000911
22	14118767	647511	14	0.652722	0.000811
23	17709236	876196	14	0.704173	0.000752
24	22157749	1040691	14	0.668458	0.000655
25	27485553	1285142	14	0.665464	0.000587
26	33659691	1591514	13	0.672943	0.000533
27	40568366	1967494	13	0.690246	0.000492
28	47989781	2345886	13	0.695722	0.000454
29	55626320	2802880	13	0.717137	0.000428
30	63042934	3246462	13	0.732912	0.000407
31	69856283	3674864	13	0.74871	0.000391
32	75659825	4113374	13	0.773768	0.000382
33	80090129	4507461	13	0.800997	0.000377
34	82884009	4834238	13	0.830109	0.000378
35	83872635	5029245	13	0.853415	0.000381
36	82963902	5161884	13	0.885517	0.00039
37	80225076	5184721	13	0.919799	0.000404
38	75871550	5160999	13	0.968128	0.000426
39	70150994	4950790	13	1.004427	0.000451
40	63514082	4738117	13	1.061729	0.000488
41	56324762	4412647	13	1.115007	0.000531
42	48953223	4023616	13	1.169804	0.000583
43	41714587	3582603	13	1.22233	0.000646
44	34871539	3115168	13	1.271417	0.00072
45	28594321	2698498	13	1.343136	0.000818
46	23010709	2237882	13	1.384156	0.000925
47	18166973	1907438	13	1.494327	0.001082
48	14105452	1524274	13	1.537991	0.001246
49	10740042	1219146	13	1.615577	0.001463
50	8023197	988481	14	1.753471	0.001764
51	5891916	770033	14	1.860076	0.00212
52	4266016	667095	14	2.225579	0.002725
53	3046660	441304	14	2.06154	0.003103
54	2151245	338638	14	2.24039	0.00385
55	1509079	218782	14	2.063371	0.004411
56	1051587	160423	15	2.171197	0.005421
57	732884	117601	15	2.283776	0.00666
58	509885	84256	15	2.351833	0.008102
59	353524	63840	15	2.57011	0.010172
60	243012	44825	16	2.625248	0.0124
61	166074	33676	16	2.886002	0.015727
62	112277	28057	16	3.556544	0.021233
63	75648	15907	16	2.992738	0.023729
64	51187	12909	16	3.589308	0.031591
65	34535	10926	16	4.502768	0.043077
66	23436	6938	15	4.21336	0.050584
67	15819	5307	15	4.774719	0.065543
68	10513	5385	16	7.290156	0.099345
69	6758	3603	16	7.58794	0.126413
70	4284	3154	16	10.478281	0.186577
71	2837	1917	16	9.617021	0.219649
72	1941	1343	16	9.847552	0.268714
73	1220	1777	17	20.730291	0.49177
74	777	1125	16	20.60674	0.614374
75	483	1554	17	45.791164	1.161599
76	245	406	15	23.585101	1.170509
77	100	223	15	31.738227	2.125349
78	37	186	14	71.546603	5.246051
79	13	128	13	140.134289	12.386238
80	7	35	14	71.161944	12.028564
81	8	0	0	0	0
82	2	0	0	0	0


