## htsjdk.samtools.metrics.StringHeader
# picard.analysis.CollectGcBiasMetrics CHART_OUTPUT=SRR4238355_subsamp.sorted.gc_bias_metrics.pdf SUMMARY_OUTPUT=SRR4238355_subsamp.sorted.summary_metrics.txt INPUT=SRR4238355_subsamp.sorted.bam OUTPUT=SRR4238355_subsamp.sorted.gc_bias_metrics.txt REFERENCE_SEQUENCE=genome.fa    SCAN_WINDOW_SIZE=100 MINIMUM_GENOME_FRACTION=1.0E-5 IS_BISULFITE_SEQUENCED=false METRIC_ACCUMULATION_LEVEL=[ALL_READS] ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json
## htsjdk.samtools.metrics.StringHeader
# Started on: Wed Apr 05 11:15:24 UTC 2017

## METRICS CLASS	picard.analysis.GcBiasDetailMetrics
ACCUMULATION_LEVEL	GC	WINDOWS	READ_STARTS	MEAN_BASE_QUALITY	NORMALIZED_COVERAGE	ERROR_BAR_WIDTH	SAMPLE	LIBRARY	READ_GROUP
All Reads	0	886	0	0	0	0			
All Reads	1	2199	0	0	0	0			
All Reads	2	3458	1	0	0.036532	0.036532			
All Reads	3	3800	0	0	0	0			
All Reads	4	4027	0	0	0	0			
All Reads	5	3777	0	0	0	0			
All Reads	6	3431	1	0	0.03682	0.03682			
All Reads	7	2923	0	0	0	0			
All Reads	8	2865	1	0	0.044094	0.044094			
All Reads	9	2412	0	0	0	0			
All Reads	10	2766	1	0	0.045672	0.045672			
All Reads	11	2940	0	0	0	0			
All Reads	12	2998	0	0	0	0			
All Reads	13	3348	3	0	0.113198	0.065355			
All Reads	14	3618	8	0	0.279335	0.09876			
All Reads	15	4650	16	0	0.434681	0.10867			
All Reads	16	5520	46	34	1.052743	0.155218			
All Reads	17	7380	34	28	0.582004	0.099813			
All Reads	18	9733	38	28	0.49322	0.080011			
All Reads	19	13207	132	30	1.262622	0.109897			
All Reads	20	18144	153	34	1.065275	0.086122			
All Reads	21	25053	177	32	0.892518	0.067086			
All Reads	22	32875	236	30	0.90688	0.059033			
All Reads	23	44420	250	28	0.710992	0.044967			
All Reads	24	60937	315	31	0.65303	0.036794			
All Reads	25	82091	408	30	0.627868	0.031084			
