#SentieonCommandLine: /mnt/ix1/Resources/tools/sentieon-genomics/v201808.08/libexec/driver -t 8 -i Pinsky_150_repl1_PE.st.mdup.bam -r /mnt/ix1/Projects_lite/20200402_BL_COVID_primer_selection/00_seq/reference_genome/merged.fasta --algo GCBias --summary Pinsky_150_repl1_PE.st.mdup.metrics.GCsummary Pinsky_150_repl1_PE.st.mdup.metrics.GCmetrics
ACCUMULATION_LEVEL	READS_USED	GC	WINDOWS	READ_STARTS	MEAN_BASE_QUALITY	NORMALIZED_COVERAGE	ERROR_BAR_WIDTH	SAMPLE	LIBRARY	READ_GROUP	
All Reads	ALL	0	133402	0	0	0.000000	0.000000				
All Reads	ALL	1	96778	0	0	0.000000	0.000000				
All Reads	ALL	2	112145	0	0	0.000000	0.000000				
All Reads	ALL	3	142995	0	0	0.000000	0.000000				
All Reads	ALL	4	154320	0	0	0.000000	0.000000				
All Reads	ALL	5	157807	0	0	0.000000	0.000000				
All Reads	ALL	6	178809	0	0	0.000000	0.000000				
All Reads	ALL	7	192237	0	0	0.000000	0.000000				
All Reads	ALL	8	219150	0	0	0.000000	0.000000				
All Reads	ALL	9	247666	0	0	0.000000	0.000000				
All Reads	ALL	10	291586	0	0	0.000000	0.000000				
All Reads	ALL	11	356793	0	0	0.000000	0.000000				
All Reads	ALL	12	465979	0	0	0.000000	0.000000				
All Reads	ALL	13	615239	0	0	0.000000	0.000000				
All Reads	ALL	14	873141	0	0	0.000000	0.000000				
All Reads	ALL	15	1285786	0	0	0.000000	0.000000				
All Reads	ALL	16	1924728	0	0	0.000000	0.000000				
All Reads	ALL	17	2891023	0	0	0.000000	0.000000				
All Reads	ALL	18	4335741	0	0	0.000000	0.000000				
All Reads	ALL	19	6401990	0	0	0.000000	0.000000				
All Reads	ALL	20	9247196	0	0	0.000000	0.000000				
All Reads	ALL	21	13006686	0	0	0.000000	0.000000				
All Reads	ALL	22	17758785	0	0	0.000000	0.000000				
All Reads	ALL	23	23572441	1	0	0.003357	0.003357				
All Reads	ALL	24	30422767	3	16	0.007804	0.004506				
All Reads	ALL	25	38149000	164	23	0.340235	0.026568				
All Reads	ALL	26	46458629	945	21	1.609843	0.052368				
All Reads	ALL	27	55140664	1925	21	2.762974	0.062974				
All Reads	ALL	28	63902764	1462	21	1.810697	0.047356				
All Reads	ALL	29	72442368	1750	23	1.911892	0.045703				
All Reads	ALL	30	80581804	2181	23	2.142085	0.045868				
All Reads	ALL	31	88166020	2205	24	1.979363	0.042152				
All Reads	ALL	32	95039613	3624	24	3.017877	0.050131				
All Reads	ALL	33	101108971	3211	24	2.513441	0.044356				
All Reads	ALL	34	106389043	3554	22	2.643861	0.044349				
All Reads	ALL	35	110788948	1949	23	1.392302	0.031538				
All Reads	ALL	36	114268035	1350	24	0.935033	0.025448				
All Reads	ALL	37	116113114	1795	25	1.223492	0.028878				
All Reads	ALL	38	115909514	2391	24	1.632595	0.033388				
All Reads	ALL	39	113902342	2382	25	1.655111	0.033912				
All Reads	ALL	40	110366380	1313	24	0.941556	0.025984				
All Reads	ALL	41	105409457	774	24	0.581138	0.020889				
All Reads	ALL	42	99545616	1352	25	1.074911	0.029234				
All Reads	ALL	43	93501935	1973	24	1.670031	0.037598				
All Reads	ALL	44	88089560	580	25	0.521101	0.021638				
All Reads	ALL	45	83721482	87	25	0.082243	0.008817				
