## htsjdk.samtools.metrics.StringHeader
# CollectHsMetrics BAIT_INTERVALS=[trusight_cancer_manifest_a.txt.interval_list] TARGET_INTERVALS=[trusight_cancer_manifest_a.txt.interval_list] INPUT=TestSample.bam OUTPUT=TestSample.HsMetrics.txt PER_TARGET_COVERAGE=TestSample.coverage.csv REFERENCE_SEQUENCE=/media/Databases/Genomes/Homo_sapiens/UCSC/hg19/Sequence/WholeGenomeFASTA/genome.fa    METRIC_ACCUMULATION_LEVEL=[ALL_READS] NEAR_DISTANCE=250 MINIMUM_MAPPING_QUALITY=20 MINIMUM_BASE_QUALITY=20 CLIP_OVERLAPPING_READS=true COVERAGE_CAP=200 SAMPLE_SIZE=10000 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Dec 05 14:29:16 CET 2017

## METRICS CLASS	picard.analysis.directed.HsMetrics
BAIT_SET	GENOME_SIZE	BAIT_TERRITORY	TARGET_TERRITORY	BAIT_DESIGN_EFFICIENCY	TOTAL_READS	PF_READS	PF_UNIQUE_READS	PCT_PF_READS	PCT_PF_UQ_READS	PF_UQ_READS_ALIGNED	PCT_PF_UQ_READS_ALIGNED	PF_BASES_ALIGNED	PF_UQ_BASES_ALIGNED	ON_BAIT_BASES	NEAR_BAIT_BASES	OFF_BAIT_BASES	ON_TARGET_BASES	PCT_SELECTED_BASES	PCT_OFF_BAIT	ON_BAIT_VS_SELECTED	MEAN_BAIT_COVERAGE	MEAN_TARGET_COVERAGE	MEDIAN_TARGET_COVERAGE	MAX_TARGET_COVERAGE	PCT_USABLE_BASES_ON_BAIT	PCT_USABLE_BASES_ON_TARGET	FOLD_ENRICHMENT	ZERO_CVG_TARGETS_PCT	PCT_EXC_DUPE	PCT_EXC_MAPQ	PCT_EXC_BASEQ	PCT_EXC_OVERLAP	PCT_EXC_OFF_TARGET	FOLD_80_BASE_PENALTY	PCT_TARGET_BASES_1X	PCT_TARGET_BASES_2X	PCT_TARGET_BASES_10X	PCT_TARGET_BASES_20X	PCT_TARGET_BASES_30X	PCT_TARGET_BASES_40X	PCT_TARGET_BASES_50X	PCT_TARGET_BASES_100X	HS_LIBRARY_SIZE	HS_PENALTY_10X	HS_PENALTY_20X	HS_PENALTY_30X	HS_PENALTY_40X	HS_PENALTY_50X	HS_PENALTY_100X	AT_DROPOUT	GC_DROPOUT	HET_SNP_SENSITIVITY	HET_SNP_Q	SAMPLE	LIBRARY	READ_GROUP
trusight_cancer_manifest_a	3095693983	251096	251096	1	2158940	2158940	2158940	1	1	2122634	0,983183	302559667	302559667	126402874	125111881	51044912	81570694	0,83129	0,16871	0,502566	503,40457	324,858596	200	1560	0,407739	0,263124	5150,674956	0,001152	0	0,040727	0,010108	0,296034	0,65945	2,498912	0,997837	0,994791	0,986503	0,978996	0,969769	0,959952	0,949254	0,860862		0	0	0	0	0	0	0,955593	16,358303	0,994447	23			

## HISTOGRAM	java.lang.Integer
coverage_or_base_quality	high_quality_coverage_count	unfiltered_baseq_count
0	543	0
1	765	0
2	365	0
3	288	0
4	345	0
5	279	0
6	246	0
7	184	0
8	201	0
9	173	0
10	195	0
11	168	0
12	158	36464
13	169	28748
14	170	226155
15	164	232012
16	171	584254
17	240	195385
18	198	201085
19	252	65393
20	247	113027
21	241	4835
22	243	0
23	255	0
24	240	15739
25	182	9518
26	227	13779
27	212	51236
28	233	4958
29	237	136794
30	217	177905
31	280	127839
32	240	962895
33	245	1511051
34	286	1312784
35	247	680535
36	253	1012555
37	224	4953261
38	217	10136750
39	256	20198162
40	232	106975
41	259	0
42	221	0
43	249	0
44	284	0
45	274	0
46	273	0
47	296	0
48	292	0
49	306	0
50	305	0
51	353	0
52	357	0
53	388	0
54	376	0
55	408	0
56	374	0
57	366	0
58	409	0
59	413	0
60	402	0
61	376	0
62	361	0
63	363	0
64	398	0
65	386	0
66	403	0
67	443	0
68	440	0
69	421	0
70	424	0
71	443	0
72	454	0
73	466	0
74	461	0
75	491	0
76	489	0
77	484	0
78	474	0
79	476	0
80	473	0
81	440	0
82	459	0
83	503	0
84	495	0
85	526	0
86	462	0
87	515	0
88	474	0
89	511	0
90	479	0
91	498	0
92	479	0
93	452	0
94	522	0
95	493	0
96	461	0
97	547	0
98	481	0
99	521	0
100	478	0
101	514	0
102	460	0
103	499	0
104	476	0
105	490	0
106	533	0
107	533	0
108	552	0
109	534	0
110	523	0
111	532	0
112	500	0
113	489	0
114	487	0
115	525	0
116	506	0
117	517	0
118	478	0
119	531	0
120	500	0
121	520	0
122	498	0
123	517	0
124	513	0
125	496	0
126	528	0
127	459	0
128	469	0
129	476	0
130	509	0
131	485	0
132	467	0
133	535	0
134	535	0
135	503	0
136	518	0
137	473	0
138	519	0
139	547	0
140	507	0
141	517	0
142	549	0
143	509	0
144	480	0
145	536	0
146	499	0
147	527	0
148	535	0
149	492	0
150	522	0
151	489	0
152	544	0
153	511	0
154	495	0
155	485	0
156	508	0
157	512	0
158	514	0
159	540	0
160	439	0
161	497	0
162	458	0
163	488	0
164	474	0
165	478	0
166	478	0
167	531	0
168	486	0
169	534	0
170	499	0
171	508	0
172	469	0
173	544	0
174	516	0
175	541	0
176	518	0
177	499	0
178	534	0
179	541	0
180	526	0
181	495	0
182	531	0
183	530	0
184	553	0
185	556	0
186	499	0
187	496	0
188	498	0
189	544	0
190	503	0
191	510	0
192	521	0
193	470	0
194	529	0
195	510	0
196	520	0
197	539	0
198	553	0
199	505	0
200	165244	0

