## htsjdk.samtools.metrics.StringHeader
# picard.analysis.directed.CollectHsMetrics BAIT_INTERVALS=[input/Charles/MiniExome/Picard.intervals.list] TARGET_INTERVALS=[input/Charles/MiniExome/Picard.intervals.list] INPUT=output/MiniExome/P553-002-1A_Sain/437/P553-002-1A_Sain.sorted.dupMarked.realigned.recalibrated.compressed.bam OUTPUT=output/MiniExome/P553-002-1A_Sain/437/DIR_PICARD/HsMetrics.tsv TMP_DIR=[output/MiniExome/P553-002-1A_Sain/437/DIR_PICARD]    MINIMUM_MAPPING_QUALITY=20 MINIMUM_BASE_QUALITY=20 CLIP_OVERLAPPING_READS=true METRIC_ACCUMULATION_LEVEL=[ALL_READS] NEAR_DISTANCE=250 COVERAGE_CAP=200 SAMPLE_SIZE=10000 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Aug 29 11:53:17 CEST 2017

## METRICS CLASS	picard.analysis.directed.HsMetrics
BAIT_SET	GENOME_SIZE	BAIT_TERRITORY	TARGET_TERRITORY	BAIT_DESIGN_EFFICIENCY	TOTAL_READS	PF_READS	PF_UNIQUE_READS	PCT_PF_READS	PCT_PF_UQ_READS	PF_UQ_READS_ALIGNED	PCT_PF_UQ_READS_ALIGNED	PF_BASES_ALIGNED	PF_UQ_BASES_ALIGNED	ON_BAIT_BASES	NEAR_BAIT_BASES	OFF_BAIT_BASES	ON_TARGET_BASES	PCT_SELECTED_BASES	PCT_OFF_BAIT	ON_BAIT_VS_SELECTED	MEAN_BAIT_COVERAGE	MEAN_TARGET_COVERAGE	MEDIAN_TARGET_COVERAGE	PCT_USABLE_BASES_ON_BAIT	PCT_USABLE_BASES_ON_TARGET	FOLD_ENRICHMENT	ZERO_CVG_TARGETS_PCT	PCT_EXC_DUPE	PCT_EXC_MAPQ	PCT_EXC_BASEQ	PCT_EXC_OVERLAP	PCT_EXC_OFF_TARGET	FOLD_80_BASE_PENALTY	PCT_TARGET_BASES_1X	PCT_TARGET_BASES_2X	PCT_TARGET_BASES_10X	PCT_TARGET_BASES_20X	PCT_TARGET_BASES_30X	PCT_TARGET_BASES_40X	PCT_TARGET_BASES_50X	PCT_TARGET_BASES_100X	HS_LIBRARY_SIZE	HS_PENALTY_10X	HS_PENALTY_20X	HS_PENALTY_30X	HS_PENALTY_40X	HS_PENALTY_50X	HS_PENALTY_100X	AT_DROPOUT	GC_DROPOUT	HET_SNP_SENSITIVITY	HET_SNP_Q	SAMPLE	LIBRARY	READ_GROUP
Picard	3095693983	17918613	17918613	1	13541674	13541674	4170209	1	0,307954	3479185	0,834295	1259569009	340086356	928794657	81110176	249664176	165880997	0,801786	0,198214	0,919685	51,834071	9,257469	4	0,633936	0,11322	127,394704	0,046695	0,729998	0,025156	0,012548	0,11412	0,079539	9,257469	0,807931	0,761538	0,313422	0,146817	0,071119	0,036091	0,018799	0,000678	956812	-1	-1	-1	-1	-1	-1	0	0	0,561399	4			

## HISTOGRAM	java.lang.Integer
coverage	count	baseq_count
0	4039074	0
1	831285	0
2	2587428	14803
3	848305	0
4	1461514	0
5	689203	225
6	863776	0
7	547178	2561
8	580566	19511
9	451645	27494
10	440106	3018
11	375479	19934
12	358700	37053
13	319587	67657
14	302166	72917
15	273665	87332
16	255744	54795
17	236414	70390
18	219406	88140
19	204064	225421
20	188359	5514691
21	172437	5712384
22	161628	12114394
23	147753	15865754
24	138746	13049192
25	127186	8184000
26	118558	4467746
27	107636	3228516
28	101284	4824387
29	92821	11098115
30	86381	12384873
31	79535	18996362
32	72943	25358220
33	68080	14082273
34	63468	6940075
35	59404	3268764
36	54913	0
37	50800	0
38	47986	0
39	44149	0
40	40569	0
41	38298	0
42	35696	0
43	33551	0
44	31699	0
45	29664	0
46	27287	0
47	25633	0
48	24456	0
49	22985	0
50	21539	0
51	20233	0
52	19186	0
53	17877	0
54	16515	0
55	15653	0
56	14544	0
57	13784	0
58	12724	0
59	12157	0
60	11275	0
61	10279	0
62	9951	0
63	9486	0
64	8713	0
65	8068	0
66	7356	0
67	7143	0
68	6585	0
69	6146	0
70	5757	0
71	5413	0
72	5069	0
73	4784	0
74	4382	0
75	4198	0
76	3712	0
77	3565	0
78	3192	0
79	3063	0
80	2860	0
81	2720	0
82	2585	0
83	2415	0
84	2276	0
85	2035	0
86	1819	0
87	1844	0
88	1643	0
89	1560	0
90	1341	0
91	1377	0
92	1208	0
93	1232	0
94	1174	0
95	1039	0
96	910	0
97	824	0
98	789	0
99	703	0
100	689	0
101	634	0
102	636	0
103	563	0
104	524	0
105	486	0
106	429	0
107	475	0
108	432	0
109	426	0
110	412	0
111	362	0
112	339	0
113	283	0
114	305	0
115	291	0
116	270	0
117	261	0
118	245	0
119	224	0
120	244	0
121	212	0
122	193	0
123	203	0
124	166	0
125	175	0
126	150	0
127	151	0
128	128	0
129	127	0
130	114	0
131	97	0
132	84	0
133	87	0
134	89	0
135	99	0
136	86	0
137	94	0
138	74	0
139	73	0
140	59	0
141	79	0
142	65	0
143	43	0
144	58	0
145	38	0
146	35	0
147	26	0
148	42	0
149	36	0
150	28	0
151	24	0
152	27	0
153	24	0
154	24	0
155	15	0
156	25	0
157	15	0
158	18	0
159	16	0
160	17	0
161	9	0
162	15	0
163	10	0
164	13	0
165	6	0
166	14	0
167	6	0
168	12	0
169	11	0
170	23	0
171	7	0
172	10	0
173	7	0
174	9	0
175	14	0
176	1	0
177	5	0
178	2	0
179	3	0
180	2	0
181	4	0
182	1	0
183	5	0
184	5	0
185	5	0
186	9	0
187	3	0
188	2	0
189	5	0
190	8	0
191	6	0
192	8	0
193	8	0
194	5	0
195	3	0
196	3	0
197	3	0
198	5	0
199	6	0
200	237	0

