## htsjdk.samtools.metrics.StringHeader
# CollectHsMetrics BAIT_INTERVALS=[capture.list] TARGET_INTERVALS=[capture.list] INPUT=VAL215_S15/VAL215_S15.bam OUTPUT=VAL215_S15/hs_metrics.txt REFERENCE_SEQUENCE=reference/GCA_000001405.15_GRCh38_no_alt_analysis_set.fna    METRIC_ACCUMULATION_LEVEL=[ALL_READS] NEAR_DISTANCE=250 MINIMUM_MAPPING_QUALITY=20 MINIMUM_BASE_QUALITY=20 CLIP_OVERLAPPING_READS=true INCLUDE_INDELS=false COVERAGE_CAP=200 SAMPLE_SIZE=10000 ALLELE_FRACTION=[0.001, 0.005, 0.01, 0.02, 0.05, 0.1, 0.2, 0.3, 0.5] VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Fri Feb 11 14:20:03 GMT 2022

## METRICS CLASS	picard.analysis.directed.HsMetrics
BAIT_SET	BAIT_TERRITORY	BAIT_DESIGN_EFFICIENCY	ON_BAIT_BASES	NEAR_BAIT_BASES	OFF_BAIT_BASES	PCT_SELECTED_BASES	PCT_OFF_BAIT	ON_BAIT_VS_SELECTED	MEAN_BAIT_COVERAGE	PCT_USABLE_BASES_ON_BAIT	PCT_USABLE_BASES_ON_TARGET	FOLD_ENRICHMENT	HS_LIBRARY_SIZE	HS_PENALTY_10X	HS_PENALTY_20X	HS_PENALTY_30X	HS_PENALTY_40X	HS_PENALTY_50X	HS_PENALTY_100X	TARGET_TERRITORY	GENOME_SIZE	TOTAL_READS	PF_READS	PF_BASES	PF_UNIQUE_READS	PF_UQ_READS_ALIGNED	PF_BASES_ALIGNED	PF_UQ_BASES_ALIGNED	ON_TARGET_BASES	PCT_PF_READS	PCT_PF_UQ_READS	PCT_PF_UQ_READS_ALIGNED	MEAN_TARGET_COVERAGE	MEDIAN_TARGET_COVERAGE	MAX_TARGET_COVERAGE	MIN_TARGET_COVERAGE	ZERO_CVG_TARGETS_PCT	PCT_EXC_DUPE	PCT_EXC_ADAPTER	PCT_EXC_MAPQ	PCT_EXC_BASEQ	PCT_EXC_OVERLAP	PCT_EXC_OFF_TARGET	FOLD_80_BASE_PENALTY	PCT_TARGET_BASES_1X	PCT_TARGET_BASES_2X	PCT_TARGET_BASES_10X	PCT_TARGET_BASES_20X	PCT_TARGET_BASES_30X	PCT_TARGET_BASES_40X	PCT_TARGET_BASES_50X	PCT_TARGET_BASES_100X	PCT_TARGET_BASES_250X	PCT_TARGET_BASES_500X	PCT_TARGET_BASES_1000X	PCT_TARGET_BASES_2500X	PCT_TARGET_BASES_5000X	PCT_TARGET_BASES_10000X	PCT_TARGET_BASES_25000X	PCT_TARGET_BASES_50000X	PCT_TARGET_BASES_100000X	AT_DROPOUT	GC_DROPOUT	HET_SNP_SENSITIVITY	HET_SNP_Q	SAMPLE	LIBRARY	READ_GROUP
capture	2384727	1	749067581	845387	1132035803	0.398477	0.601523	0.998873	314.110412	0.394277	0.217665	517.398753	5051430	10.24158	10.573342	10.946574	11.340541	11.792567	15.143361	2384727	3099922541	13286326	13286326	1899850324	11212454	11187483	1881948771	1585302439	413530993	1	0.843909	0.997773	173.408106	168	845	0	0	0.157627	0	0.032692	0.014761	0.227287	0.347934	2.588181	0.977903	0.972515	0.954305	0.93275	0.906984	0.879831	0.851973	0.702488	0.263733	0.004088	0	0	0	0	0	0	0	7.859172	0	0.971448	15			

## HISTOGRAM	java.lang.Integer
coverage_or_base_quality	high_quality_coverage_count	unfiltered_baseq_count
0	52696	0
1	12848	0
2	7683	0
3	5768	0
4	5397	0
5	5223	0
6	4832	0
7	4870	0
8	4842	0
9	4811	0
10	4481	0
11	4746	8035117
12	4870	0
13	4923	0
14	5025	0
15	5310	0
16	5505	0
17	5528	0
18	5357	0
19	5658	0
20	5765	0
21	6068	0
22	5980	0
23	5916	0
24	6092	0
25	6168	15518700
26	6243	0
27	6549	0
28	6328	0
29	6336	0
30	6224	0
31	6449	0
32	6189	0
33	6348	0
34	6287	0
35	6594	0
36	6685	0
37	6636	313935017
38	6612	0
39	6728	0
40	6772	0
41	6781	0
42	6691	0
43	6627	0
44	6484	0
45	6560	0
46	6591	0
47	6527	0
48	6655	0
49	6747	0
50	6804	0
51	6891	0
52	6993	0
53	6760	0
54	6920	0
55	6741	0
56	6793	0
57	6999	0
58	6899	0
59	7218	0
60	6980	0
61	7007	0
62	6835	0
63	6795	0
64	6901	0
65	6775	0
66	6925	0
67	6841	0
68	7014	0
69	7025	0
70	7188	0
71	7073	0
72	7235	0
73	7395	0
74	7560	0
75	7275	0
76	7538	0
77	7377	0
78	7270	0
79	7267	0
80	7328	0
81	7403	0
82	7291	0
83	7391	0
84	7379	0
85	7247	0
86	7349	0
87	7091	0
88	7279	0
89	7219	0
90	7219	0
91	7134	0
92	7008	0
93	7266	0
94	7113	0
95	7259	0
96	7344	0
97	7311	0
98	7259	0
99	7295	0
100	7071	0
101	7132	0
102	7201	0
103	7111	0
104	7141	0
105	7093	0
106	7370	0
107	7292	0
108	7081	0
109	7178	0
110	7210	0
111	7235	0
112	7359	0
113	7354	0
114	7417	0
115	7400	0
116	7308	0
117	7483	0
118	7353	0
119	7341	0
120	7496	0
121	7356	0
122	7418	0
123	7375	0
124	7340	0
125	7292	0
126	7173	0
127	7127	0
128	7181	0
129	7321	0
130	7324	0
131	7171	0
132	7158	0
133	7178	0
134	7216	0
135	7005	0
136	7068	0
137	6998	0
138	7099	0
139	6811	0
140	6817	0
141	6745	0
142	6889	0
143	6801	0
144	6745	0
145	6792	0
146	6845	0
147	6749	0
148	6604	0
149	6690	0
150	6862	0
151	6868	0
152	6733	0
153	6878	0
154	6899	0
155	6920	0
156	6951	0
157	6770	0
158	7016	0
159	7019	0
160	6839	0
161	6855	0
162	6653	0
163	6780	0
164	6678	0
165	6796	0
166	6813	0
167	6683	0
168	6895	0
169	6820	0
170	6871	0
171	6770	0
172	6779	0
173	6896	0
174	7135	0
175	6919	0
176	6957	0
177	6891	0
178	7125	0
179	6995	0
180	7157	0
181	6888	0
182	7007	0
183	6718	0
184	6932	0
185	7194	0
186	6934	0
187	6929	0
188	6738	0
189	6652	0
190	6611	0
191	6674	0
192	6558	0
193	6757	0
194	6811	0
195	6808	0
196	6655	0
197	6704	0
198	6647	0
199	6610	0
200	976279	0

