## htsjdk.samtools.metrics.StringHeader
# picard.analysis.CollectInsertSizeMetrics HISTOGRAM_FILE=/home/thor/rb_output/picard/alignment_qc/collectinsertsizemetrics/14-CL_1_ismetrics_histogram.pdf INPUT=/media/thor/storage/rb_pipeline/picard/markduplicates/14-CL_1_marked_duplicates.bam OUTPUT=/home/thor/rb_output/picard/alignment_qc/collectinsertsizemetrics/14-CL_1_ismetrics.txt    DEVIATIONS=10.0 MINIMUM_PCT=0.05 METRIC_ACCUMULATION_LEVEL=[ALL_READS] INCLUDE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json
## htsjdk.samtools.metrics.StringHeader
# Started on: Mon Nov 21 18:47:08 PST 2016

## METRICS CLASS	picard.analysis.InsertSizeMetrics
MEDIAN_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
163	25	2	243082321	171.013338	41.506861	44332023	FR	11	21	31	41	51	63	77	95	131	277			

## HISTOGRAM	java.lang.Integer
insert_size	All_Reads.fr_count
2	25
3	21
4	29
5	31
6	25
7	17
8	39
9	24
10	24
11	43
12	27
13	41
14	41
15	42
16	38
17	49
18	63
19	2194
20	1806
21	989
22	535
23	379
24	259
25	239
26	238
27	234
28	189
29	257
30	235
31	270
32	253
33	253
34	233
35	251
36	291
37	260
38	256
39	311
40	273
41	296
42	277
43	326
44	371
45	338
46	417
47	410
48	385
49	421
50	426
51	446
52	471
53	465
54	601
55	503
56	458
57	521
58	558
59	602
60	631
61	649
62	621
63	670
64	766
65	720
66	811
67	742
68	737
69	907
70	941
71	921
72	957
73	991
74	1151
75	1148
76	1235
77	1408
78	1575
79	1678
80	1948
81	2025
82	2231
83	2581
84	2968
85	3164
86	3775
87	4221
88	4912
89	5690
90	6715
91	7866
92	9071
93	10290
94	11962
95	14162
96	16688
97	19299
98	22477
99	26145
100	30396
101	34917
102	39824
103	45031
104	52412
105	59243
106	67210
107	76293
108	86114
109	96429
110	107269
111	120137
112	131826
113	144553
114	158365
115	173214
116	187857
117	203854
118	219622
119	236318
120	252651
121	270381
122	285111
123	301536
124	316879
125	332197
126	349880
127	364755
128	380665
129	393789
130	405923
131	418061
132	430444
133	439951
134	449893
135	459310
136	467699
137	476440
138	484399
139	490831
140	496016
141	501942
142	504561
143	509312
144	509673
145	511588
146	513099
147	515531
148	514207
149	515309
150	513491
151	509998
152	509313
153	506026
154	503387
155	499751
156	496270
157	491615
158	489547
159	483993
160	479844
161	475508
162	469919
163	464486
164	458396
165	452318
166	447549
167	442299
168	435818
169	429580
170	424162
171	418719
172	412157
173	405061
174	399275
175	390956
176	385781
177	379781
178	373783
179	367061
180	361203
181	354662
182	347573
183	342952
184	334165
185	329182
186	323548
187	316786
188	309864
189	305079
190	297174
191	292307
192	286850
193	280614
194	275736
195	269707
196	263299
197	257735
198	253319
199	246953
200	242742
201	237456
202	231531
203	225627
204	221883
205	216714
206	211611
207	206862
208	201601
209	197218
210	192782
211	188758
212	184400
213	180480
214	175883
215	172090
216	167836
217	163742
218	158559
219	155764
220	151546
221	147034
222	144170
223	140864
224	136876
225	133567
226	130557
227	127160
228	124281
229	121031
230	117360
231	114923
232	112049
233	109577
234	105657
235	102960
236	100426
237	97223
238	95391
239	92312
240	89986
241	87783
242	85949
243	83278
244	80847
245	78136
246	76794
247	74283
248	72490
249	70490
250	68427
251	66738
252	64556
253	62893
254	60936
255	59384
256	57947
257	56011
258	54034
259	52882
260	51725
261	50507
262	48651
263	46911
264	45603
265	44678
266	43057
267	41972
268	40697
269	39210
270	38193
271	37450
272	36172
273	35248
274	34180
275	33039
276	32056
277	31192
278	30056
279	29413
280	28496
281	27619
282	26465
283	25647
284	24933
285	24140
286	23469
287	22735
288	22172
289	21324
290	20924
291	20176
292	19485
293	19081
294	18501
295	17740
296	17282
297	16528
298	16174
299	15687
300	14972
301	14351
302	14389
303	13701
304	13241
305	12879
306	12425
307	12059
308	11638
309	11216
310	10997
311	10671
312	10392
313	9915
314	9473
315	9348
316	8971
317	8683
318	8275
319	8065
320	7987
321	7542
322	7308
323	7165
324	6906
325	6595
326	6439
327	6150
328	5923
329	5614
330	5574
331	5434
332	5252
333	5012
334	4949
335	4636
336	4647
337	4466
338	4211
339	4024
340	4071
