## htsjdk.samtools.metrics.StringHeader
# picard.analysis.CollectInsertSizeMetrics HISTOGRAM_FILE=insert_size/insert_size_histogram_S52.pdf MINIMUM_PCT=0.5 INPUT=S52.bam OUTPUT=insert_size/insert_size_metrics_S52.txt    DEVIATIONS=10.0 METRIC_ACCUMULATION_LEVEL=[ALL_READS] INCLUDE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json
## htsjdk.samtools.metrics.StringHeader
# Started on: Mon Jun 19 15:54:00 MSK 2017

## METRICS CLASS	picard.analysis.InsertSizeMetrics
MEDIAN_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
128	12	86	387	127.169492	24.345204	123	FR	5	9	13	17	25	35	55	67	85	501			

## HISTOGRAM	java.lang.Integer
insert_size	All_Reads.fr_count
86	2
87	1
89	2
91	1
92	1
95	1
97	4
99	1
100	2
101	1
102	2
103	2
107	1
108	2
109	2
110	1
111	4
113	3
114	1
115	2
116	1
117	1
118	2
119	1
120	5
121	2
122	2
124	5
125	1
126	1
127	4
128	6
129	2
130	5
131	3
132	3
133	4
134	4
135	2
136	2
137	1
138	3
139	1
140	2
141	1
142	1
149	1
157	1
158	2
161	1
163	1
164	1
165	1
166	2
171	1
173	2
175	1
199	1
214	1
222	1

