## htsjdk.samtools.metrics.StringHeader
# CollectInsertSizeMetrics HISTOGRAM_FILE=insertSize.pdf DEVIATIONS=10 MINIMUM_PCT=0.05 METRIC_ACCUMULATION_LEVEL=[ALL_READS] INCLUDE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
## METRICS CLASS	picard.analysis.InsertSizeMetrics
MEDIAN_INSERT_SIZE	MODE_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_95_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
226.0	194.0	67.0	2	208216841	237.224689	93.623558	8331201	FR	27	53	79	105	135	165	197	237	293	365	511			

## HISTOGRAM  java.lang.Integer
insert_size	All_Reads.fr_count
2	1
4	2
5	2
7	2
8	1
9	2
10	1
11	3
12	2
14	5
15	2
17	1
18	3
19	1
20	1
21	2
22	4
23	3
24	3
25	1
26	2
27	1
29	1
30	6
31	2
32	1
33	1
34	2
35	6
36	2
37	10
38	10
39	5
40	7
41	14
42	13
43	12
44	7
45	9
46	15
47	17
48	20
49	22
50	29
51	37
52	35
53	49
54	42
55	80
56	87
57	106
58	149
59	142
60	182
61	251
62	363
63	443
64	526
65	718
66	903
67	1137
68	1442
69	1776
70	2156
71	2624
72	3116
73	3429
74	4165
75	4617
76	5257
77	5724
78	6288
79	6807
80	7305
81	8031
82	8576
83	9231
84	9639
85	10124
86	10678
87	11439
88	11762
89	12226
90	12714
91	13065
92	13828
93	14174
94	14703
95	15361
96	15718
97	15986
98	16800
99	17078
100	17673
101	17975
102	18360
103	18746
104	19323
105	20173
106	20009
107	20502
108	21006
109	21495
110	21960
111	22611
112	22648
113	22896
114	23443
115	23656
116	24203
117	24403
118	24911
119	25343
120	25469
121	25938
122	25875
123	26330
124	26462
125	26927
126	27069
127	27290
128	28089
129	27817
130	28421
131	28432
132	28721
133	29190
134	29237
135	29356
136	29731
137	29899
138	30142
139	30119
140	30682
141	30725
142	30837
143	31150
144	31182
145	31549
146	31831
147	31801
148	31803
149	31928
150	32027
151	32309
152	32620
153	32561
154	33181
155	32422
156	32639
157	32910
158	33241
159	32818
160	33363
161	33415
162	33404
163	33705
164	33566
165	33487
166	33385
167	33606
168	33876
169	33968
170	33963
171	33831
172	33880
173	34178
174	33687
175	34036
176	34130
177	33677
178	33901
179	34188
180	34293
181	34223
182	34265
183	34015
184	34131
185	34184
186	34208
187	34309
188	34191
189	33984
190	34170
191	34070
192	34085
193	34288
194	34327
195	34132
196	33946
197	33884
198	33898
199	34120
200	34205
201	33530
202	33762
203	33837
204	33896
205	33933
206	33954
207	33493
208	33850
209	33631
210	33650
211	33152
212	33491
213	33523
214	33247
215	33170
216	33138
217	33153
218	33102
219	33175
220	32941
221	33006
222	32693
223	32847
224	32424
225	32762
226	32436
227	32664
228	32467
229	32230
230	32041
231	31850
232	31740
233	31554
234	31616
235	31826
236	31374
237	31745
238	31509
239	31324
240	31232
241	31244
242	30879
243	30916
244	30860
245	30460
246	30603
247	30549
248	30743
249	30368
250	30201
251	30184
252	29890
253	29690
254	29870
255	29308
256	29456
257	29432
258	29338
259	29223
260	28957
261	28811
262	28867
263	29068
264	28510
265	28365
266	28132
267	28251
268	28160
269	27974
270	27856
271	27530
272	27695
273	27197
274	27125
275	27061
276	27139
277	26650
278	26556
279	26403
280	26259
281	26234
282	25914
283	25787
284	25827
285	25481
286	25651
287	25138
288	25138
289	24894
290	24920
291	24611
292	24517
293	24308
294	24349
295	23918
296	24151
297	23781
298	23521
299	23236
300	23330
301	23058
302	23047
303	22807
304	22333
305	22784
306	22302
307	22261
308	22020
309	21775
310	21797
311	21549
312	21252
313	21476
314	21160
315	20850
316	20786
317	20750
318	20529
319	20188
320	20102
321	19861
322	19747
323	19715
324	19699
325	19505
326	19185
327	18865
328	18619
329	18555
330	18584
331	18365
332	18180
333	17675
334	17933
335	17723
336	17414
337	17271
338	17236
339	17273
340	17284
341	16617
342	16869
343	16670
344	16645
345	16351
346	16299
347	16119
348	15816
349	15689
350	15729
351	15266
352	15237
353	15120
354	14787
355	15030
356	14747
357	14496
358	14379
359	13899
360	14063
361	13925
362	13615
363	13639
364	13428
365	13650
366	13156
367	12951
368	12736
369	12930
370	12529
371	12671
372	12298
373	12400
374	12037
375	12187
376	11940
377	11737
378	11570
379	11402
380	11219
381	11191
382	10995
383	10717
384	10685
385	10644
386	10502
387	10454
388	10340
389	10294
390	10183
391	9878
392	9623
393	9610
394	9309
395	9409
396	9338
397	9001
398	9007
399	8841
400	8811
401	8569
402	8353
403	8492
404	8448
405	8216
406	8041
407	7974
408	7772
409	7825
410	7614
411	7535
412	7481
413	7387
414	7170
415	7184
416	7056
417	6874
418	6658
419	6704
420	6592
421	6340
422	6364
423	6172
424	6222
425	6175
426	6040
427	5843
428	5841
429	5672
430	5656
431	5453
432	5579
433	5297
434	5312
435	5105
436	5026
437	4878
438	4892
439	4740
440	4668
441	4650
442	4611
443	4456
444	4459
445	4348
446	4307
447	4318
448	4177
449	4067
450	3944
451	3993
452	3881
453	3848
454	3714
455	3553
456	3574
457	3488
458	3453
459	3394
460	3447
461	3275
462	3225
463	3104
464	3186
465	3104
466	2915
467	2777
468	2798
469	2774
470	2771
471	2593
472	2657
473	2544
474	2498
475	2415
476	2396
477	2341
478	2345
479	2190
480	2202
481	2141
482	2138
483	2020
484	2055
485	1957
486	2059
487	1863
488	1949
489	1844
490	1760
491	1686
492	1716
493	1689
494	1563
495	1533
496	1520
497	1565
498	1495
499	1505
500	1457
501	1373
502	1342
503	1262
504	1249
505	1190
506	1215
507	1127
508	1204
509	1154
510	1078
511	1090
512	973
513	991
514	992
515	906
516	976
517	887
518	936
519	802
520	869
521	865
522	803
523	790
524	752
525	745
526	702
527	669
528	673
529	679
530	645
531	620
532	683
533	563
534	568
535	541
536	578
537	505
538	470
539	493
540	478
541	464
542	444
543	438
544	418
545	423
546	397
547	433
548	390
549	408
550	364
551	358
552	334
553	317
554	296
555	277
556	287
557	264
558	282
559	286
560	247
561	244
562	239
563	202
564	232
565	218
566	209
567	208
568	187
569	183
570	195
571	175
572	154
573	184
574	162
575	181
576	137
577	144
578	158
579	142
580	116
581	136
582	137
583	147
584	131
585	97
586	105
587	128
588	101
589	106
590	77
591	92
592	77
593	86
594	86
595	75
596	57
597	67
598	71
599	82
600	63
601	63
602	61
603	54
604	63
605	51
606	57
607	65
608	35
609	45
610	45
611	29
612	44
613	45
614	43
615	38
616	31
617	32
618	26
619	39
620	25
621	26
622	33
623	40
624	24
625	40
626	41
627	21
628	18
629	19
630	15
631	27
632	20
633	28
634	23
635	14
636	20
637	19
638	19
639	22
640	11
641	16
642	14
643	13
644	11
645	14
646	14
647	19
648	10
649	14
650	10
651	16
652	9
653	11
654	13
655	10
656	9
657	14
658	8
659	9
660	6
661	10
662	6
663	8
664	6
665	5
666	3
667	4
668	6
669	10
670	8
671	6
672	2
673	5
674	8
675	4
676	3
677	5
678	5
679	9
680	7
681	5
682	8
683	3
684	4
685	4
686	5
687	3
688	8
689	5
690	3
691	2
693	1
694	5
695	1
698	1
699	2
700	3
701	3
702	2
703	1
704	2
705	3
707	2
708	1
709	4
711	3
713	2
714	2
715	2
716	1
717	1
718	1
719	2
720	1
722	2
725	2
726	1
728	1
730	2
731	2
733	1
734	2
736	1
737	2
740	1
741	1
742	2
744	2
745	1
746	1
747	2
748	1
749	1
751	1
754	1
757	1
758	1
761	1
762	1
768	1
769	2
773	1
774	1
776	1
781	1
782	1
784	1
788	1
791	1
793	1
797	1
800	1
804	1
805	1
808	1
822	1
823	3
825	1
832	1
834	1
844	1
851	1
854	1
855	2
856	1
872	1
875	1
883	1
890	1
896	1
