## htsjdk.samtools.metrics.StringHeader
# MarkDuplicatesSpark  --output /ZxrDyT/output/SRR6000626.aligned-bwa.sorted-samtools.rh.dedupped.bam --metrics-file /ZxrDyT/output/SRR6000626.aligned-bwa.sorted-samtools.rh.dedupped.bam.metrics.txt --input /ZxrDyT/output/SRR6000626.aligned-bwa.sorted-samtools.rh.bam --read-validation-stringency STRICT --create-output-bam-index true --spark-master local[*] --spark-verbosity WARN  --allow-multiple-sort-orders-in-input false --treat-unsorted-as-querygroup-ordered false --duplicate-scoring-strategy SUM_OF_BASE_QUALITIES --do-not-mark-unmapped-mates false --duplicate-tagging-policy DontTag --remove-all-duplicates false --remove-sequencing-duplicates false --read-name-regex <optimized capture of last three ':' separated fields as numeric values> --optical-duplicate-pixel-distance 100 --interval-set-rule UNION --interval-padding 0 --interval-exclusion-padding 0 --interval-merging-rule ALL --bam-partition-size 0 --use-nio false --disable-sequence-dictionary-validation false --add-output-vcf-command-line true --sharded-output false --num-reducers 0 --create-output-bam-splitting-index true --create-output-variant-index true --help false --version false --showHidden false --verbosity INFO --QUIET false --use-jdk-deflater false --use-jdk-inflater false --gcs-max-retries 20 --gcs-project-for-requester-pays  --disable-tool-default-read-filters false
## htsjdk.samtools.metrics.StringHeader
# Started on: October 10, 2019 5:14:34 PM MSK

## METRICS CLASS	org.broadinstitute.hellbender.utils.read.markduplicates.GATKDuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
lib	1230	7550107	7411	2490	1153	905361	0	0.11998	28910929

## HISTOGRAM	java.lang.Double
BIN	CoverageMult
1.0	1
2.0	1.770165
3.0	2.363319
4.0	2.820145
5.0	3.171977
6.0	3.442945
7.0	3.651636
8.0	3.812362
9.0	3.936147
10.0	4.031482
11.0	4.104906
12.0	4.161455
13.0	4.205006
14.0	4.238548
15.0	4.264381
16.0	4.284277
17.0	4.2996
18.0	4.311401
19.0	4.32049
20.0	4.327489
21.0	4.332881
22.0	4.337033
23.0	4.34023
24.0	4.342693
25.0	4.34459
26.0	4.346051
27.0	4.347176
28.0	4.348042
29.0	4.348709
30.0	4.349223
31.0	4.349619
32.0	4.349924
33.0	4.350159
34.0	4.35034
35.0	4.350479
36.0	4.350586
37.0	4.350669
38.0	4.350733
39.0	4.350782
40.0	4.350819
41.0	4.350848
42.0	4.350871
43.0	4.350888
44.0	4.350901
45.0	4.350911
46.0	4.350919
47.0	4.350925
48.0	4.35093
49.0	4.350934
50.0	4.350936
51.0	4.350939
52.0	4.35094
53.0	4.350941
54.0	4.350942
55.0	4.350943
56.0	4.350944
57.0	4.350944
58.0	4.350945
59.0	4.350945
60.0	4.350945
61.0	4.350945
62.0	4.350945
63.0	4.350945
64.0	4.350945
65.0	4.350946
66.0	4.350946
67.0	4.350946
68.0	4.350946
69.0	4.350946
70.0	4.350946
71.0	4.350946
72.0	4.350946
73.0	4.350946
74.0	4.350946
75.0	4.350946
76.0	4.350946
77.0	4.350946
78.0	4.350946
79.0	4.350946
80.0	4.350946
81.0	4.350946
82.0	4.350946
83.0	4.350946
84.0	4.350946
85.0	4.350946
86.0	4.350946
87.0	4.350946
88.0	4.350946
89.0	4.350946
90.0	4.350946
91.0	4.350946
92.0	4.350946
93.0	4.350946
94.0	4.350946
95.0	4.350946
96.0	4.350946
97.0	4.350946
98.0	4.350946
99.0	4.350946
100.0	4.350946

