## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[NRS_ASCL1_KO_R1.sorted.bam] OUTPUT=NRS_ASCL1_KO_R1.mLb.mkD.sorted.bam METRICS_FILE=NRS_ASCL1_KO_R1.mLb.mkD.MarkDuplicates.metrics.txt REMOVE_DUPLICATES=false ASSUME_SORTED=true TMP_DIR=[tmp] VALIDATION_STRINGENCY=LENIENT    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false ADD_PG_TAG_TO_READS=true DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Wed Feb 05 18:00:08 UTC 2020

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
NRS_ASCL1_KO_R1_T1	225650	16502510	0	392420	118725	4900480	161971	0.29851	22413948
NRS_ASCL1_KO_R1_T3	226531	16352125	0	394037	119810	4913061	161285	0.302025	21871100
NRS_ASCL1_KO_R1_T2	217421	16308578	0	381051	114244	4975326	155802	0.306533	21362718

## HISTOGRAM	java.lang.Double
set_size	all_sets	optical_sets	non_optical_sets
1.0	28967951	0	29278185
2.0	3890301	439216	3667217
3.0	688805	17055	623096
4.0	221175	1420	207212
5.0	117520	246	114241
6.0	78564	60	77371
7.0	57379	19	56829
8.0	44024	7	43697
9.0	35656	2	35399
10.0	28954	1	28737
11.0	24298	0	24163
12.0	20193	0	20067
13.0	17447	0	17236
14.0	14848	0	14835
15.0	13141	0	13067
16.0	11498	0	11410
17.0	10194	0	10117
18.0	8973	0	8968
19.0	8020	0	7938
20.0	7346	0	7315
21.0	6664	0	6588
22.0	5900	0	5897
23.0	5551	0	5507
24.0	5051	0	5007
25.0	4676	0	4656
26.0	4287	0	4205
27.0	3852	0	3871
28.0	3682	0	3685
29.0	3391	0	3356
30.0	3103	0	3099
31.0	2934	0	2874
32.0	2686	0	2701
33.0	2517	0	2449
34.0	2318	0	2320
35.0	2210	0	2203
36.0	2083	0	2057
37.0	1987	0	1973
38.0	1790	0	1808
39.0	1709	0	1669
40.0	1584	0	1588
41.0	1572	0	1574
42.0	1462	0	1439
43.0	1372	0	1382
44.0	1323	0	1309
45.0	1305	0	1254
46.0	1163	0	1160
47.0	1137	0	1121
48.0	1042	0	1051
49.0	1020	0	1011
50.0	964	0	952
51.0	901	0	895
52.0	854	0	861
53.0	839	0	799
54.0	745	0	757
55.0	770	0	769
56.0	746	0	721
57.0	691	0	689
58.0	654	0	640
59.0	625	0	629
60.0	602	0	615
61.0	586	0	596
62.0	604	0	595
63.0	546	0	533
64.0	510	0	506
65.0	502	0	485
66.0	496	0	497
67.0	468	0	480
68.0	459	0	430
69.0	432	0	441
70.0	414	0	422
71.0	413	0	386
72.0	379	0	376
73.0	386	0	370
74.0	353	0	366
75.0	337	0	342
76.0	324	0	325
77.0	309	0	307
78.0	331	0	330
79.0	315	0	328
80.0	327	0	304
81.0	264	0	258
82.0	267	0	272
83.0	271	0	250
84.0	265	0	253
85.0	211	0	233
86.0	241	0	243
87.0	240	0	229
88.0	231	0	244
89.0	232	0	237
90.0	229	0	230
91.0	205	0	195
92.0	209	0	193
93.0	224	0	212
94.0	158	0	173
95.0	170	0	179
96.0	202	0	187
97.0	179	0	170
98.0	165	0	170
99.0	173	0	160
100.0	166	0	176
101.0	154	0	138
102.0	132	0	148
103.0	144	0	146
104.0	142	0	152
105.0	159	0	151
106.0	141	0	132
107.0	132	0	133
108.0	100	0	101
109.0	122	0	130
110.0	119	0	104
111.0	128	0	125
112.0	106	0	107
