## htsjdk.samtools.metrics.StringHeader
# MarkIlluminaAdapters --INPUT CFD1902455.unaligned.bam --METRICS CFD1902455_adapter_metrics.txt --MIN_MATCH_BASES_SE 12 --MIN_MATCH_BASES_PE 6 --MAX_ERROR_RATE_SE 0.1 --MAX_ERROR_RATE_PE 0.1 --ADAPTERS INDEXED --ADAPTERS DUAL_INDEXED --ADAPTERS PAIRED_END --ADAPTER_TRUNCATION_LENGTH 30 --PRUNE_ADAPTER_LIST_AFTER_THIS_MANY_ADAPTERS_SEEN 100 --NUM_ADAPTERS_TO_KEEP 1 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 2 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Nov 03 09:09:27 CET 2020


## HISTOGRAM	java.lang.Integer
clipped_bases	read_count
12	329
13	251
14	262
15	201
16	203
17	206
18	193
19	151
20	159
21	174
22	147
23	130
24	109
25	120
26	138
27	100
28	92
29	94
30	74
31	348
32	236
33	190
34	109
35	80
36	97
37	88
38	76
39	108
40	75
41	74
42	55
43	76
44	176
45	193
46	400
47	331
48	162
49	123
50	112
51	713

