## htsjdk.samtools.metrics.StringHeader
# picard.analysis.CollectRnaSeqMetrics REF_FLAT=/data/group/test/Genomes/Human/Homo_sapiens/NCBI/GRCh38Decoy/Annotation/Archives/archive-2015-08-10-14-28-01/Genes/refFlat.txt.gz STRAND_SPECIFICITY=NONE INPUT=/data/group/test/TEST_Run001/miseq_size_TEST_Run001-12345678/WBGS_mkBS_v1_0100ng_PCR10_cond01_TST24_061_01-12345678/WBGS-mkBS-v1-0100ng.sorted.mrgd.bam OUTPUT=/data/group/test/TEST_Run001/miseq_size_TEST_Run001-12345678/WBGS_mkBS_v1_0100ng_PCR10_cond01_TST24_061_01-12345678/WBGS-mkBS-v1-0100ng-PCR10-cond01-TST24-061-01-combined_S1_L001_R1_001.seqtk_sample.1000000.cutB_pe.sorted.mrgd.picard_rnaseq.txt ASSUME_SORTED=true    MINIMUM_LENGTH=500 RRNA_FRAGMENT_PERCENTAGE=0.8 METRIC_ACCUMULATION_LEVEL=[ALL_READS] STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json
## htsjdk.samtools.metrics.StringHeader
# Started on: Wed Jul 27 10:46:15 BST 2016

## METRICS CLASS	picard.analysis.RnaSeqMetrics
PF_BASES	PF_ALIGNED_BASES	RIBOSOMAL_BASES	CODING_BASES	UTR_BASES	INTRONIC_BASES	INTERGENIC_BASES	IGNORED_READS	CORRECT_STRAND_READS	INCORRECT_STRAND_READS	PCT_RIBOSOMAL_BASES	PCT_CODING_BASES	PCT_UTR_BASES	PCT_INTRONIC_BASES	PCT_INTERGENIC_BASES	PCT_MRNA_BASES	PCT_USABLE_BASES	PCT_CORRECT_STRAND_READS	MEDIAN_CV_COVERAGE	MEDIAN_5PRIME_BIAS	MEDIAN_3PRIME_BIAS	MEDIAN_5PRIME_TO_3PRIME_BIAS	SAMPLE	LIBRARY	READ_GROUP
146762087	146735445		2469198	2995796	66463811	74806640	0	0	0		0.016828	0.020416	0.45295	0.509806	0.037244	0.037237	0	0.69941	0.660712	0.396365	?			

## HISTOGRAM	java.lang.Integer
normalized_position	All_Reads.normalized_coverage
0	0.515097
1	0.649604
2	0.812802
3	0.984089
4	1.020585
5	1.016142
6	0.870681
7	0.739568
8	0.678337
9	0.611826
10	0.573109
11	0.586245
12	0.608919
13	0.658662
14	0.688545
15	0.834947
16	0.914707
17	0.807785
18	0.754574
19	1.035945
20	0.888203
21	0.725625
22	0.631109
23	0.398295
24	0.135775
25	0.253318
26	0.440515
27	0.443576
28	0.469723
29	0.449285
30	0.281288
31	0.212384
32	0.21767
33	0.251252
34	0.305025
35	0.580706
36	0.627319
37	0.696385
38	0.913412
39	1.36288
40	1.272447
41	1.213897
42	1.30118
43	1.474235
44	1.399655
45	1.532842
46	1.582289
47	1.447832
48	1.191114
49	1.012429
50	0.920829
51	1.015732
52	1.20499
53	1.883691
54	2.541531
55	3.305673
56	3.643538
57	3.492035
58	2.993184
59	2.875751
60	2.379817
61	2.25553
62	2.302343
63	2.146823
64	1.729435
65	1.500035
66	1.155688
67	0.748548
68	0.717311
69	0.594864
70	0.577829
71	0.605133
72	0.664768
73	0.627779
74	0.61349
75	0.575867
76	0.606471
77	0.690742
78	0.707369
79	0.670728
80	0.602816
81	0.558332
82	0.537876
83	0.771517
84	0.925788
85	1.006737
86	0.998713
87	0.976562
88	0.751144
89	0.974061
90	0.93812
91	0.902145
92	0.877717
93	0.826842
94	0.674352
95	0.597936
96	0.579991
97	0.581823
98	0.547129
99	0.558203
100	0.562415

