## htsjdk.samtools.metrics.StringHeader
# CollectMultipleMetrics INPUT=sample.bam OUTPUT=sample FILE_EXTENSION=txt PROGRAM=[CollectAlignmentSummaryMetrics, CollectInsertSizeMetrics, RnaSeqMetrics] REF_FLAT=GRCh37ERCC.ensembl75.txt REFERENCE_SEQUENCE=/GRCh37/GRCh37ERCC.ensembl75.fasta    ASSUME_SORTED=true STOP_AFTER=0 METRIC_ACCUMULATION_LEVEL=[ALL_READS] INCLUDE_UNPAIRED=false VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Apr 07 18:52:35 UTC 2020

## METRICS CLASS	picard.analysis.RnaSeqMetrics
PF_BASES	PF_ALIGNED_BASES	RIBOSOMAL_BASES	CODING_BASES	UTR_BASES	INTRONIC_BASES	INTERGENIC_BASES	IGNORED_READS	CORRECT_STRAND_READS	INCORRECT_STRAND_READS	NUM_R1_TRANSCRIPT_STRAND_READS	NUM_R2_TRANSCRIPT_STRAND_READS	NUM_UNEXPLAINED_READS	PCT_R1_TRANSCRIPT_STRAND_READS	PCT_R2_TRANSCRIPT_STRAND_READS	PCT_RIBOSOMAL_BASES	PCT_CODING_BASES	PCT_UTR_BASES	PCT_INTRONIC_BASES	PCT_INTERGENIC_BASES	PCT_MRNA_BASES	PCT_USABLE_BASES	PCT_CORRECT_STRAND_READS	MEDIAN_CV_COVERAGE	MEDIAN_5PRIME_BIAS	MEDIAN_3PRIME_BIAS	MEDIAN_5PRIME_TO_3PRIME_BIAS	SAMPLE	LIBRARY	READ_GROUP
19182213506	15907563797		9458907627	4739732665	1328895368	380028137	0	57761155	57174441	28363693	28674842	426382	0.497272	0.502728		0.594617	0.297955	0.083539	0.02389	0.892572	0.740198	0.502552	0.458014	0.776495	0.671557	1.123305			

## HISTOGRAM	java.lang.Integer
normalized_position	All_Reads.normalized_coverage
0	0.329285
1	0.396157
2	0.503765
3	0.616495
4	0.710474
5	0.795593
6	0.866847
7	0.922897
8	0.977562
9	1.023296
10	1.068526
11	1.11062
12	1.13876
13	1.166334
14	1.195676
15	1.216866
16	1.228531
17	1.22476
18	1.217841
19	1.216876
20	1.217283
21	1.209649
22	1.19738
23	1.202615
24	1.199071
25	1.18771
26	1.180457
27	1.181714
28	1.18673
29	1.188608
30	1.191048
31	1.189556
32	1.174245
33	1.17021
34	1.168772
35	1.171645
36	1.159669
37	1.150013
38	1.141803
39	1.135899
40	1.123531
41	1.119792
42	1.112992
43	1.108591
44	1.105036
45	1.109316
46	1.108916
47	1.113358
48	1.111741
49	1.112978
50	1.114495
51	1.112301
52	1.102522
53	1.07966
54	1.072295
55	1.071675
56	1.065787
57	1.063201
58	1.065224
59	1.059955
60	1.057238
61	1.056731
62	1.05153
63	1.035187
64	1.024631
65	1.023468
66	1.024495
67	1.015807
68	1.010041
69	1.004157
70	1.002806
71	0.998967
72	0.98942
73	0.983698
74	0.974481
75	0.968737
76	0.963358
77	0.947748
78	0.941191
79	0.930975
80	0.922848
81	0.909904
82	0.900976
83	0.889351
84	0.874735
85	0.858296
86	0.832286
87	0.814336
88	0.800397
89	0.789719
90	0.781339
91	0.755303
92	0.739569
93	0.718759
94	0.697983
95	0.676641
96	0.65628
97	0.643001
98	0.61926
99	0.590749
100	0.559774

