## htsjdk.samtools.metrics.StringHeader
# picard.analysis.directed.CollectTargetedPcrMetrics AMPLICON_INTERVALS=FinalAssayList_100717.interval_list TARGET_INTERVALS=[FinalAssayList_100717.interval_list] INPUT=results.bismark/AS-13/AS-13.sorted.bam OUTPUT=results.bismark/AS-13/metrics/AS-13.targetedPcrMetrics PER_TARGET_COVERAGE=results.bismark/AS-13/metrics/AS-13.targetedPcrMetrics.perTarget REFERENCE_SEQUENCE=/data/PublicDataSets/genomes/Homo_sapiens/UCSC/hg19/Sequence/WholeGenomeFasta/genome.fa    METRIC_ACCUMULATION_LEVEL=[ALL_READS] NEAR_DISTANCE=250 MINIMUM_MAPPING_QUALITY=1 MINIMUM_BASE_QUALITY=0 CLIP_OVERLAPPING_READS=false COVERAGE_CAP=200 SAMPLE_SIZE=10000 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json
## htsjdk.samtools.metrics.StringHeader
# Started on: Fri Aug 11 04:01:10 BST 2017

## METRICS CLASS	picard.analysis.directed.TargetedPcrMetrics
CUSTOM_AMPLICON_SET	GENOME_SIZE	AMPLICON_TERRITORY	TARGET_TERRITORY	TOTAL_READS	PF_READS	PF_BASES	PF_UNIQUE_READS	PCT_PF_READS	PCT_PF_UQ_READS	PF_UQ_READS_ALIGNED	PF_SELECTED_PAIRS	PF_SELECTED_UNIQUE_PAIRS	PCT_PF_UQ_READS_ALIGNED	PF_BASES_ALIGNED	PF_UQ_BASES_ALIGNED	ON_AMPLICON_BASES	NEAR_AMPLICON_BASES	OFF_AMPLICON_BASES	ON_TARGET_BASES	ON_TARGET_FROM_PAIR_BASES	PCT_AMPLIFIED_BASES	PCT_OFF_AMPLICON	ON_AMPLICON_VS_SELECTED	MEAN_AMPLICON_COVERAGE	MEAN_TARGET_COVERAGE	MEDIAN_TARGET_COVERAGE	FOLD_ENRICHMENT	ZERO_CVG_TARGETS_PCT	PCT_EXC_DUPE	PCT_EXC_MAPQ	PCT_EXC_BASEQ	PCT_EXC_OVERLAP	PCT_EXC_OFF_TARGET	FOLD_80_BASE_PENALTY	PCT_TARGET_BASES_1X	PCT_TARGET_BASES_2X	PCT_TARGET_BASES_10X	PCT_TARGET_BASES_20X	PCT_TARGET_BASES_30X	AT_DROPOUT	GC_DROPOUT	HET_SNP_SENSITIVITY	HET_SNP_Q	SAMPLE	LIBRARY	READ_GROUP
AdamSharple_FinalAssayList_100717	3095693983	11734	11734	142268	142268	20782591	142268	1	1	142268	65136	65136	1	20772934	20772934	19011439	50	1761445	18922587	18922587	0.915205	0.084795	0.999997	1620.20104	1612.628856	39	241451.044416	0.27907	0	0.020195	0	0	0.06888	?	0.665502	0.619823	0.611215	0.559826	0.550281	29.317632	30.685726	0.48677	3			

## HISTOGRAM	java.lang.Integer
coverage	count	baseq_count
0	7553	0
1	536	0
2	43	0
3	27	0
4	2	0
5	5	0
6	3	0
7	6	0
8	3	0
9	12	0
10	349	0
11	235	0
12	0	5321
13	1	23228
14	1	105128
15	0	62509
16	1	132226
17	6	56847
18	0	49687
19	10	38198
20	3	15780
21	1	359
22	1	0
23	3	0
24	4	1282
25	2	2468
26	4	3345
27	81	74691
28	9	11399
29	4	76851
30	34	134766
31	267	49965
32	3	347129
33	0	613899
34	1	560619
35	10	286801
36	0	538434
37	5	2082866
38	3	5108274
39	296	8524317
40	0	16198
41	1	0
42	0	0
43	1	0
44	0	0
45	6	0
46	1	0
47	6	0
48	46	0
49	246	0
50	2	0
51	2	0
52	6	0
53	4	0
54	108	0
55	2	0
56	3	0
57	27	0
58	5	0
59	140	0
60	0	0
61	8	0
62	2	0
63	0	0
64	1	0
65	9	0
66	5	0
67	0	0
68	2	0
69	0	0
70	0	0
71	0	0
72	2	0
73	0	0
74	0	0
75	1	0
76	3	0
77	4	0
78	2	0
79	48	0
80	2	0
81	1	0
82	18	0
83	35	0
84	6	0
85	5	0
86	16	0
87	207	0
88	0	0
89	0	0
90	0	0
91	3	0
92	1	0
93	3	0
94	4	0
95	3	0
96	6	0
97	1	0
98	1	0
99	2	0
100	13	0
101	192	0
102	0	0
103	1	0
104	1	0
105	0	0
106	3	0
107	3	0
108	8	0
109	5	0
110	2	0
111	0	0
112	1	0
113	1	0
114	0	0
115	2	0
116	1	0
117	15	0
118	3	0
119	0	0
120	4	0
121	2	0
122	0	0
123	3	0
124	10	0
125	231	0
126	0	0
127	0	0
128	0	0
129	0	0
130	0	0
131	1	0
132	0	0
133	0	0
134	0	0
135	0	0
136	0	0
137	0	0
138	0	0
139	0	0
140	0	0
141	0	0
142	0	0
143	0	0
144	0	0
145	0	0
146	0	0
147	0	0
148	0	0
149	0	0
150	1	0
151	0	0
152	0	0
153	4	0
154	3	0
155	5	0
156	111	0
157	0	0
158	1	0
159	0	0
160	1	0
161	0	0
162	0	0
163	0	0
164	0	0
165	0	0
166	0	0
167	0	0
168	0	0
169	0	0
170	0	0
171	0	0
172	0	0
173	0	0
174	0	0
175	0	0
176	2	0
177	0	0
178	0	0
179	0	0
180	0	0
181	0	0
182	0	0
183	0	0
184	0	0
185	0	0
186	0	0
187	0	0
188	0	0
189	0	0
190	0	0
191	0	0
192	0	0
193	0	0
194	0	0
195	0	0
196	0	0
197	0	0
198	0	0
199	0	0
200	4201	0

