## htsjdk.samtools.metrics.StringHeader
# CollectGcBiasMetrics CHART_OUTPUT=gcbias_summary.pdf SCAN_WINDOW_SIZE=100 MINIMUM_GENOME_FRACTION=1.0E-5 IS_BISULFITE_SEQUENCED=false METRIC_ACCUMULATION_LEVEL=[ALL_READS] ALSO_IGNORE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
## METRICS CLASS	picard.analysis.GcBiasDetailMetrics
ACCUMULATION_LEVEL	READS_USED	GC	WINDOWS	READ_STARTS	MEAN_BASE_QUALITY	NORMALIZED_COVERAGE	ERROR_BAR_WIDTH	SAMPLE	LIBRARY	READ_GROUP
All Reads	ALL	0	138328	2	17	0.002100	0.001485			
All Reads	ALL	1	101882	1	0	0.001425	0.001425			
All Reads	ALL	2	119633	0	0	0.000000	0.000000			
All Reads	ALL	3	154753	0	0	0.000000	0.000000			
All Reads	ALL	4	168634	0	0	0.000000	0.000000			
All Reads	ALL	5	172932	2	0	0.001680	0.001188			
All Reads	ALL	6	197404	3	12	0.002207	0.001274			
All Reads	ALL	7	210776	2	0	0.001378	0.000974			
All Reads	ALL	8	240243	13	30	0.007858	0.002180			
All Reads	ALL	9	273101	12	26	0.006381	0.001842			
All Reads	ALL	10	322266	9	28	0.004056	0.001352			
All Reads	ALL	11	388575	23	23	0.008596	0.001792			
All Reads	ALL	12	498636	33	25	0.009611	0.001673			
All Reads	ALL	13	652857	62	24	0.013791	0.001752			
All Reads	ALL	14	920903	168	24	0.026493	0.002044			
All Reads	ALL	15	1348138	271	23	0.029192	0.001773			
All Reads	ALL	16	2011188	633	25	0.045707	0.001817			
All Reads	ALL	17	3013230	1202	24	0.057931	0.001671			
All Reads	ALL	18	4515702	2350	26	0.075575	0.001559			
All Reads	ALL	19	6663211	3890	26	0.084782	0.001359			
All Reads	ALL	20	9610921	6628	26	0.100151	0.001230			
All Reads	ALL	21	13510113	10556	26	0.113469	0.001104			
All Reads	ALL	22	18442702	15925	26	0.125398	0.000994			
All Reads	ALL	23	24481906	23691	26	0.140532	0.000913			
All Reads	ALL	24	31604650	33490	26	0.153886	0.000841			
All Reads	ALL	25	39642086	45596	26	0.167035	0.000782			
All Reads	ALL	26	48283438	59756	26	0.179730	0.000735			
All Reads	ALL	27	57323384	75766	26	0.191946	0.000697			
All Reads	ALL	28	66433882	95032	26	0.207738	0.000674			
All Reads	ALL	29	75328194	114451	26	0.220647	0.000652			
All Reads	ALL	30	83808611	135842	26	0.235386	0.000639			
All Reads	ALL	31	91749734	157434	26	0.249190	0.000628			
All Reads	ALL	32	98978976	180923	26	0.265453	0.000624			
All Reads	ALL	33	105414554	204728	26	0.282041	0.000623			
All Reads	ALL	34	111133690	227267	26	0.296980	0.000623			
All Reads	ALL	35	116058063	250039	26	0.312873	0.000626			
All Reads	ALL	36	120023344	271879	26	0.328962	0.000631			
All Reads	ALL	37	122246907	299659	26	0.355980	0.000650			
All Reads	ALL	38	122309590	327942	26	0.389379	0.000680			
All Reads	ALL	39	120434132	350747	26	0.422942	0.000714			
All Reads	ALL	40	116751821	371777	26	0.462439	0.000758			
All Reads	ALL	41	111440930	394854	26	0.514550	0.000819			
All Reads	ALL	42	105148400	416583	26	0.575354	0.000891			
All Reads	ALL	43	98716179	438579	26	0.645202	0.000974			
All Reads	ALL	44	93020494	469419	26	0.732855	0.001070			
All Reads	ALL	45	88502400	494367	26	0.811205	0.001154			
All Reads	ALL	46	85118552	526106	26	0.897605	0.001238			
All Reads	ALL	47	82467341	556809	26	0.980529	0.001314			
All Reads	ALL	48	79811744	582064	27	1.059107	0.001388			
All Reads	ALL	49	76496982	603882	26	1.146420	0.001475			
All Reads	ALL	50	72222703	632294	26	1.271398	0.001599			
All Reads	ALL	51	67165605	655824	26	1.418001	0.001751			
All Reads	ALL	52	61918976	671943	26	1.575958	0.001923			
All Reads	ALL	53	57021723	685592	26	1.746069	0.002109			
All Reads	ALL	54	52657156	704833	26	1.943859	0.002315			
All Reads	ALL	55	48829189	716137	26	2.129868	0.002517			
All Reads	ALL	56	45098176	728182	26	2.344860	0.002748			
All Reads	ALL	57	41111495	728977	26	2.575056	0.003016			
All Reads	ALL	58	36693376	730978	26	2.893028	0.003384			
All Reads	ALL	59	31874034	723603	26	3.296851	0.003876			
All Reads	ALL	60	27047752	723989	26	3.887200	0.004568			
All Reads	ALL	61	22581627	706174	26	4.541429	0.005404			
All Reads	ALL	62	18749692	674742	26	5.226123	0.006362			
All Reads	ALL	63	15546905	641399	26	5.991290	0.007481			
All Reads	ALL	64	12911974	590626	26	6.642873	0.008644			
All Reads	ALL	65	10696467	539157	26	7.319998	0.009969			
All Reads	ALL	66	8840909	487171	26	8.002405	0.011465			
All Reads	ALL	67	7196079	430321	25	8.684257	0.013238			
All Reads	ALL	68	5775769	371028	25	9.328953	0.015315			
All Reads	ALL	69	4629779	308141	25	9.665521	0.017412			
All Reads	ALL	70	3713040	253525	25	9.915787	0.019693			
All Reads	ALL	71	2964631	206375	25	10.109333	0.022253			
All Reads	ALL	72	2391492	164655	25	9.998665	0.024641			
All Reads	ALL	73	1950688	126823	25	9.441614	0.026512			
All Reads	ALL	74	1606129	100713	24	9.106283	0.028694			
All Reads	ALL	75	1344957	77776	24	8.397949	0.030113			
All Reads	ALL	76	1155597	62349	24	7.835363	0.031379			
All Reads	ALL	77	1012807	49543	24	7.103815	0.031915			
All Reads	ALL	78	897014	39304	24	6.363171	0.032096			
All Reads	ALL	79	782856	28401	24	5.268510	0.031262			
All Reads	ALL	80	667190	22409	23	4.877632	0.032584			
All Reads	ALL	81	559012	16569	23	4.304386	0.033440			
All Reads	ALL	82	468701	11257	22	3.487890	0.032874			
All Reads	ALL	83	383651	7901	22	2.990761	0.033647			
All Reads	ALL	84	298534	4962	22	2.413787	0.034267			
All Reads	ALL	85	216663	2514	22	1.685065	0.033607			
All Reads	ALL	86	144958	1336	21	1.338444	0.036618			
All Reads	ALL	87	94863	694	21	1.062426	0.040329			
All Reads	ALL	88	65633	331	19	0.732389	0.040256			
All Reads	ALL	89	42544	138	19	0.471061	0.040099			
All Reads	ALL	90	27779	60	18	0.313668	0.040494			
All Reads	ALL	91	17787	305	18	2.490194	0.142588			
All Reads	ALL	92	10676	21	18	0.285658	0.062336			
All Reads	ALL	93	6740	48	17	1.034231	0.149278			
All Reads	ALL	94	3865	148	17	5.560941	0.457107			
All Reads	ALL	95	1809	4161	24	334.037473	5.178409			
All Reads	ALL	96	1074	249	18	33.669069	2.133691			
All Reads	ALL	97	750	603	19	116.759463	4.754813			
All Reads	ALL	98	366	1300	18	515.820155	14.306277			
All Reads	ALL	99	158	395	17	363.058032	18.267432			
All Reads	ALL	100	501	0	0	0.000000	0.000000			
