## METRICS CLASS	picard.analysis.CollectWgsMetrics$WgsMetrics
GENOME_TERRITORY	MEAN_COVERAGE	SD_COVERAGE	MEDIAN_COVERAGE	MAD_COVERAGE	PCT_EXC_MAPQ	PCT_EXC_DUPE	PCT_EXC_UNPAIRED	PCT_EXC_BASEQ	PCT_EXC_OVERLAP	PCT_EXC_CAPPED	PCT_EXC_TOTAL	PCT_1X	PCT_5X	PCT_10X	PCT_15X	PCT_20X	PCT_25X	PCT_30X	PCT_40X	PCT_50X	PCT_60X	PCT_70X	PCT_80X	PCT_90X	PCT_100X	HET_SNP_SENSITIVITY	HET_SNP_Q
3105958108	0.33539	7.00025	0	0	0.062395	0.21082	0.000141	0.018163	0.026505	0.029009	0.347034	0.007975	0.004658	0.003966	0.003511	0.003168	0.002892	0.002662	0.002297	0.002019	0.001797	0.001614	0.00146	0.001328	0.001212	0.006047	0

## HISTOGRAM	java.lang.Integer
coverage	high_quality_coverage_count
0	3081186893
1	7764119
2	1127994
3	781289
4	629648
5	535053
6	470304
7	416822
8	378822
9	348265
10	323282
11	298703
12	280764
13	262927
14	247913
15	234257
16	223014
17	213213
18	202789
19	192468
20	185667
21	177816
22	171246
23	164594
24	159042
25	152903
26	147210
27	142175
28	137710
29	133555
30	129934
31	125162
32	121709
33	117558
34	113842
35	111143
36	107811
37	104815
38	101738
39	98041
40	96763
41	93632
42	91646
43	89614
44	87485
45	85516
46	83622
47	80817
48	79575
49	76913
50	75085
51	74135
52	72062
53	70309
54	69038
55	68045
56	66583
57	65748
58	64382
59	62893
60	61542
61	60528
62	59144
63	58375
64	57131
65	56797
66	55552
67	54250
68	53083
69	52193
70	51402
71	50671
72	49660
73	48988
74	48263
75	47193
76	46674
77	46030
78	45437
79	44196
80	43545
81	43053
82	42549
83	41994
84	41453
85	40342
86	40329
87	39753
88	39369
89	38798
90	38431
91	37792
92	37437
93	36719
94	35871
95	35447
96	34984
97	34474
98	34190
99	34125
100	33298
101	33224
102	32921
103	32673
104	31874
105	31360
106	31157
107	31211
108	30636
109	30524
110	30173
111	29645
112	29494
113	29453
114	28983
115	28684
116	28128
117	27823
118	27809
119	27542
120	27343
121	27166
122	26943
123	26380
124	26301
125	25993
126	25689
127	25507
128	25485
129	25214
130	24948
131	24829
132	24559
133	24320
134	24093
135	23639
136	23492
137	23198
138	23415
139	22943
140	22930
141	22650
142	22390
143	22186
144	22275
145	21768
146	21386
147	21265
148	21476
149	21175
150	20918
151	20647
152	20404
153	20557
154	20393
155	20430
156	20069
157	19740
158	20079
159	19478
160	19232
161	19211
162	19266
163	19030
164	18951
165	18681
166	18662
167	18162
168	18394
169	18456
170	18344
171	18118
172	17873
173	17775
174	17865
175	17990
176	17849
177	17377
178	17306
179	17327
180	17147
181	17202
182	17173
183	16805
184	17105
185	16829
186	16967
187	16783
188	16856
189	16778
190	16696
191	16725
192	16483
193	16491
194	16383
195	16340
196	16080
197	16210
198	16279
199	15937
200	15945
201	15951
202	15622
203	15671
204	15542
205	15689
206	15487
207	15302
208	15471
209	15166
210	15235
211	15128
212	14968
213	15041
214	14939
215	14828
216	14911
217	14649
218	14532
219	14401
220	14424
221	14469
222	13969
223	14170
224	14275
225	13968
226	13860
227	13663
228	13689
229	13645
230	13389
231	13439
232	13554
233	13274
234	13117
235	13348
236	13320
237	12990
238	12545
239	12574
240	12333
241	12300
242	12219
243	12071
244	11979
245	11996
246	11766
247	11916
248	11615
249	11582
250	838911

