## htsjdk.samtools.metrics.StringHeader
# MeanQualityByCycle CHART_OUTPUT=meanQualityByCycle.pdf ALIGNED_READS_ONLY=false PF_READS_ONLY=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
## HISTOGRAM	java.lang.Integer
CYCLE	MEAN_QUALITY
1	31.475533
2	31.564262
3	31.635438
4	31.680887
5	31.716553
6	35.353156
7	35.352938
8	35.333838
9	35.343752
10	35.320214
11	35.359276
12	35.350962
13	35.354855
14	35.352739
15	35.344935
16	35.337982
17	35.338374
18	35.318994
19	35.320678
20	35.326532
21	35.323647
22	35.308325
23	35.300027
24	35.279335
25	35.259791
26	35.238955
27	35.231843
28	35.230616
29	35.217314
30	35.201482
31	35.199431
32	35.184577
33	35.173867
34	35.161582
35	35.154510
36	35.137892
37	35.117948
38	35.122054
39	35.109707
40	35.100669
41	35.094768
42	35.077724
43	35.076567
44	35.059229
45	35.050240
46	35.048330
47	35.034492
48	35.028865
49	35.018908
50	35.008252
51	34.997721
52	34.990424
53	34.969822
54	34.955463
55	34.959100
56	34.939476
57	34.925669
58	34.914680
59	34.898699
60	34.878004
61	34.861134
62	34.856944
63	34.830816
64	34.811537
65	34.793267
66	34.769044
67	34.764606
68	34.750389
69	34.726281
70	34.713304
71	34.708972
72	34.706762
73	34.706860
74	34.734574
75	34.784743
76	35.151911
77	31.505509
78	31.354617
79	31.382027
80	31.381634
81	31.401712
82	35.048959
83	35.049836
84	35.033379
85	35.024116
86	34.998945
87	35.030794
88	35.019268
89	35.008837
90	35.004860
91	35.004024
92	34.996558
93	34.986792
94	34.998096
95	34.996650
96	34.979076
97	34.983738
98	34.969022
99	34.962735
100	34.951207
101	34.946583
102	34.944169
103	34.921131
104	34.914239
105	34.908205
106	34.889755
107	34.880273
108	34.869188
109	34.858537
110	34.856732
111	34.850840
112	34.838976
113	34.831311
114	34.822346
115	34.806826
116	34.804259
117	34.806341
118	34.796195
119	34.781067
120	34.784224
121	34.770878
122	34.763374
123	34.754511
124	34.748329
125	34.738958
126	34.730255
127	34.713648
128	34.701956
129	34.693916
130	34.678633
131	34.678407
132	34.662574
133	34.652911
134	34.643123
135	34.623176
136	34.604997
137	34.592641
138	34.585751
139	34.564383
140	34.562235
141	34.540227
142	34.516899
143	34.500323
144	34.486947
145	34.466685
146	34.463080
147	34.466825
148	34.493259
149	34.545248
150	34.645472
151	35.135690

