## METRICS CLASS	picard.analysis.CollectWgsMetrics$WgsMetrics
GENOME_TERRITORY	MEAN_COVERAGE	SD_COVERAGE	MEDIAN_COVERAGE	MAD_COVERAGE	PCT_EXC_MAPQ	PCT_EXC_DUPE	PCT_EXC_UNPAIRED	PCT_EXC_BASEQ	PCT_EXC_OVERLAP	PCT_EXC_CAPPED	PCT_EXC_TOTAL	PCT_1X	PCT_5X	PCT_10X	PCT_15X	PCT_20X	PCT_25X	PCT_30X	PCT_40X	PCT_50X	PCT_60X	PCT_70X	PCT_80X	PCT_90X	PCT_100X	HET_SNP_SENSITIVITY	HET_SNP_Q
3105958108	1.888955	12.417995	0	0	0.08146	0.197752	0.000235	0.009679	0.141465	0.002275	0.432867	0.180883	0.035319	0.0297	0.026164	0.023383	0.021042	0.018995	0.015524	0.012685	0.010345	0.008419	0.006841	0.005557	0.004513	0.116597	1

## HISTOGRAM	java.lang.Integer
coverage	high_quality_coverage_count
0	2544143729
1	366173394
2	62854287
3	16011921
4	7074735
5	4745175
6	3809733
7	3292598
8	2928935
9	2676980
10	2480770
11	2309844
12	2175600
13	2060167
14	1955540
15	1867438
16	1791753
17	1723241
18	1655717
19	1599280
20	1550946
21	1496356
22	1448829
23	1407982
24	1368878
25	1332393
26	1302575
27	1271595
28	1241034
29	1210362
30	1179966
31	1156663
32	1132122
33	1107562
34	1086155
35	1064220
36	1047154
37	1022787
38	1002280
39	979449
40	961499
41	943711
42	925391
43	904251
44	887017
45	870386
46	855714
47	839275
48	823297
49	808004
50	791463
51	778921
52	762282
53	746835
54	730683
55	719476
56	706076
57	689704
58	679508
59	664543
60	652290
61	640912
62	626231
63	616705
64	602225
65	592860
66	581268
67	567607
68	555593
69	546109
70	535210
71	523891
72	514537
73	504227
74	494125
75	484325
76	476511
77	467235
78	456179
79	444575
80	434278
81	424999
82	417637
83	410868
84	403285
85	395056
86	387581
87	379585
88	371063
89	363326
90	355812
91	347031
92	341247
93	332944
94	325637
95	320924
96	313356
97	308145
98	301846
99	294937
100	288759
101	282517
102	275577
103	270536
104	266378
105	260309
106	253742
107	249263
108	243848
109	239273
110	236317
111	228858
112	225838
113	221357
114	217442
115	212702
116	209304
117	204813
118	199885
119	196125
120	192221
121	187633
122	183905
123	180299
124	176402
125	173438
126	169944
127	165960
128	162138
129	158230
130	156082
131	152932
132	149365
133	147688
134	144335
135	141231
136	137926
137	135673
138	133400
139	130265
140	127607
141	125112
142	122825
143	120938
144	117433
145	115213
146	112451
147	111163
148	108924
149	106403
150	103885
151	101723
152	99608
153	97612
154	96316
155	93914
156	92258
157	89770
158	88113
159	86428
160	84430
161	82868
162	81676
163	79774
164	77548
165	76492
166	74301
167	72811
168	71456
169	69901
170	68417
171	67068
172	65552
173	64615
174	63043
175	61903
176	60128
177	59408
178	57320
179	56295
180	55398
181	54311
182	53177
183	52001
184	50511
185	49953
186	49065
187	48378
188	47428
189	46626
190	45549
191	44142
192	43634
193	42392
194	41703
195	40545
196	40154
197	38827
198	37989
199	36976
200	36353
201	35428
202	34913
203	34175
204	32937
205	32652
206	31709
207	31060
208	30553
209	30258
210	29338
211	28955
212	28684
213	27826
214	27330
215	26539
216	26012
217	25293
218	24577
219	24134
220	23621
221	22951
222	22472
223	22015
224	21555
225	21120
226	20655
227	19912
228	19571
229	19276
230	18736
231	18135
232	17948
233	17225
234	16762
235	16382
236	16149
237	15598
238	15398
239	15067
240	14805
241	14349
242	14034
243	13446
244	13401
245	12887
246	12561
247	12366
248	12218
249	12080
250	512963

