## htsjdk.samtools.metrics.StringHeader
# CollectInsertSizeMetrics HISTOGRAM_FILE=insertSize.pdf DEVIATIONS=10 MINIMUM_PCT=0.05 METRIC_ACCUMULATION_LEVEL=[ALL_READS] INCLUDE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
## METRICS CLASS	picard.analysis.InsertSizeMetrics
MEDIAN_INSERT_SIZE	MODE_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_95_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
237.0	225.0	35.0	2	244942531	243.267366	55.214384	27455293	FR	13	27	41	55	71	89	109	133	169	219	349			

## HISTOGRAM  java.lang.Integer
insert_size	All_Reads.fr_count
2	4
3	14
4	11
5	12
6	2
7	11
8	8
9	14
10	9
11	12
12	8
13	6
14	9
15	8
16	12
17	14
18	16
19	9878
20	9454
21	5371
22	2602
23	1177
24	709
25	456
26	428
27	410
28	271
29	272
30	194
31	192
32	174
33	166
34	141
35	140
36	159
37	137
38	168
39	133
40	149
41	108
42	149
43	99
44	117
45	107
46	125
47	142
48	116
49	118
50	133
51	116
52	139
53	171
54	133
55	132
56	143
57	122
58	127
59	136
60	124
61	124
62	144
63	139
64	145
65	133
66	148
67	153
68	159
69	138
70	138
71	161
72	168
73	199
74	194
75	201
76	162
77	242
78	214
79	190
80	211
81	221
82	225
83	208
84	213
85	240
86	249
87	236
88	267
89	259
90	288
91	291
92	268
93	322
94	332
95	303
96	319
97	347
98	360
99	345
100	367
101	398
102	409
103	463
104	443
105	502
106	524
107	527
108	549
109	531
110	565
111	562
112	619
113	641
114	656
115	693
116	721
117	688
118	740
119	757
120	749
121	835
122	882
123	848
124	915
125	913
126	899
127	968
128	1062
129	1106
130	1099
131	1109
132	1206
133	1232
134	1292
135	1338
136	1400
137	1471
138	1566
139	1552
140	1607
141	1720
142	1733
143	1889
144	1950
145	1887
146	2149
147	2178
148	2356
149	2602
150	58615
151	60570
152	62509
153	64911
154	66070
155	68484
156	70366
157	72649
158	74888
159	77218
160	79261
161	81884
162	84416
163	86959
164	88892
165	91235
166	93733
167	96191
168	99382
169	101674
170	104187
171	106356
172	109335
173	111678
174	114233
175	117782
176	119673
177	122060
178	125918
179	128196
180	130353
181	133253
182	136631
183	139207
184	142119
185	144332
186	147715
187	150214
188	153478
189	156261
190	159366
191	161726
192	164333
193	166554
194	169020
195	171434
196	175376
197	176853
198	178600
199	181721
200	184030
201	186356
202	188994
203	190308
204	193431
205	195512
206	196589
207	198945
208	200451
209	204017
210	203904
211	206993
212	207416
213	208476
214	209297
215	210891
216	212280
217	212969
218	213771
219	215562
220	215387
221	216330
222	217390
223	216931
224	217469
225	218037
226	217219
227	217276
228	217524
229	217490
230	216985
231	216364
232	215460
233	214861
234	214926
235	214014
236	213733
237	212926
238	211033
239	210676
240	208566
241	207805
242	206248
243	205432
244	203479
245	202014
246	200938
247	198648
248	196906
249	195274
250	193299
251	191598
252	189549
253	187046
254	186251
255	183920
256	182136
257	180225
258	178388
259	175292
260	174607
261	172116
262	169828
263	167042
264	165043
265	162516
266	160645
267	158373
268	156691
269	153900
270	151334
271	149755
272	146753
273	144871
274	143148
275	140114
276	138020
277	136577
278	133766
279	130721
280	129661
281	127101
282	125234
283	122526
284	120683
285	119129
286	117031
287	114796
288	112856
289	110356
290	108934
291	106614
292	104825
293	102555
294	100945
295	99425
296	96702
297	94960
298	93793
299	91603
300	89746
301	88192
302	86306
303	84995
304	82435
305	81629
306	80137
307	78379
308	76682
309	74907
310	73440
311	71852
312	70494
313	69218
314	67927
315	66382
316	64878
317	63438
318	62124
319	60669
320	59495
321	57536
322	56741
323	55615
324	54298
325	53279
326	52372
327	51108
328	49984
329	48990
330	47735
331	46827
332	45466
333	44944
334	43682
335	42689
336	41277
337	40631
338	39842
339	38700
340	38065
341	37201
342	36096
343	35484
344	34694
345	33659
346	32743
347	31918
348	31608
349	30849
350	30062
351	29252
352	28626
353	27836
354	27092
355	26323
356	26013
357	25273
358	24429
359	24049
360	23624
361	22833
362	22566
363	21727
364	21233
365	20726
366	19992
367	19727
368	19387
369	18751
370	18296
371	17856
372	17662
373	16972
374	16573
375	16069
376	15986
377	15394
378	14953
379	14735
380	14163
381	13802
382	13343
383	13201
384	12707
385	12305
386	12167
387	11735
388	11571
389	11181
390	11020
391	10628
392	10438
393	10267
394	9710
395	9531
396	9365
397	9003
398	8883
399	8591
400	8515
401	8049
402	8034
403	7731
404	7672
405	7448
406	7166
407	7033
408	6936
409	6594
410	6574
411	6284
412	6252
413	5888
414	5783
415	5629
416	5435
417	5368
418	5217
419	5195
420	4826
421	4728
422	4533
423	4491
424	4447
425	4268
426	4078
427	4029
