TOTAL_BASES	EXPECTED_DISTINCT
0	0
10000000.0	9668880.0
20000000.0	19156570.0
30000000.0	28533190.0
40000000.0	37815440.0
50000000.0	46998570.0
60000000.0	56095760.0
70000000.0	65088500.0
80000000.0	74013910.0
90000000.0	82843440.0
100000000.0	91603560.0
110000000.0	100276250.0
120000000.0	108880750.0
130000000.0	117401440.0
140000000.0	125846560.0
150000000.0	134216960.0
160000000.0	142526850.0
170000000.0	150754940.0
180000000.0	158925710.0
190000000.0	167024570.0
200000000.0	175055120.0
210000000.0	183018980.0
220000000.0	190922490.0
230000000.0	198761360.0
240000000.0	206545590.0
250000000.0	214250680.0
260000000.0	221913540.0
270000000.0	229511880.0
280000000.0	237045050.0
290000000.0	244529650.0
300000000.0	251950200.0
310000000.0	259326020.0
320000000.0	266642680.0
330000000.0	273911260.0
340000000.0	281115930.0
350000000.0	288269790.0
360000000.0	295376180.0
370000000.0	302431520.0
380000000.0	309442010.0
390000000.0	316388530.0
400000000.0	323294690.0
410000000.0	330153020.0
420000000.0	336960410.0
430000000.0	343728590.0
440000000.0	350441790.0
450000000.0	357112170.0
460000000.0	363729420.0
470000000.0	370317560.0
480000000.0	376855700.0
490000000.0	383339940.0
500000000.0	389792250.0
510000000.0	396201230.0
520000000.0	402569380.0
530000000.0	408890480.0
540000000.0	415168680.0
550000000.0	421415500.0
560000000.0	427616030.0
570000000.0	433784720.0
580000000.0	439903050.0
590000000.0	445990760.0
600000000.0	452040720.0
610000000.0	458046580.0
620000000.0	464020940.0
630000000.0	469958630.0
640000000.0	475858120.0
650000000.0	481717120.0
660000000.0	487548290.0
670000000.0	493339320.0
680000000.0	499098870.0
690000000.0	504812790.0
700000000.0	510507720.0
710000000.0	516165820.0
720000000.0	521783070.0
730000000.0	527373300.0
740000000.0	532932000.0
750000000.0	538451190.0
760000000.0	543941350.0
770000000.0	549400570.0
780000000.0	554836000.0
790000000.0	560232890.0
800000000.0	565599180.0
810000000.0	570929860.0
820000000.0	576242620.0
830000000.0	581517300.0
840000000.0	586760830.0
850000000.0	591986570.0
860000000.0	597164160.0
870000000.0	602327680.0
880000000.0	607458800.0
890000000.0	612566310.0
900000000.0	617638270.0
910000000.0	622690080.0
920000000.0	627708280.0
930000000.0	632705670.0
940000000.0	637666960.0
950000000.0	642613780.0
960000000.0	647532890.0
970000000.0	652417590.0
980000000.0	657284280.0
990000000.0	662114530.0
1000000000.0	666936150.0
1010000000.0	671717460.0
1020000000.0	676482050.0
1030000000.0	681221030.0
1040000000.0	685939440.0
1050000000.0	690617630.0
1060000000.0	695293340.0
1070000000.0	699934290.0
1080000000.0	704549730.0
1090000000.0	709144550.0
1100000000.0	713722760.0
1110000000.0	718267500.0
1120000000.0	722795190.0
1130000000.0	727293580.0
1140000000.0	731778610.0
1150000000.0	736237890.0
1160000000.0	740669180.0
1170000000.0	745092600.0
1180000000.0	749484530.0
1190000000.0	753858950.0
1200000000.0	758210780.0
1210000000.0	762541620.0
1220000000.0	766846400.0
1230000000.0	771143050.0
1240000000.0	775412970.0
1250000000.0	779661540.0
1260000000.0	783882080.0
1270000000.0	788102230.0
1280000000.0	792284290.0
1290000000.0	796452560.0
1300000000.0	800603610.0
1310000000.0	804741090.0
1320000000.0	808845610.0
1330000000.0	812939560.0
1340000000.0	817014110.0
1350000000.0	821069630.0
1360000000.0	825104390.0
1370000000.0	829120530.0
1380000000.0	833119020.0
1390000000.0	837105400.0
1400000000.0	841069550.0
1410000000.0	845012340.0
1420000000.0	848936930.0
1430000000.0	852849140.0
1440000000.0	856743930.0
1450000000.0	860617880.0
1460000000.0	864480200.0
1470000000.0	868318750.0
1480000000.0	872142990.0
1490000000.0	875951150.0
1500000000.0	879745510.0
1510000000.0	883522700.0
1520000000.0	887276430.0
1530000000.0	891015020.0
1540000000.0	894743090.0
1550000000.0	898454080.0
1560000000.0	902146350.0
1570000000.0	905826360.0
1580000000.0	909487790.0
1590000000.0	913130170.0
1600000000.0	916768090.0
1610000000.0	920382340.0
1620000000.0	923985060.0
1630000000.0	927567580.0
1640000000.0	931140690.0
1650000000.0	934697360.0
1660000000.0	938240110.0
1670000000.0	941764470.0
1680000000.0	945275480.0
1690000000.0	948773260.0
1700000000.0	952255100.0
1710000000.0	955726430.0
1720000000.0	959179420.0
1730000000.0	962620830.0
1740000000.0	966048540.0
1750000000.0	969462720.0
1760000000.0	972858130.0
1770000000.0	976244600.0
1780000000.0	979621400.0
1790000000.0	982972900.0
1800000000.0	986320470.0
1810000000.0	989652210.0
1820000000.0	992970230.0
1830000000.0	996271940.0
1840000000.0	999570020.0
1850000000.0	1002845400.0
1860000000.0	1006119290.0
1870000000.0	1009363650.0
1880000000.0	1012607270.0
1890000000.0	1015832540.0
1900000000.0	1019048380.0
1910000000.0	1022253950.0
1920000000.0	1025445730.0
1930000000.0	1028621750.0
1940000000.0	1031790780.0
1950000000.0	1034943290.0
1960000000.0	1038086050.0
1970000000.0	1041216780.0
1980000000.0	1044336910.0
1990000000.0	1047442630.0
2000000000.0	1050537290.0
2010000000.0	1053618030.0
2020000000.0	1056692100.0
2030000000.0	1059746970.0
2040000000.0	1062797820.0
2050000000.0	1065837530.0
2060000000.0	1068865560.0
2070000000.0	1071876380.0
2080000000.0	1074883050.0
2090000000.0	1077875120.0
2100000000.0	1080856710.0
2110000000.0	1083825290.0
2120000000.0	1086784420.0
2130000000.0	1089735850.0
2140000000.0	1092673410.0
2150000000.0	1095598560.0
2160000000.0	1098514720.0
2170000000.0	1101422720.0
2180000000.0	1104318570.0
2190000000.0	1107205440.0
2200000000.0	1110079290.0
2210000000.0	1112948750.0
2220000000.0	1115802190.0
2230000000.0	1118642550.0
2240000000.0	1121482120.0
2250000000.0	1124303860.0
2260000000.0	1127118930.0
2270000000.0	1129920590.0
2280000000.0	1132720720.0
2290000000.0	1135502760.0
2300000000.0	1138278250.0
2310000000.0	1141041900.0
2320000000.0	1143796740.0
2330000000.0	1146544810.0
2340000000.0	1149284060.0
2350000000.0	1152008410.0
2360000000.0	1154731410.0
2370000000.0	1157434670.0
2380000000.0	1160135690.0
2390000000.0	1162827850.0
2400000000.0	1165505220.0
2410000000.0	1168176310.0
2420000000.0	1170841640.0
2430000000.0	1173495060.0
2440000000.0	1176138950.0
2450000000.0	1178769210.0
2460000000.0	1181402650.0
2470000000.0	1184017580.0
2480000000.0	1186632350.0
2490000000.0	1189230020.0
2500000000.0	1191825550.0
2510000000.0	1194406580.0
2520000000.0	1196979850.0
2530000000.0	1199551530.0
2540000000.0	1202099610.0
2550000000.0	1204651420.0
2560000000.0	1207190750.0
2570000000.0	1209725670.0
2580000000.0	1212247690.0
2590000000.0	1214766850.0
2600000000.0	1217275160.0
2610000000.0	1219776420.0
2620000000.0	1222263870.0
2630000000.0	1224747180.0
2640000000.0	1227225870.0
2650000000.0	1229689590.0
2660000000.0	1232151460.0
2670000000.0	1234598540.0
2680000000.0	1237044670.0
2690000000.0	1239482610.0
2700000000.0	1241911750.0
2710000000.0	1244325070.0
2720000000.0	1246738590.0
2730000000.0	1249150670.0
2740000000.0	1251542040.0
2750000000.0	1253935610.0
2760000000.0	1256318090.0
2770000000.0	1258691230.0
2780000000.0	1261062880.0
2790000000.0	1263418960.0
2800000000.0	1265775800.0
2810000000.0	1268118660.0
2820000000.0	1270454700.0
2830000000.0	1272791880.0
2840000000.0	1275112440.0
2850000000.0	1277426990.0
2860000000.0	1279741240.0
2870000000.0	1282038720.0
2880000000.0	1284339350.0
2890000000.0	1286623840.0
2900000000.0	1288907020.0
2910000000.0	1291178660.0
2920000000.0	1293448500.0
2930000000.0	1295706080.0
2940000000.0	1297963110.0
2950000000.0	1300207340.0
2960000000.0	1302449100.0
2970000000.0	1304681130.0
2980000000.0	1306906700.0
2990000000.0	1309128130.0
3000000000.0	1311341070.0
3010000000.0	1313546850.0
3020000000.0	1315748560.0
3030000000.0	1317939970.0
3040000000.0	1320131080.0
3050000000.0	1322310910.0
3060000000.0	1324482250.0
3070000000.0	1326649580.0
3080000000.0	1328812450.0
3090000000.0	1330967160.0
3100000000.0	1333116030.0
3110000000.0	1335257620.0
3120000000.0	1337395070.0
3130000000.0	1339524780.0
3140000000.0	1341647480.0
3150000000.0	1343763010.0
3160000000.0	1345877790.0
3170000000.0	1347982820.0
3180000000.0	1350078110.0
3190000000.0	1352173670.0
3200000000.0	1354261810.0
3210000000.0	1356343230.0
3220000000.0	1358418410.0
3230000000.0	1360491430.0
3240000000.0	1362549490.0
3250000000.0	1364608040.0
3260000000.0	1366660910.0
3270000000.0	1368702690.0
3280000000.0	1370744500.0
3290000000.0	1372781390.0
3300000000.0	1374807820.0
3310000000.0	1376830630.0
3320000000.0	1378849060.0
3330000000.0	1380859720.0
3340000000.0	1382863240.0
3350000000.0	1384866560.0
3360000000.0	1386858920.0
3370000000.0	1388850490.0
3380000000.0	1390833620.0
3390000000.0	1392809700.0
3400000000.0	1394784590.0
3410000000.0	1396751720.0
3420000000.0	1398713000.0
3430000000.0	1400669080.0
3440000000.0	1402622160.0
3450000000.0	1404565810.0
3460000000.0	1406506950.0
3470000000.0	1408441710.0
3480000000.0	1410372280.0
3490000000.0	1412295720.0
3500000000.0	1414216260.0
3510000000.0	1416128300.0
3520000000.0	1418038590.0
3530000000.0	1419943540.0
3540000000.0	1421841420.0
3550000000.0	1423734540.0
3560000000.0	1425623770.0
3570000000.0	1427507240.0
3580000000.0	1429382150.0
3590000000.0	1431256230.0
3600000000.0	1433126340.0
3610000000.0	1434989250.0
3620000000.0	1436847330.0
3630000000.0	1438701450.0
3640000000.0	1440548460.0
3650000000.0	1442392610.0
3660000000.0	1444232530.0
3670000000.0	1446065960.0
3680000000.0	1447893840.0
3690000000.0	1449718960.0
3700000000.0	1451536950.0
3710000000.0	1453353680.0
3720000000.0	1455163580.0
3730000000.0	1456968690.0
3740000000.0	1458768740.0
3750000000.0	1460564570.0
3760000000.0	1462356120.0
3770000000.0	1464141780.0
3780000000.0	1465924490.0
3790000000.0	1467702590.0
3800000000.0	1469473720.0
3810000000.0	1471243770.0
3820000000.0	1473006800.0
3830000000.0	1474764960.0
3840000000.0	1476520220.0
3850000000.0	1478270720.0
3860000000.0	1480015660.0
3870000000.0	1481756510.0
3880000000.0	1483493970.0
3890000000.0	1485227180.0
3900000000.0	1486955090.0
3910000000.0	1488677890.0
3920000000.0	1490397630.0
3930000000.0	1492114120.0
3940000000.0	1493823160.0
3950000000.0	1495529670.0
3960000000.0	1497231210.0
3970000000.0	1498929400.0
3980000000.0	1500624060.0
3990000000.0	1502314060.0
4000000000.0	1503997800.0
4010000000.0	1505678240.0
4020000000.0	1507355830.0
4030000000.0	1509028480.0
4040000000.0	1510696220.0
4050000000.0	1512362150.0
4060000000.0	1514022590.0
4070000000.0	1515678450.0
4080000000.0	1517329500.0
4090000000.0	1518978070.0
4100000000.0	1520621120.0
4110000000.0	1522262310.0
4120000000.0	1523897530.0
4130000000.0	1525531810.0
4140000000.0	1527158470.0
4150000000.0	1528783960.0
4160000000.0	1530403490.0
4170000000.0	1532019980.0
4180000000.0	1533630280.0
4190000000.0	1535239780.0
4200000000.0	1536845110.0
4210000000.0	1538445210.0
4220000000.0	1540042360.0
4230000000.0	1541635260.0
4240000000.0	1543224450.0
4250000000.0	1544809310.0
4260000000.0	1546390240.0
4270000000.0	1547967940.0
4280000000.0	1549543770.0
4290000000.0	1551114510.0
4300000000.0	1552681140.0
4310000000.0	1554244410.0
4320000000.0	1555803510.0
4330000000.0	1557358790.0
4340000000.0	1558909710.0
4350000000.0	1560458700.0
4360000000.0	1562002590.0
4370000000.0	1563545220.0
4380000000.0	1565082340.0
4390000000.0	1566614630.0
4400000000.0	1568145710.0
4410000000.0	1569670660.0
4420000000.0	1571194950.0
4430000000.0	1572714500.0
4440000000.0	1574229840.0
4450000000.0	1575742870.0
4460000000.0	1577251960.0
4470000000.0	1578757130.0
4480000000.0	1580259120.0
4490000000.0	1581758550.0
4500000000.0	1583253160.0
4510000000.0	1584745090.0
4520000000.0	1586232880.0
4530000000.0	1587716930.0
