TOTAL_READS	EXPECTED_DISTINCT	LOWER_0.95CI	UPPER_0.95CI
0	0	0	0
10000.0	7279.5	6903.5	7676.0
20000.0	13047.5	12410.2	13717.5
30000.0	17945.5	17113.6	18817.9
40000.0	22217.0	21230.9	23248.9
50000.0	26025.5	24913.2	27187.4
60000.0	29467.4	28248.7	30738.7
70000.0	32613.9	31303.6	33979.0
80000.0	35511.5	34121.2	36958.3
90000.0	38186.4	36725.2	39705.7
100000.0	40684.2	39159.0	42268.9
110000.0	43014.6	41429.9	44660.0
120000.0	45196.2	43551.7	46902.7
130000.0	47224.0	45512.1	49000.2
140000.0	49137.1	47342.0	51000.3
150000.0	50931.5	49035.2	52901.2
160000.0	52668.8	50657.5	54760.0
170000.0	54316.5	52176.6	56544.1
180000.0	55837.5	53555.8	58216.5
190000.0	57296.0	54860.3	59839.8
200000.0	58752.0	56152.8	61471.5
210000.0	60101.5	57331.8	63005.0
220000.0	61371.2	58426.6	64464.2
230000.0	62636.0	59513.9	65922.0
240000.0	63832.0	60531.2	67312.9
250000.0	65006.8	61526.9	68683.5
260000.0	66072.4	62413.6	69945.7
270000.0	67090.7	63253.2	71161.0
280000.0	68100.6	64084.5	72368.3
290000.0	69073.4	64878.7	73539.2
300000.0	70025.8	65652.5	74690.6
310000.0	70914.2	66361.9	75778.9
320000.0	71816.0	67084.2	76881.6
330000.0	72704.4	67792.6	77972.1
340000.0	73510.5	68418.2	78981.8
350000.0	74311.3	69037.9	79987.6
360000.0	75125.9	69670.6	81008.3
370000.0	75888.8	70251.1	81978.9
380000.0	76669.0	70848.2	82968.1
390000.0	77436.7	71432.2	83946.1
400000.0	78183.2	71994.4	84904.0
410000.0	78889.6	72516.1	85823.2
420000.0	79573.4	73015.0	86721.0
430000.0	80233.8	73490.0	87596.4
440000.0	80869.7	73940.4	88448.5
450000.0	81478.2	74363.2	89274.0
460000.0	82070.7	74769.8	90084.4
470000.0	82647.8	75161.0	90880.2
480000.0	83210.1	75537.4	91662.0
490000.0	83758.2	75899.7	92430.3
500000.0	84292.6	76248.4	93185.4
510000.0	84813.9	76584.1	93928.0
520000.0	85322.5	76907.4	94658.4
530000.0	85819.0	77218.8	95377.0
540000.0	86299.7	77514.7	96080.3
550000.0	86766.8	77797.4	96770.3
560000.0	87223.1	78069.6	97449.7
570000.0	87680.8	78343.7	98130.8
580000.0	88123.9	78603.5	98797.4
590000.0	88554.8	78851.7	99452.0
