TOTAL_READS	EXPECTED_DISTINCT	LOWER_0.95CI	UPPER_0.95CI
0	0	0	0
1000000.0	640258.0	637395.3	643133.6
2000000.0	1128211.5	1123300.8	1133143.7
3000000.0	1549337.5	1542722.5	1555980.9
4000000.0	1928190.0	1920381.7	1936030.1
5000000.0	2273030.0	2264134.3	2281960.6
6000000.0	2590765.5	2580561.4	2601009.9
7000000.0	2886336.5	2875636.0	2897076.8
8000000.0	3164006.0	3152172.4	3175884.0
9000000.0	3424354.0	3411647.3	3437108.0
10000000.0	3670556.0	3657484.9	3683673.8
11000000.0	3903834.0	3889768.0	3917950.8
12000000.0	4125992.5	4111912.5	4140120.7
13000000.0	4337674.0	4322524.3	4352876.8
14000000.0	4539428.5	4524077.0	4554832.1
15000000.0	4732651.0	4716751.0	4748604.6
16000000.0	4919058.5	4903211.5	4934956.8
17000000.0	5096990.0	5080747.5	5113284.4
18000000.0	5267797.5	5251541.6	5284103.7
19000000.0	5432580.5	5415720.9	5449492.6
20000000.0	5591626.5	5574422.4	5608883.7
21000000.0	5744959.0	5728041.7	5761926.2
22000000.0	5893476.0	5875877.2	5911127.5
23000000.0	6036066.0	6018330.5	6053853.8
24000000.0	6175300.5	6157608.1	6193043.7
25000000.0	6309484.0	6291560.5	6327458.5
26000000.0	6439604.5	6421445.2	6457815.2
27000000.0	6566353.2	6548096.1	6584661.2
