Category	Name	Value
ReadStats	PassReads	57530822.0
ReadStats	LenFail	0.0
ReadStats	QcFail	5913.0
Classification	Primers_found	48261517.0
Classification	Rescue	827797.0
Classification	Unusable	8857587.0
Strand	+	24435559.0
Strand	-	23825958.0
RescueStrand	+	394487.0
RescueStrand	-	433310.0
UnclassHitNr	0	7048773.0
UnclassHitNr	2	1114953.0
UnclassHitNr	3	666085.0
UnclassHitNr	4	23784.0
UnclassHitNr	5	3869.0
UnclassHitNr	6	105.0
UnclassHitNr	7	9.0
UnclassHitNr	8	8.0
UnclassHitNr	13	1.0
RescueHitNr	4	797038.0
RescueHitNr	5	16916.0
RescueHitNr	6	13143.0
RescueHitNr	7	415.0
RescueHitNr	8	267.0
RescueHitNr	9	8.0
RescueHitNr	10	5.0
RescueHitNr	11	5.0
RescueSegmentNr	2	407426.0
RescueSegmentNr	3	4225.0
RescueSegmentNr	4	65.0
RescueSegmentNr	5	2.0
Unusable	0	31332.0
Unusable	1	127341.0
Unusable	2	139170.0
Unusable	3	153055.0
Unusable	4	157788.0
Unusable	5	128096.0
Unusable	6	96590.0
Unusable	7	74346.0
Unusable	8	64133.0
Unusable	9	52165.0
Unusable	10	49357.0
Unusable	11	45073.0
Unusable	12	47269.0
Unusable	13	50203.0
Unusable	14	51635.0
Unusable	15	48316.0
Unusable	16	45560.0
Unusable	17	42212.0
Unusable	18	43589.0
Unusable	19	43574.0
Unusable	20	45748.0
Unusable	21	42295.0
Unusable	22	39729.0
Unusable	23	39848.0
Unusable	24	47373.0
Unusable	25	57492.0
Unusable	26	59289.0
Unusable	27	59380.0
Unusable	28	64918.0
Unusable	29	62029.0
Unusable	30	59170.0
Unusable	31	54143.0
Unusable	32	54490.0
Unusable	33	55827.0
Unusable	34	59155.0
Unusable	35	67816.0
Unusable	36	76845.0
Unusable	37	85473.0
Unusable	38	95457.0
Unusable	39	106617.0
Unusable	40	136159.0
Unusable	41	159129.0
Unusable	42	178737.0
Unusable	43	191914.0
Unusable	44	224345.0
Unusable	45	262359.0
Unusable	46	247871.0
Unusable	47	206603.0
Unusable	48	184740.0
Unusable	49	167546.0
Unusable	50	216340.0
Unusable	51	204404.0
Unusable	52	205418.0
Unusable	53	243258.0
Unusable	54	280773.0
Unusable	55	257995.0
Unusable	56	215123.0
Unusable	57	192140.0
Unusable	58	187296.0
Unusable	59	186433.0
Unusable	60	219576.0
Unusable	61	264661.0
Unusable	62	298648.0
Unusable	63	298122.0
Unusable	64	296924.0
Unusable	65	319195.0
Unusable	66	387217.0
Unusable	67	501728.0
Unusable	68	660709.0
Unusable	69	762816.0
Unusable	70	869491.0
Unusable	71	1072139.0
Unusable	72	1344674.0
Unusable	73	1572868.0
Unusable	74	1840022.0
Unusable	75	2127560.0
Unusable	76	1852151.0
Unusable	77	1491351.0
Unusable	78	1530046.0
Unusable	79	1614053.0
Unusable	80	1760859.0
Unusable	81	1635061.0
Unusable	82	1637620.0
Unusable	83	1921389.0
Unusable	84	1665655.0
Unusable	85	1455981.0
Unusable	86	1451461.0
Unusable	87	1545855.0
Unusable	88	1837018.0
Unusable	89	1590801.0
Unusable	90	1677811.0
Unusable	91	1531623.0
Unusable	92	971285.0
Unusable	93	701294.0
Unusable	94	420349.0
Unusable	95	196571.0
Unusable	96	60295.0
Unusable	97	4133.0
Unusable	98	23.0
Unusable	99	1.0
Unusable	186	1.0
Unusable	187	1.0
Unusable	191	1.0
Unusable	193	2.0
Unusable	196	1.0
Unusable	198	2.0
Unusable	199	2.0
Unusable	200	1.0
Unusable	202	1.0
Unusable	204	1.0
Unusable	205	1.0
Unusable	206	1.0
Unusable	207	3.0
Unusable	208	1.0
Unusable	209	3.0
Unusable	210	3.0
Unusable	211	1.0
Unusable	213	4.0
Unusable	216	1.0
Unusable	217	1.0
Unusable	219	1.0
Unusable	220	4.0
Unusable	221	1.0
Unusable	222	1.0
Unusable	223	1.0
Unusable	224	1.0
Unusable	226	2.0
Unusable	229	6.0
Unusable	230	3.0
Unusable	231	4.0
Unusable	233	1.0
Unusable	234	1.0
Unusable	237	1.0
Unusable	239	3.0
Unusable	240	2.0
Unusable	241	4.0
Unusable	242	3.0
Unusable	243	3.0
Unusable	244	3.0
Unusable	245	3.0
Unusable	246	1.0
Unusable	247	4.0
Unusable	248	3.0
Unusable	249	2.0
Unusable	250	4.0
Unusable	251	4.0
Unusable	252	4.0
Unusable	253	3.0
Unusable	254	3.0
Unusable	255	7.0
Unusable	256	3.0
Unusable	257	7.0
Unusable	258	6.0
Unusable	259	2.0
Unusable	260	9.0
Unusable	261	7.0
Unusable	262	6.0
Unusable	263	8.0
Unusable	264	7.0
Unusable	265	12.0
Unusable	266	9.0
Unusable	267	12.0
Unusable	268	14.0
Unusable	269	15.0
Unusable	270	14.0
Unusable	271	11.0
Unusable	272	15.0
Unusable	273	17.0
Unusable	274	15.0
Unusable	275	10.0
Unusable	276	24.0
Unusable	277	17.0
Unusable	278	30.0
Unusable	279	37.0
Unusable	280	34.0
Unusable	281	16.0
Unusable	282	36.0
Unusable	283	38.0
Unusable	284	53.0
Unusable	285	56.0
Unusable	286	64.0
Unusable	287	53.0
Unusable	288	78.0
Unusable	289	74.0
Unusable	290	93.0
Unusable	291	100.0
Unusable	292	121.0
Unusable	293	135.0
Unusable	294	140.0
Unusable	295	181.0
Unusable	296	206.0
Unusable	297	170.0
Unusable	298	213.0
Unusable	299	201.0
Unusable	300	302.0
Unusable	301	304.0
Unusable	302	341.0
Unusable	303	381.0
Unusable	304	423.0
Unusable	305	452.0
Unusable	306	498.0
Unusable	307	555.0
Unusable	308	605.0
Unusable	309	644.0
Unusable	310	701.0
Unusable	311	809.0
Unusable	312	922.0
Unusable	313	1012.0
Unusable	314	1017.0
Unusable	315	1212.0
Unusable	316	1333.0
Unusable	317	1415.0
Unusable	318	1479.0
Unusable	319	1676.0
Unusable	320	1876.0
Unusable	321	1973.0
Unusable	322	2306.0
Unusable	323	2515.0
Unusable	324	2715.0
Unusable	325	2955.0
Unusable	326	3288.0
Unusable	327	3670.0
Unusable	328	4083.0
Unusable	329	4632.0
Unusable	330	4936.0
Unusable	331	5473.0
Unusable	332	5857.0
Unusable	333	6407.0
Unusable	334	7044.0
Unusable	335	7523.0
Unusable	336	8249.0
Unusable	337	8669.0
Unusable	338	9447.0
Unusable	339	10076.0
Unusable	340	10480.0
Unusable	341	11079.0
Unusable	342	11447.0
Unusable	343	12053.0
Unusable	344	12575.0
Unusable	345	12921.0
Unusable	346	12882.0
Unusable	347	13228.0
Unusable	348	13259.0
Unusable	349	13139.0
Unusable	350	12685.0
Unusable	351	12453.0
Unusable	352	11828.0
Unusable	353	11265.0
Unusable	354	10807.0
Unusable	355	10247.0
Unusable	356	9512.0
Unusable	357	8744.0
Unusable	358	8025.0
Unusable	359	7289.0
Unusable	360	6440.0
Unusable	361	5728.0
Unusable	362	4920.0
Unusable	363	4414.0
Unusable	364	3801.0
Unusable	365	3523.0
Unusable	366	3019.0
Unusable	367	2476.0
Unusable	368	2241.0
Unusable	369	1828.0
Unusable	370	1582.0
Unusable	371	1360.0
Unusable	372	1111.0
Unusable	373	963.0
Unusable	374	838.0
Unusable	375	709.0
Unusable	376	642.0
Unusable	377	553.0
Unusable	378	476.0
Unusable	379	423.0
Unusable	380	364.0
Unusable	381	300.0
Unusable	382	265.0
Unusable	383	239.0
Unusable	384	203.0
Unusable	385	193.0
Unusable	386	143.0
Unusable	387	146.0
Unusable	388	144.0
Unusable	389	117.0
Unusable	390	117.0
Unusable	391	109.0
Unusable	392	76.0
Unusable	393	79.0
Unusable	394	74.0
Unusable	395	57.0
Unusable	396	77.0
Unusable	397	52.0
Unusable	398	54.0
Unusable	399	52.0
Unusable	400	53.0
Unusable	401	53.0
Unusable	402	41.0
Unusable	403	36.0
Unusable	404	43.0
Unusable	405	35.0
Unusable	406	35.0
Unusable	407	33.0
Unusable	408	37.0
Unusable	409	37.0
Unusable	410	35.0
Unusable	411	35.0
Unusable	412	23.0
Unusable	413	39.0
Unusable	414	32.0
Unusable	415	33.0
Unusable	416	28.0
Unusable	417	31.0
Unusable	418	31.0
Unusable	419	25.0
Unusable	420	25.0
Unusable	421	29.0
Unusable	422	26.0
Unusable	423	38.0
Unusable	424	29.0
Unusable	425	23.0
Unusable	426	26.0
Unusable	427	28.0
Unusable	428	26.0
Unusable	429	29.0
Unusable	430	30.0
Unusable	431	23.0
Unusable	432	23.0
Unusable	433	21.0
Unusable	434	30.0
Unusable	435	22.0
Unusable	436	23.0
Unusable	437	25.0
Unusable	438	21.0
Unusable	439	26.0
Unusable	440	24.0
Unusable	441	19.0
Unusable	442	24.0
Unusable	443	19.0
Unusable	444	13.0
Unusable	445	25.0
Unusable	446	24.0
Unusable	447	22.0
Unusable	448	15.0
Unusable	449	20.0
Unusable	450	21.0
Unusable	451	16.0
Unusable	452	16.0
Unusable	453	17.0
Unusable	454	12.0
Unusable	455	12.0
Unusable	456	25.0
Unusable	457	15.0
Unusable	458	12.0
Unusable	459	17.0
Unusable	460	15.0
Unusable	461	15.0
Unusable	462	18.0
Unusable	463	21.0
Unusable	464	18.0
Unusable	465	16.0
Unusable	466	14.0
Unusable	467	18.0
Unusable	468	13.0
Unusable	469	6.0
Unusable	470	14.0
Unusable	471	14.0
Unusable	472	15.0
Unusable	473	16.0
Unusable	474	18.0
Unusable	475	24.0
Unusable	476	17.0
Unusable	477	27.0
Unusable	478	17.0
Unusable	479	20.0
Unusable	480	25.0
Unusable	481	19.0
Unusable	482	26.0
Unusable	483	25.0
Unusable	484	33.0
Unusable	485	24.0
Unusable	486	23.0
Unusable	487	25.0
Unusable	488	34.0
Unusable	489	39.0
Unusable	490	34.0
Unusable	491	36.0
Unusable	492	36.0
Unusable	493	50.0
Unusable	494	47.0
Unusable	495	42.0
Unusable	496	56.0
Unusable	497	60.0
Unusable	498	58.0
Unusable	499	59.0
Unusable	500	68.0
Unusable	501	62.0
Unusable	502	46.0
Unusable	503	73.0
Unusable	504	75.0
Unusable	505	83.0
Unusable	506	80.0
Unusable	507	76.0
Unusable	508	80.0
Unusable	509	80.0
Unusable	510	83.0
Unusable	511	95.0
Unusable	512	97.0
Unusable	513	109.0
Unusable	514	108.0
Unusable	515	108.0
