FIELD	s1	s2	s3
Stranded_Rule_Code	0	0	0
READ_PAIR_OK	22036933	21907221	18489038
TOTAL_READ_PAIRS	24059925	23747796	20438017
DROPPED_NOT_PROPER_PAIR	0	0	0
DROPPED_READ_FAILS_VENDOR_QC	0	0	0
DROPPED_MARKED_NOT_VALID	0	0	0
DROPPED_CHROMS_MISMATCH	0	0	0
DROPPED_PAIR_STRANDS_MISMATCH	0	0	0
DROPPED_IGNORED_CHROMOSOME	0	0	0
DROPPED_NOT_UNIQUE_ALIGNMENT	2022992	1840575	1948979
KEPT_NOT_UNIQUE_ALIGNMENT	0	0	0
minObservedReadLength	101	101	101
maxObservedReadLength	101	101	101
maxLegalPhredScore	41	41	41
IS_SINGLE_END	0	0	0
PREALIGNMENT_READ_CT	-1	-1	-1
BENCHMARK_MinutesOnSamIteration	56.3	55.2	48.05
BENCHMARK_MinutesPerMillionReads	2.34	2.32	2.35
BENCHMARK_MinutesPerMillionGoodReads	2.55	2.52	2.6
ReadPairs_AmbigGene	2052324	2061402	1613576
ReadPairs_UniqueGene	19057863	18979089	16500603
ReadPairs_UniqueGene_CDS	14268427	14250813	11834836
ReadPairs_UniqueGene_UTR	4789436	4728276	4665767
ReadPairs_NoGene	926746	866730	374859
ReadPairs_NoGene_Intron	707426	662716	273493
ReadPairs_NoGene_OneKbFromGene	91842	88800	45577
ReadPairs_NoGene_TenKbFromGene	96247	91220	43571
ReadPairs_NoGene_MiddleOfNowhere	31231	23994	12218
Genes_Total	60675	60675	60675
Genes_WithZeroCounts	33453	34032	37335
Genes_WithNonzeroCounts	27222	26643	23340
InsertSizeCalc_Kept	21383394	21308915	17710345
InsertSizeCalc_lt_readLen	342996	285314	381170
InsertSizeCalc_eq_readLen	126018	103521	136891
InsertSizeCalc_readLen_to_2xreadLen	18564889	17695937	15340345
InsertSizeCalc_ge_2xreadLen	2349491	3224143	1851939
InsertSizeCalc_Dropped	653539	598306	778693
InsertSizeCalc_Dropped_FwdReadAppearsAfterRevReadEnds	0	0	0
InsertSizeCalc_Dropped_ReadsOverlapButSpliceInconsistantlyOnOverlappingSections	151629	140738	130978
InsertSizeCalc_Dropped_RevReadStartsBeforeFwdAndTooManyAdaptorBasesAlign	501910	457568	647715
AggregateGenes	50185	50185	50185
AggregateGenes_NoReads	27997	28511	31183
AggregateGenes_WithReads	22188	21674	19002
SpliceLoci	430189	430070	396318
SpliceLoci_Known	348674	348674	348674
SpliceLoci_Known_NoReads	174850	173871	190677
SpliceLoci_Known_FewReads	41382	40811	41267
SpliceLoci_Known_ManyReads	132442	133992	116730
SpliceLoci_Novel	81515	81396	47644
SpliceLoci_Novel_FewReads	75964	75842	44905
SpliceLoci_Novel_ManyReads	5551	5554	2739
SpliceEvents	13986317	14350871	11048383
SpliceEvents_KnownLoci	13846369	14209781	10969231
SpliceEvents_KnownLociWithFewReads	68221	67557	69213
SpliceEvents_KnownLociWithManyReads	13778148	14142224	10900018
SpliceEvents_NovelLoci	139948	141090	79152
SpliceEvents_NovelLociWithFewReads	92699	93117	53493
SpliceEvents_NovelLociWithManyReads	47249	47973	25659
StrandTest_frFirstStrand	9945828	9900912	8545845
StrandTest_frSecondStrand	9910673	9875000	8511104
StrandTest_ambig_genesFountOnBothStrands	1173675	1177673	1019035
StrandTest_ambig_noGenes	1005787	952437	412466
StrandTest_ambig_other	970	1199	588
StrandTest_STRANDEDNESS_MATCHES_INFERRED	1	1	1
NumberOfChromosomesCovered	80	75	56
READ_LENGTH	101	101	101
COMPLETED_WITHOUT_WARNING	1	1	1
COMPLETED_WITHOUT_ERROR	1	1	1
SpliceLoci_Known_Covered	173824	174803	157997
SpliceLoci_Novel_Covered	81515	81396	47644
SpliceLoci_Covered	255339	256199	205641
InsertSize_Mean	181.7406037	189.0432428	184.4727946
InsertSize_Median	145	152	141
GC_byPair_Mean	104.1459634	103.5420421	105.614902
GC_byPair_Median	104	103	106
GC_byRead_Mean	52.07298171	51.77102103	52.80745102
GC_byRead_Median	52	52	53
GeneBodyCoverage_Overall_Mean	0.49112385	0.489604763	0.509598833
GeneBodyCoverage_Overall_Median	0.4875	0.4875	0.5125
GeneBodyCoverage_LowExpress_Mean	0.493726075	0.495499459	0.496627334
GeneBodyCoverage_LowExpress_Median	0.4875	0.4875	0.4875
GeneBodyCoverage_UMQuartile_Mean	0.479341325	0.478728817	0.488660638
GeneBodyCoverage_UMQuartile_Median	0.4875	0.4625	0.4875
geneDiversityProfile_top1count	249648	252514	210089
geneDiversityProfile_top10count	1207584	1243441	1354251
geneDiversityProfile_top100count	4166614	4200887	4203808
geneDiversityProfile_top1000count	9506524	9502676	9678177
geneDiversityProfile_top1pct	0.013099475	0.013304854	0.012732201
geneDiversityProfile_top10pct	0.063364082	0.065516369	0.082072819
geneDiversityProfile_top100pct	0.218629654	0.221342921	0.254766932
geneDiversityProfile_top1000pct	0.498824239	0.500691893	0.586534747
input.read.pair.count	25253258	24928636	21697224
total.aligned.rate	0.952745384	0.952631183	0.941964603
aligned.and.pf.rate	0.872637226	0.87879742	0.852138412
multi.mapped.read.pair.count	2022992	1840575	1948979
multi.mapped.rate	0.080108159	0.073833763	0.089826192
