BIOTYPE	COUNT	COUNT_AMBIG_GENE	TOTAL
IG_C_gene	1	1	2
IG_C_pseudogene	0	0	0
IG_J_pseudogene	0	0	0
IG_V_pseudogene	1	0	1
IG_pseudogene	0	0	0
Mt_rRNA	1945562	4059	1949621
Mt_tRNA	202	3116	3318
TEC	804	79	883
TR_D_gene	0	0	0
TR_J_gene	51	32	83
TR_V_gene	5	2	7
TR_V_pseudogene	0	0	0
UNK	8	0	8
antisense	5382	770	6152
lincRNA	252476	1588	254064
miRNA	4039	4821	8860
misc_RNA	794236	220	794456
polymorphic_pseudogene	2310	3115	5425
processed_pseudogene	469	296	765
processed_transcript	21378	7481	28859
protein_coding	7744377	174989	7919366
pseudogene	2306	1006	3312
rRNA	1673	23	1696
ribozyme	38341	9573	47914
sRNA	0	2	2
scaRNA	5866	792	6658
sense_intronic	1117	54	1171
sense_overlapping	269	40	309
snRNA	7580	33	7613
snoRNA	15261	2195	17456
transcribed_unprocessed_pseudogene	1395	15	1410
unprocessed_pseudogene	9627	284	9911
