CHROM	FWD_CT	REV_CT	CT
1	392484	402272	794756
10	406368	336111	742479
11	399458	391191	790649
12	437061	304931	741992
13	435820	427585	863405
14	357039	640704	997743
15	368845	353626	722471
16	394208	448780	842988
17	325027	390609	715636
18	364998	364613	729611
19	374572	489299	863871
2	456400	415536	871936
20	344173	464000	808173
21	364426	421289	785715
22	209815	316525	526340
23	348323	387973	736296
24	214093	323174	537267
25	313637	299322	612959
3	1156015	581802	1737817
4	303231	347577	650808
5	437627	696064	1133691
6	447890	456652	904542
7	542969	464465	1007434
8	416837	370187	787024
9	345864	400807	746671
ERCC-00002	1	0	1
ERCC-00096	3	0	3
ERCC-00130	2	0	2
ERCC-00171	2	0	2
KN149679.1	21	238	259
KN149680.1	20	20	40
KN149681.1	307	2942	3249
KN149682.1	17	10	27
KN149683.1	116	186	302
KN149684.1	65	51	116
KN149685.1	183	115	298
KN149686.1	183	247	430
KN149687.1	77	146	223
KN149688.1	164	182	346
KN149689.1	346	49	395
KN149690.1	78	115	193
KN149691.1	1056	41	1097
KN149692.1	28	5	33
KN149693.1	24	2	26
KN149694.1	37	84	121
KN149695.1	99	101	200
KN149696.1	209	189	398
KN149697.1	4	11	15
KN149698.1	107	57	164
KN149699.1	11	217	228
KN149700.1	894	6	900
KN149701.1	4	6	10
KN149702.1	23	1068	1091
KN149703.1	6	584	590
KN149704.1	7	384	391
KN149705.1	5	1	6
KN149706.1	3	485	488
KN149707.1	131	291	422
KN149709.1	4	2	6
KN149710.1	3444	8	3452
KN149711.1	1	16	17
KN149712.1	13	0	13
KN149713.1	1	1	2
KN149714.1	14	39	53
KN149715.1	31	2	33
KN149716.1	11	3	14
KN149717.1	81	19	100
KN149718.1	563	8	571
KN149719.1	1	61	62
KN149720.1	40	2	42
KN149721.1	3	7	10
KN149722.1	3	0	3
KN149723.1	15	170	185
KN149724.1	0	7	7
KN149725.1	50	124	174
KN149727.1	2	328	330
KN149728.1	0	93	93
KN149729.1	3	67	70
KN149730.1	88	0	88
KN149731.1	4	205	209
KN149732.1	8	57	65
KN149733.1	253	5	258
KN149734.1	0	54	54
KN149736.1	54	1	55
KN149737.1	9	16	25
KN149738.1	10	58	68
KN149739.1	76	1033	1109
KN149740.1	4	0	4
KN149741.1	610	4	614
KN149742.1	0	51	51
KN149743.1	6	1075	1081
KN149744.1	7	18	25
KN149745.1	12	2	14
KN149746.1	0	4	4
KN149747.1	8	29	37
KN149748.1	36	51	87
KN149749.1	12	258	270
KN149750.1	26	24	50
KN149751.1	34	21	55
KN149752.1	7	7	14
KN149753.1	805	22	827
KN149754.1	8	454	462
KN149755.1	200	6	206
KN149756.1	0	1	1
KN149757.1	17	2	19
KN149759.1	10	97	107
KN149760.1	118	1090	1208
KN149761.1	1	3	4
KN149762.1	1	19	20
KN149763.1	3	1	4
KN149764.1	9	40	49
KN149765.1	8	11	19
KN149766.1	0	6	6
KN149767.1	0	1	1
KN149768.1	4	11	15
KN149769.1	23	27	50
KN149770.1	24	2	26
KN149771.1	53	0	53
KN149772.1	1085	3	1088
KN149773.1	0	25	25
KN149774.1	1	202	203
KN149775.1	40	46	86
KN149776.1	0	45	45
KN149777.1	1	2	3
KN149778.1	57	2259	2316
KN149779.1	597	35	632
KN149780.1	693	3	696
KN149781.1	163	6	169
KN149782.1	900	546	1446
KN149783.1	1	1	2
KN149784.1	27	38	65
KN149785.1	7	32	39
KN149786.1	21	2	23
KN149787.1	9	16	25
KN149788.1	45	66	111
KN149789.1	2	117	119
KN149790.1	112	1251	1363
KN149791.1	0	3	3
KN149792.1	0	1	1
KN149793.1	239	4	243
KN149794.1	207	2	209
KN149795.1	70	139	209
KN149796.1	0	18	18
KN149797.1	25	1264	1289
KN149798.1	15	8	23
KN149799.1	112	115	227
KN149800.1	3	200	203
KN149801.1	5	0	5
KN149802.1	22	0	22
KN149803.1	3	3	6
KN149804.1	15	290	305
KN149805.1	27	157	184
KN149806.1	57	17	74
KN149807.1	24	55	79
KN149808.1	150	3	153
KN149809.1	4	4	8
KN149810.1	2	76	78
KN149811.1	0	16	16
KN149812.1	17	21	38
KN149813.1	516	42	558
KN149814.1	23	626	649
KN149815.1	13	857	870
KN149816.1	1	92	93
KN149817.1	58	1	59
KN149818.1	10	893	903
KN149819.1	59	1	60
KN149820.1	3	0	3
KN149821.1	192	16	208
KN149822.1	8	72	80
KN149823.1	88	78	166
KN149824.1	1	2	3
KN149825.1	47	37	84
KN149826.1	15	15	30
KN149827.1	1	1	2
KN149828.1	0	4	4
KN149829.1	3	791	794
KN149830.1	379	85	464
KN149831.1	15	56	71
KN149833.1	20	3	23
KN149834.1	0	2	2
KN149835.1	0	2	2
KN149836.1	10	931	941
KN149837.1	0	1	1
KN149838.1	0	813	813
KN149839.1	7	9	16
KN149840.1	217	5	222
KN149841.1	450	3	453
KN149842.1	133	73	206
KN149843.1	26	94	120
KN149844.1	5	0	5
KN149845.1	0	39	39
KN149847.1	129	119	248
KN149848.1	2	7	9
KN149849.1	10	16	26
KN149850.1	64	8	72
KN149851.1	40	0	40
KN149852.1	14	25	39
KN149853.1	0	366	366
KN149854.1	2	724	726
KN149855.1	34	11	45
KN149856.1	12	0	12
KN149857.1	134	0	134
KN149858.1	112	107	219
KN149859.1	40	1	41
KN149860.1	0	16	16
KN149861.1	1	87	88
KN149862.1	157	0	157
KN149863.1	1	166	167
KN149864.1	0	148	148
KN149865.1	31	89	120
KN149866.1	3	1	4
KN149867.1	0	2	2
KN149868.1	1193	10	1203
KN149869.1	15	10	25
KN149870.1	8	24	32
KN149871.1	239	5	244
KN149872.1	0	9	9
KN149873.1	3	75	78
KN149874.1	2	151	153
KN149875.1	4	207	211
KN149876.1	1	2	3
KN149877.1	0	439	439
KN149878.1	23	91	114
KN149879.1	2	0	2
KN149880.1	439	166	605
KN149882.1	0	40	40
KN149883.1	2	267	269
KN149884.1	142	2004	2146
KN149885.1	3	474	477
KN149886.1	3	23	26
KN149887.1	2	0	2
KN149888.1	81	2	83
KN149889.1	19	0	19
KN149890.1	0	27	27
KN149891.1	23	79	102
KN149892.1	23	6	29
KN149893.1	711	18	729
KN149894.1	0	160	160
KN149895.1	117	595	712
KN149896.1	6	0	6
KN149897.1	4	0	4
KN149898.1	47	0	47
KN149899.1	1	0	1
KN149900.1	309	1	310
KN149901.1	1	3	4
KN149902.1	31	36	67
KN149903.1	2	3	5
KN149904.1	11	14	25
KN149905.1	1	0	1
KN149906.1	1	21	22
KN149907.1	2	5	7
KN149908.1	21	15	36
KN149909.1	11	473	484
KN149910.1	1536	45	1581
KN149911.1	93	5	98
KN149912.1	274	77	351
KN149913.1	8	15	23
KN149914.1	8	89	97
KN149915.1	16	33	49
KN149916.1	170	20	190
KN149917.1	10	0	10
KN149918.1	305	0	305
KN149919.1	8	8	16
KN149920.1	137	4	141
KN149921.1	395	22	417
KN149922.1	7	5	12
KN149923.1	1	10	11
KN149924.1	3	3	6
KN149925.1	2	6	8
KN149926.1	70	0	70
KN149927.1	5	27	32
KN149929.1	2	6	8
KN149930.1	307	2084	2391
KN149931.1	0	58	58
KN149932.1	1955	39	1994
KN149933.1	3	10	13
KN149934.1	536	2	538
KN149935.1	0	7	7
KN149936.1	3	7	10
KN149937.1	0	78	78
KN149938.1	8	3	11
KN149939.1	12	77	89
KN149940.1	4	43	47
KN149941.1	0	14	14
KN149942.1	15	153	168
KN149943.1	3	124	127
KN149944.1	4	58	62
KN149945.1	3	5	8
KN149946.1	20	47	67
KN149947.1	4	33	37
KN149948.1	17	11	28
KN149949.1	457	14	471
KN149950.1	1	0	1
KN149951.1	36	1	37
KN149952.1	20	13	33
KN149953.1	5	5	10
KN149954.1	24	0	24
KN149955.1	727	49	776
KN149956.1	49	14	63
KN149957.1	0	6	6
KN149958.1	5	9	14
KN149959.1	474	67	541
KN149961.1	0	1	1
KN149962.1	128	3993	4121
KN149963.1	6	6	12
KN149964.1	4	3	7
KN149965.1	72	205	277
KN149966.1	2313	260	2573
KN149967.1	1	35	36
KN149968.1	1063	267	1330
KN149969.1	2	0	2
KN149970.1	0	115	115
KN149972.1	4	1	5
KN149973.1	23	3	26
KN149974.1	58	14	72
KN149975.1	0	320	320
KN149976.1	59	14	73
KN149977.1	0	16	16
KN149978.1	11	556	567
KN149979.1	17	0	17
KN149980.1	46	5	51
KN149981.1	34	1	35
KN149982.1	3	9	12
KN149983.1	3	7	10
KN149984.1	40	211	251
KN149985.1	90	20	110
KN149986.1	1	190	191
KN149987.1	28	98	126
KN149988.1	200	0	200
KN149989.1	30	23	53
KN149990.1	56	14	70
KN149991.1	195	0	195
KN149992.1	5	11	16
KN149993.1	9	1	10
KN149994.1	26	0	26
KN149995.1	169	0	169
KN149996.1	41	14	55
KN149997.1	133	1	134
KN149998.1	309	76	385
KN149999.1	1	48	49
KN150000.1	11329	15	11344
KN150001.1	65	17	82
KN150002.1	2	3	5
KN150003.1	51	18	69
KN150004.1	320	3	323
KN150005.1	2	4	6
KN150006.1	28	0	28
KN150007.1	49	0	49
KN150008.1	91	141	232
KN150009.1	4	18	22
KN150010.1	2	12	14
KN150011.1	145	1	146
KN150013.1	58	2	60
KN150014.1	32	18	50
KN150015.1	202	9	211
KN150016.1	365	15	380
KN150017.1	4	21	25
KN150019.1	130	15	145
KN150021.1	22	18	40
KN150022.1	58	585	643
KN150023.1	1	752	753
KN150024.1	3	0	3
KN150025.1	12	12	24
KN150026.1	12	0	12
KN150027.1	202	0	202
KN150028.1	1	2	3
KN150029.1	0	1	1
KN150030.1	0	38	38
KN150031.1	28	32	60
KN150032.1	4	7	11
KN150033.1	23	43	66
KN150034.1	3	0	3
KN150035.1	19	620	639
KN150036.1	54	0	54
KN150037.1	19	0	19
KN150038.1	988	579	1567
KN150039.1	9	158	167
KN150040.1	3	3	6
KN150041.1	1584	15	1599
KN150042.1	5	5	10
KN150043.1	1	2	3
KN150044.1	382	2	384
KN150045.1	198	0	198
KN150046.1	1292	92	1384
KN150047.1	6	8	14
KN150048.1	29	10	39
KN150049.1	2	748	750
KN150050.1	1	21	22
KN150051.1	0	35	35
KN150052.1	3	15	18
KN150053.1	27	9	36
KN150054.1	140	0	140
KN150055.1	546	5	551
KN150056.1	5	13	18
KN150057.1	2	0	2
KN150058.1	16	5	21
KN150059.1	0	442	442
KN150060.1	51	30	81
KN150061.1	18	12	30
KN150062.1	1557	19	1576
KN150063.1	29	4	33
KN150064.1	8	173	181
KN150065.1	1	0	1
KN150066.1	25	9	34
KN150067.1	3	84	87
KN150068.1	23	14	37
KN150069.1	48	26	74
KN150070.1	2	12	14
KN150071.1	30	1	31
KN150072.1	37	1	38
KN150073.1	2	10	12
KN150074.1	23	20	43
KN150075.1	5	90	95
KN150076.1	355	5	360
KN150077.1	44	27	71
KN150078.1	498	19	517
KN150079.1	494	625	1119
KN150080.1	49	17	66
KN150081.1	1	0	1
KN150083.1	13	15	28
KN150084.1	23	7	30
KN150085.1	7	393	400
KN150086.1	2	365	367
KN150087.1	48	0	48
KN150088.1	336	4	340
KN150089.1	23	0	23
KN150090.1	3	4	7
KN150091.1	4	2	6
KN150092.1	0	12	12
KN150093.1	0	1	1
KN150095.1	0	170	170
KN150096.1	0	25	25
KN150097.1	4	6	10
KN150098.1	15	80	95
KN150099.1	692	214	906
KN150100.1	142	3	145
KN150101.1	78	94	172
KN150102.1	13	9	22
KN150103.1	14	244	258
KN150104.1	64	32	96
KN150105.1	16	11	27
KN150106.1	102	9	111
KN150107.1	6	17	23
KN150108.1	8	96	104
KN150109.1	2	14	16
KN150110.1	41	0	41
KN150111.1	1961	5	1966
KN150112.1	17	113	130
KN150113.1	11	15	26
KN150114.1	15	5	20
KN150115.1	0	31	31
KN150116.1	156	6	162
KN150117.1	7	7	14
KN150118.1	346	1523	1869
KN150119.1	0	1	1
KN150120.1	173	2	175
KN150121.1	3	0	3
KN150122.1	28	1080	1108
KN150123.1	9	1031	1040
KN150124.1	21	18	39
KN150125.1	1227	33	1260
KN150126.1	17	18	35
KN150127.1	199	99	298
KN150128.1	30	0	30
KN150129.1	34	960	994
KN150130.1	15	0	15
KN150131.1	115	48	163
KN150132.1	0	23	23
KN150133.1	15	4	19
KN150134.1	114	7	121
KN150135.1	47	0	47
KN150136.1	907	10	917
KN150137.1	112	16	128
KN150138.1	57	2	59
KN150139.1	190	7	197
KN150140.1	3	6	9
KN150141.1	810	3	813
KN150142.1	57	107	164
KN150143.1	83	0	83
KN150144.1	0	123	123
KN150145.1	9	7	16
KN150146.1	3	0	3
KN150147.1	17	0	17
KN150148.1	19	8	27
KN150149.1	0	4	4
KN150150.1	8	14	22
KN150151.1	2	7	9
KN150152.1	102	0	102
KN150153.1	0	10	10
KN150154.1	4	9	13
KN150155.1	5	2	7
KN150156.1	46	33	79
KN150157.1	15	2	17
KN150158.1	36	555	591
KN150159.1	28	718	746
KN150160.1	106	15	121
KN150162.1	0	6	6
KN150164.1	7	482	489
KN150165.1	1177	19	1196
KN150166.1	655	16	671
KN150167.1	0	4	4
KN150168.1	62	831	893
KN150169.1	27	6	33
KN150170.1	537	989	1526
KN150171.1	137	1686	1823
KN150172.1	33	66	99
KN150173.1	8	156	164
KN150175.1	445	12	457
KN150176.1	48	36	84
KN150177.1	72	6	78
KN150178.1	92	240	332
KN150179.1	6	14	20
KN150180.1	1	51	52
KN150181.1	7	16	23
KN150182.1	1	17	18
KN150183.1	13	10	23
KN150184.1	173	2	175
KN150186.1	2	3	5
KN150187.1	12	118	130
KN150188.1	17	22	39
KN150189.1	1	3	4
KN150190.1	5	4	9
KN150191.1	2196	38	2234
KN150192.1	232	0	232
KN150193.1	1	1	2
KN150194.1	1	7	8
KN150195.1	220	4	224
KN150196.1	421	425	846
KN150197.1	3	9	12
KN150198.1	268	0	268
KN150199.1	157	167	324
KN150200.1	3	9	12
KN150201.1	1	0	1
KN150202.1	3	323	326
KN150203.1	471	2	473
KN150204.1	59	5	64
KN150205.1	69	33	102
KN150206.1	11	1	12
