#Insert size (bp)	insert size
34.0	1.0
60.0	1.0
65.0	1.0
68.0	1.0
78.0	2.0
79.0	2.0
81.0	1.0
82.0	1.0
85.0	1.0
87.0	1.0
89.0	2.0
90.0	3.0
92.0	5.0
93.0	4.0
94.0	4.0
95.0	1.0
96.0	2.0
97.0	3.0
98.0	6.0
99.0	4.0
100.0	3.0
101.0	6.0
102.0	8.0
103.0	10.0
104.0	7.0
105.0	9.0
106.0	6.0
107.0	12.0
108.0	5.0
109.0	5.0
110.0	11.0
111.0	11.0
112.0	13.0
113.0	12.0
114.0	16.0
115.0	20.0
116.0	19.0
117.0	21.0
118.0	18.0
119.0	38.0
120.0	23.0
121.0	27.0
122.0	29.0
123.0	36.0
124.0	29.0
125.0	26.0
126.0	31.0
127.0	34.0
128.0	34.0
129.0	32.0
130.0	33.0
131.0	35.0
132.0	47.0
133.0	34.0
134.0	48.0
135.0	49.0
136.0	52.0
137.0	52.0
138.0	62.0
139.0	39.0
140.0	55.0
141.0	69.0
142.0	55.0
143.0	61.0
144.0	53.0
145.0	78.0
146.0	60.0
147.0	65.0
148.0	71.0
149.0	74.0
150.0	66.0
151.0	75.0
152.0	84.0
153.0	68.0
154.0	86.0
155.0	81.0
156.0	91.0
157.0	100.0
158.0	90.0
159.0	91.0
160.0	99.0
161.0	105.0
162.0	96.0
163.0	96.0
164.0	94.0
165.0	100.0
166.0	119.0
167.0	113.0
168.0	78.0
169.0	110.0
170.0	120.0
171.0	109.0
172.0	107.0
173.0	92.0
174.0	114.0
175.0	114.0
176.0	115.0
177.0	108.0
178.0	131.0
179.0	97.0
180.0	132.0
181.0	123.0
182.0	119.0
183.0	121.0
184.0	106.0
185.0	126.0
186.0	101.0
187.0	123.0
188.0	120.0
189.0	124.0
190.0	117.0
191.0	106.0
192.0	103.0
193.0	109.0
194.0	103.0
195.0	119.0
196.0	116.0
197.0	106.0
198.0	101.0
199.0	119.0
200.0	111.0
201.0	110.0
202.0	119.0
203.0	100.0
204.0	101.0
205.0	94.0
206.0	118.0
207.0	88.0
208.0	98.0
209.0	110.0
210.0	91.0
211.0	104.0
212.0	92.0
213.0	99.0
214.0	75.0
215.0	98.0
216.0	78.0
217.0	103.0
218.0	108.0
219.0	92.0
220.0	91.0
221.0	106.0
222.0	75.0
223.0	89.0
224.0	83.0
225.0	70.0
226.0	76.0
227.0	93.0
228.0	76.0
229.0	87.0
230.0	84.0
231.0	76.0
232.0	72.0
233.0	56.0
234.0	59.0
235.0	68.0
236.0	67.0
237.0	69.0
238.0	68.0
239.0	57.0
240.0	73.0
241.0	56.0
242.0	54.0
243.0	66.0
244.0	60.0
245.0	59.0
246.0	55.0
247.0	39.0
248.0	54.0
249.0	58.0
250.0	41.0
251.0	56.0
252.0	53.0
253.0	48.0
254.0	33.0
255.0	45.0
256.0	53.0
257.0	41.0
258.0	30.0
259.0	45.0
260.0	35.0
261.0	37.0
262.0	39.0
263.0	43.0
264.0	41.0
265.0	34.0
266.0	42.0
267.0	34.0
268.0	34.0
269.0	25.0
270.0	34.0
271.0	34.0
272.0	34.0
273.0	22.0
274.0	31.0
275.0	23.0
276.0	30.0
277.0	25.0
278.0	25.0
279.0	27.0
280.0	33.0
281.0	19.0
282.0	21.0
283.0	26.0
284.0	22.0
285.0	17.0
286.0	25.0
287.0	21.0
288.0	25.0
289.0	22.0
290.0	21.0
291.0	19.0
292.0	19.0
293.0	22.0
294.0	15.0
295.0	25.0
296.0	16.0
297.0	18.0
298.0	16.0
299.0	16.0
300.0	15.0
301.0	21.0
302.0	12.0
303.0	10.0
304.0	13.0
305.0	5.0
306.0	21.0
307.0	18.0
308.0	22.0
309.0	9.0
310.0	13.0
311.0	12.0
312.0	12.0
313.0	7.0
314.0	8.0
315.0	13.0
316.0	7.0
317.0	12.0
318.0	6.0
319.0	8.0
320.0	14.0
321.0	13.0
322.0	14.0
323.0	8.0
324.0	5.0
325.0	8.0
326.0	9.0
327.0	10.0
328.0	10.0
329.0	10.0
330.0	3.0
331.0	8.0
332.0	7.0
333.0	7.0
334.0	7.0
335.0	9.0
336.0	3.0
337.0	8.0
338.0	11.0
339.0	4.0
340.0	6.0
341.0	9.0
342.0	4.0
343.0	5.0
345.0	5.0
346.0	6.0
347.0	6.0
348.0	5.0
349.0	4.0
350.0	6.0
351.0	5.0
352.0	4.0
353.0	4.0
354.0	6.0
355.0	4.0
356.0	2.0
358.0	1.0
359.0	6.0
360.0	5.0
361.0	2.0
362.0	4.0
363.0	2.0
364.0	3.0
365.0	2.0
366.0	3.0
367.0	6.0
368.0	3.0
369.0	2.0
370.0	4.0
371.0	3.0
372.0	1.0
373.0	5.0
374.0	2.0
375.0	3.0
376.0	3.0
377.0	3.0
378.0	2.0
379.0	2.0
380.0	4.0
381.0	2.0
382.0	3.0
383.0	3.0
385.0	2.0
386.0	2.0
387.0	2.0
388.0	3.0
389.0	2.0
390.0	2.0
391.0	2.0
395.0	4.0
396.0	2.0
398.0	2.0
399.0	5.0
400.0	1.0
401.0	2.0
402.0	2.0
403.0	1.0
404.0	1.0
405.0	3.0
406.0	1.0
407.0	2.0
408.0	2.0
409.0	3.0
410.0	1.0
411.0	1.0
412.0	2.0
413.0	2.0
414.0	1.0
415.0	3.0
416.0	2.0
418.0	2.0
419.0	1.0
420.0	1.0
421.0	2.0
424.0	1.0
425.0	1.0
428.0	1.0
429.0	2.0
431.0	1.0
432.0	1.0
433.0	1.0
435.0	2.0
437.0	2.0
438.0	2.0
439.0	3.0
441.0	2.0
443.0	1.0
445.0	3.0
446.0	2.0
447.0	4.0
448.0	1.0
450.0	1.0
452.0	1.0
453.0	1.0
455.0	2.0
456.0	1.0
457.0	1.0
458.0	1.0
461.0	2.0
