#Position (bp)	Coverage
8286.0	0.0
3929738.0	0.0
1.17643565E7	0.0
1.96072605E7	0.0
2.74501645E7	0.0
3.52930685E7	0.0
4.31359725E7	0.0
5.09788765E7	0.0
5.88217805E7	0.0
6.66646845E7	0.0
7.45075885E7	0.0
8.23504925E7	0.0
9.01933965E7	0.0
9.80363005E7	0.0
1.058792045E8	0.0
1.137221085E8	0.0
1.215650125E8	0.0
1.294079165E8	0.0
1.372508205E8	0.0
1.450937245E8	0.0
1.529366285E8	0.0
1.607795325E8	0.0
1.686224365E8	0.0
1.764653405E8	0.0
1.843082445E8	0.0
1.921511485E8	0.0
1.999940525E8	0.0
2.078369565E8	0.0
2.156798605E8	0.0
2.235227645E8	0.0
2.313656685E8	0.0
2.392085725E8	0.0
2.461986085E8	0.0
2.501200605E8	0.0
2.548943805E8	0.0
2.627372845E8	0.0
2.705801885E8	0.0
2.784230925E8	0.0
2.862659965E8	0.0
2.941089005E8	0.0
3.019518045E8	0.0
3.097947085E8	0.0
3.176376125E8	0.0
3.254805165E8	0.0
3.333234205E8	0.0
3.411663245E8	0.0
3.490092285E8	0.0
3.568521325E8	0.0
3.646950365E8	0.0
3.725379405E8	0.0
3.803808445E8	0.0
3.882237485E8	0.0
3.960666525E8	0.0
4.039095565E8	0.0
4.117524605E8	0.0
4.195953645E8	0.0
4.274382685E8	0.0
4.352811725E8	0.0
4.431240765E8	0.0
4.509669805E8	0.0
4.588098845E8	0.0
4.666527885E8	0.0
4.744956925E8	0.0
4.823385965E8	0.0
4.89363307E8	0.0
4.93284759E8	0.0
4.980244045E8	0.0
5.058673085E8	0.0
5.137102125E8	0.0
5.215531165E8	0.0
5.293960205E8	0.0
5.372389245E8	0.0
5.450818285E8	0.0
5.529247325E8	0.0
5.607676365E8	0.0
5.686105405E8	0.0
5.764534445E8	0.0
5.842963485E8	0.0
5.921392525E8	0.0
5.999821565E8	0.0
6.078250605E8	0.0
6.156679645E8	0.0
6.235108685E8	0.0
6.313537725E8	0.0
6.391966765E8	0.0
6.470395805E8	0.0
6.548824845E8	0.0
