#Coverage	Number of genomic locations
0.0	2356.0
1.0	2280.0
2.0	2604.0
3.0	3082.0
4.0	3695.0
5.0	4265.0
6.0	5273.0
7.0	5950.0
8.0	6335.0
9.0	6877.0
10.0	7315.0
11.0	7746.0
12.0	8056.0
13.0	8591.0
14.0	9049.0
15.0	9885.0
16.0	10732.0
17.0	12798.0
18.0	13555.0
19.0	14206.0
20.0	14269.0
21.0	15410.0
22.0	16006.0
23.0	16754.0
24.0	17555.0
25.0	18391.0
26.0	19376.0
27.0	20128.0
28.0	20762.0
29.0	21732.0
30.0	22973.0
31.0	23562.0
32.0	24492.0
33.0	24920.0
34.0	25713.0
35.0	26488.0
36.0	27518.0
37.0	28598.0
38.0	29501.0
39.0	30254.0
40.0	30483.0
41.0	31745.0
42.0	32394.0
43.0	33341.0
44.0	33324.0
45.0	34270.0
46.0	34291.0
47.0	34960.0
48.0	35203.0
49.0	35375.0
50.0	35493.0
51.0	35077.0
52.0	35008.0
53.0	34534.0
54.0	33417.0
55.0	33892.0
56.0	32866.0
57.0	32680.0
58.0	32115.0
59.0	30924.0
60.0	30126.0
61.0	29188.0
62.0	28631.0
63.0	26917.0
64.0	25239.0
65.0	24312.0
66.0	22652.0
67.0	21661.0
68.0	20670.0
69.0	19255.0
70.0	17879.0
71.0	16699.0
72.0	15381.0
73.0	13861.0
74.0	12416.0
75.0	11021.0
76.0	9549.0
77.0	8589.0
78.0	7336.0
79.0	6352.0
80.0	5487.0
81.0	4861.0
82.0	4324.0
83.0	3692.0
84.0	3200.0
85.0	2656.0
86.0	2268.0
87.0	1826.0
88.0	1587.0
89.0	1355.0
90.0	1153.0
91.0	1018.0
92.0	838.0
93.0	725.0
94.0	620.0
95.0	566.0
96.0	506.0
97.0	497.0
98.0	454.0
99.0	403.0
100.0	385.0
101.0	300.0
102.0	339.0
103.0	373.0
104.0	346.0
105.0	320.0
106.0	303.0
107.0	276.0
108.0	240.0
109.0	216.0
110.0	207.0
111.0	216.0
112.0	215.0
113.0	183.0
114.0	154.0
115.0	139.0
116.0	141.0
117.0	164.0
118.0	150.0
119.0	171.0
120.0	131.0
121.0	102.0
122.0	104.0
123.0	121.0
124.0	123.0
125.0	115.0
126.0	119.0
127.0	96.0
128.0	107.0
129.0	109.0
130.0	111.0
131.0	90.0
132.0	80.0
133.0	78.0
134.0	73.0
135.0	61.0
136.0	90.0
137.0	67.0
138.0	82.0
139.0	85.0
140.0	85.0
141.0	88.0
142.0	114.0
143.0	106.0
144.0	96.0
145.0	75.0
146.0	80.0
147.0	78.0
148.0	69.0
149.0	86.0
150.0	78.0
151.0	74.0
152.0	63.0
153.0	61.0
154.0	63.0
155.0	61.0
156.0	70.0
157.0	65.0
158.0	66.0
159.0	51.0
160.0	41.0
161.0	50.0
162.0	55.0
163.0	42.0
164.0	31.0
165.0	38.0
166.0	37.0
167.0	35.0
168.0	44.0
169.0	29.0
170.0	35.0
171.0	48.0
172.0	29.0
173.0	41.0
174.0	39.0
175.0	43.0
176.0	38.0
177.0	48.0
178.0	55.0
179.0	50.0
180.0	56.0
181.0	53.0
182.0	69.0
183.0	60.0
184.0	53.0
185.0	52.0
186.0	40.0
187.0	26.0
188.0	43.0
189.0	37.0
190.0	40.0
191.0	41.0
192.0	46.0
193.0	57.0
194.0	36.0
195.0	49.0
196.0	50.0
197.0	39.0
198.0	31.0
199.0	38.0
200.0	36.0
201.0	24.0
202.0	30.0
203.0	30.0
204.0	34.0
205.0	41.0
206.0	40.0
207.0	32.0
208.0	26.0
209.0	35.0
210.0	36.0
211.0	35.0
212.0	40.0
213.0	30.0
214.0	31.0
215.0	36.0
216.0	37.0
217.0	28.0
218.0	29.0
219.0	42.0
220.0	38.0
221.0	38.0
222.0	63.0
223.0	47.0
224.0	45.0
225.0	42.0
226.0	38.0
227.0	49.0
228.0	35.0
229.0	38.0
230.0	41.0
231.0	38.0
232.0	32.0
233.0	32.0
234.0	21.0
235.0	27.0
236.0	35.0
237.0	36.0
238.0	34.0
239.0	23.0
240.0	26.0
241.0	18.0
242.0	23.0
243.0	11.0
244.0	18.0
245.0	26.0
246.0	24.0
247.0	15.0
248.0	15.0
249.0	9.0
250.0	13.0
251.0	28.0
252.0	26.0
253.0	27.0
254.0	19.0
255.0	14.0
256.0	15.0
257.0	14.0
258.0	27.0
259.0	9.0
260.0	15.0
261.0	9.0
262.0	13.0
263.0	9.0
264.0	6.0
265.0	9.0
266.0	15.0
267.0	17.0
268.0	13.0
269.0	11.0
270.0	12.0
271.0	14.0
272.0	3.0
273.0	5.0
274.0	8.0
275.0	6.0
276.0	4.0
277.0	7.0
278.0	4.0
279.0	2.0
280.0	7.0
281.0	10.0
282.0	8.0
283.0	6.0
284.0	5.0
285.0	7.0
286.0	5.0
287.0	9.0
288.0	7.0
289.0	10.0
290.0	5.0
291.0	3.0
292.0	3.0
293.0	3.0
294.0	8.0
295.0	8.0
296.0	6.0
297.0	1.0
298.0	5.0
299.0	3.0
300.0	4.0
301.0	4.0
302.0	2.0
303.0	3.0
304.0	2.0
305.0	3.0
306.0	1.0
307.0	1.0
309.0	2.0
311.0	1.0
