#Coverage (X)	Coverage
1.0	99.8596652575613
2.0	99.72385744229805
3.0	99.56875062170792
4.0	99.38517181177751
5.0	99.1650797602873
6.0	98.91103575498126
7.0	98.59695039976937
8.0	98.2425396537973
9.0	97.86519644779172
10.0	97.45556910324551
11.0	97.01985236260924
12.0	96.55846317970173
13.0	96.07860889910492
14.0	95.56688743378625
15.0	95.02788527575241
16.0	94.43908691878872
17.0	93.79983714975134
18.0	93.03752643933947
19.0	92.23012515166695
20.0	91.3839471588469
21.0	90.53401658165772
22.0	89.61612253200568
23.0	88.66272784292516
24.0	87.6647786600653
25.0	86.61911804736953
26.0	85.5236612357439
27.0	84.3695330653313
28.0	83.17061214181433
29.0	81.93392711528118
30.0	80.63946420242989
31.0	79.27108133399014
32.0	77.86761477994071
33.0	76.40875293282338
34.0	74.92439733792855
35.0	73.39280683184788
36.0	71.81505358154396
37.0	70.17594855504655
38.0	68.47251351079285
39.0	66.71529142391516
40.0	64.91321701910184
41.0	63.09750226793095
42.0	61.20661669971522
43.0	59.27707355601447
44.0	57.29112251711447
45.0	55.30618408034581
46.0	53.264897313209154
47.0	51.22235968461613
48.0	49.139973183912964
49.0	47.04311242921464
50.0	44.936006523540314
51.0	42.8218719677778
