#Insert size (bp)	insert size
1.0	5.0
3.0	2.0
4.0	1.0
5.0	1.0
6.0	3.0
7.0	1.0
9.0	3.0
10.0	1.0
12.0	2.0
15.0	2.0
16.0	3.0
17.0	4.0
19.0	2.0
20.0	3.0
21.0	2.0
22.0	2.0
23.0	2.0
25.0	2.0
26.0	2.0
27.0	3.0
31.0	3.0
32.0	4.0
34.0	2.0
35.0	1.0
36.0	3.0
37.0	3.0
38.0	2.0
39.0	2.0
40.0	2.0
41.0	3.0
42.0	3.0
43.0	1.0
44.0	5.0
45.0	5.0
46.0	4.0
47.0	4.0
48.0	3.0
49.0	2.0
50.0	2.0
51.0	1.0
52.0	1.0
53.0	5.0
54.0	4.0
55.0	1.0
56.0	5.0
57.0	6.0
58.0	2.0
59.0	5.0
60.0	3.0
61.0	1.0
62.0	4.0
63.0	8.0
64.0	3.0
65.0	3.0
66.0	8.0
67.0	7.0
68.0	2.0
69.0	8.0
70.0	9.0
71.0	9.0
72.0	8.0
73.0	13.0
74.0	6.0
75.0	29.0
76.0	20.0
77.0	29.0
78.0	28.0
79.0	34.0
80.0	29.0
81.0	37.0
82.0	52.0
83.0	39.0
84.0	60.0
85.0	76.0
86.0	62.0
87.0	58.0
88.0	84.0
89.0	77.0
90.0	90.0
91.0	90.0
92.0	101.0
93.0	92.0
94.0	107.0
95.0	120.0
96.0	118.0
97.0	102.0
98.0	130.0
99.0	138.0
100.0	125.0
101.0	120.0
102.0	141.0
103.0	161.0
104.0	137.0
105.0	164.0
106.0	155.0
107.0	157.0
108.0	158.0
109.0	145.0
110.0	179.0
111.0	204.0
112.0	168.0
113.0	174.0
114.0	189.0
115.0	172.0
116.0	165.0
117.0	206.0
118.0	170.0
119.0	190.0
120.0	210.0
121.0	187.0
122.0	216.0
123.0	175.0
124.0	214.0
125.0	218.0
126.0	184.0
127.0	193.0
128.0	196.0
129.0	195.0
130.0	194.0
131.0	185.0
132.0	210.0
133.0	196.0
134.0	198.0
135.0	192.0
136.0	205.0
137.0	227.0
138.0	204.0
139.0	213.0
140.0	233.0
141.0	222.0
142.0	196.0
143.0	225.0
144.0	202.0
145.0	200.0
146.0	194.0
147.0	186.0
148.0	220.0
149.0	202.0
150.0	190.0
151.0	200.0
152.0	211.0
153.0	221.0
154.0	209.0
155.0	213.0
156.0	216.0
157.0	191.0
158.0	203.0
159.0	230.0
160.0	241.0
161.0	229.0
162.0	258.0
