#GC Content (%)	Sample	HUMAN (hg19)
1.0	0.0	0.0
2.0	0.0	3.0E-6
3.0	0.0	3.0E-6
4.0	0.0	1.0E-5
5.0	1.126874838011742E-5	8.0E-6
6.0	0.0	1.2000000000000002E-5
7.0	0.0	6.999999999999999E-6
8.0	0.0	9.999999999999999E-6
9.0	0.0	1.6E-5
10.0	0.0	1.5000000000000002E-5
11.0	0.0	1.9999999999999998E-5
12.0	0.0	1.6E-5
13.0	0.0	1.6E-5
14.0	1.126874838011742E-5	2.4999999999999998E-5
15.0	0.0	2.2000000000000003E-5
16.0	2.253749676023484E-5	2.6999999999999996E-5
17.0	4.507499352046968E-5	3.3E-5
18.0	3.380624514035226E-5	3.7000000000000005E-5
19.0	5.63437419005871E-5	4.7000000000000004E-5
20.0	6.761249028070452E-5	5.4999999999999995E-5
21.0	3.4933119978364E-4	6.400000000000001E-5
22.0	8.902311220292761E-4	9.3E-5
23.0	0.0017804622440585522	1.66E-4
24.0	0.002648155869327594	3.03E-4
25.0	0.00502586177753237	7.059999999999999E-4
26.0	0.005251236745134718	0.0016020000000000001
27.0	0.007719092640380433	0.0033690000000000005
28.0	0.00978127359394192	0.006167999999999999
29.0	0.012080098263485873	0.010352
30.0	0.014040860481626307	0.015647
31.0	0.016057966441667324	0.022148
32.0	0.0172073787764393	0.028808
33.0	0.018334253614451044	0.035106000000000005
34.0	0.01899910976887797	0.041161
35.0	0.02071195952265582	0.047408
36.0	0.020779572012936523	0.052698999999999996
37.0	0.02145569691574357	0.057517000000000006
38.0	0.02162472814144533	0.061487999999999994
39.0	0.02207547807665003	0.063321
40.0	0.02239100303129331	0.060248
41.0	0.022221971805591555	0.055508
42.0	0.02187264060580791	0.051446000000000006
43.0	0.021365546928702628	0.048194
44.0	0.022165628063690965	0.044423
45.0	0.023089665430860593	0.040655000000000004
46.0	0.021985328089609086	0.03652
47.0	0.02240227177967343	0.032315
48.0	0.022853021714878123	0.028137999999999996
49.0	0.02323615915980212	0.02458
50.0	0.023777059082047754	0.020810000000000002
51.0	0.025185652629562433	0.017532
52.0	0.0209598719870184	0.014506999999999997
53.0	0.022875559211638363	0.012007
54.0	0.023371384140363532	0.010018
55.0	0.02375452158528752	0.008414999999999999
56.0	0.02394609030774952	0.007258
57.0	0.024960277661960087	0.006174999999999999
58.0	0.024430646488094565	0.005363000000000001
59.0	0.0241263902818314	0.0046159999999999994
60.0	0.026289989970813943	0.003946
61.0	0.025839240035609248	0.0034579999999999993
62.0	0.024543333971895745	0.002915
63.0	0.026019540009691124	0.0024610000000000005
64.0	0.024306690255913276	0.0019950000000000002
65.0	0.023033321688960006	0.0016779999999999998
66.0	0.021275396941661688	0.0013500000000000003
67.0	0.020283747084211358	0.001069
68.0	0.018863884788316562	8.119999999999999E-4
69.0	0.016745360092854485	6.4E-4
70.0	0.013545035552901137	5.05E-4
71.0	0.011573004586380591	4.0299999999999993E-4
72.0	0.008857236226772293	3.2E-4
73.0	0.007178192718134796	2.79E-4
74.0	0.006006242886602585	2.0700000000000002E-4
75.0	0.005003324280772135	2.0099999999999998E-4
76.0	0.004180705649023563	1.54E-4
77.0	0.003245399533473817	1.12E-4
78.0	0.0035496557397369875	7.699999999999999E-5
79.0	0.0025241996371463014	6.3E-5
80.0	0.002434049650105363	3.7E-5
81.0	0.0021974059341228975	2.8000000000000003E-5
82.0	0.0015325497796959693	1.6E-5
83.0	0.0010817998444912723	9.0E-6
84.0	9.12768618789511E-4	4.0E-6
85.0	4.732874319649316E-4	0.0
86.0	2.70449961122818E-4	1.0E-6
87.0	1.690312257017613E-4	0.0
88.0	1.126874838011742E-5	0.0
89.0	0.0	0.0
90.0	0.0	0.0
91.0	1.126874838011742E-5	0.0
92.0	0.0	0.0
93.0	1.126874838011742E-5	0.0
94.0	0.0	0.0
95.0	0.0	0.0
96.0	0.0	0.0
97.0	0.0	0.0
98.0	0.0	0.0
99.0	0.0	0.0
100.0	0.0	0.0
