#Transcript position	Transcript coverage profile
0.0	630.199225299291
1.0	1106.2931390467481
2.0	1453.8122206678752
3.0	1648.0713613771845
4.0	1837.8099140025693
5.0	2023.1417534067837
6.0	2118.062275124111
7.0	2128.611820020346
8.0	2085.2234274030443
9.0	2154.37779914315
10.0	2215.6915059248436
11.0	2247.5944304011264
12.0	2271.4591637888966
13.0	2381.506643526659
14.0	2515.6365888338523
15.0	2582.402968782665
16.0	2678.5340004429613
17.0	2703.2357348010205
18.0	2631.5523245642994
19.0	2631.1656418733783
20.0	2674.3340728700823
21.0	2670.7216036639024
22.0	2672.565463337559
23.0	2851.2467590364786
24.0	2937.1839668592006
25.0	2944.607709654298
26.0	3037.9438663354786
27.0	3203.11815977238
28.0	3455.1250139512786
29.0	3492.888677992523
30.0	3414.1529808963064
31.0	3249.9637209824405
32.0	3061.97591492148
33.0	3116.734646196911
34.0	3209.6023283104396
35.0	3246.1120968077116
36.0	3289.815597439031
37.0	3342.388649363186
38.0	3363.7185797971897
39.0	3405.816963887411
40.0	3410.0069578425732
41.0	3455.4049985670335
42.0	3478.3387545635464
43.0	3458.4689626827126
44.0	3458.6629766595825
45.0	3509.5880974692714
46.0	3563.056876017113
47.0	3518.8313439119197
48.0	3470.79485360465
49.0	3371.8989131102453
50.0	3336.4185521226573
51.0	3304.4637432098557
52.0	3397.3723804607625
53.0	3448.1763148272385
54.0	3488.12954844063
55.0	3451.714658120326
56.0	3387.83871216902
57.0	3309.442340366813
58.0	3375.0247061744126
59.0	3417.1808491809097
60.0	3445.441104254349
61.0	3426.1616007247844
62.0	3400.6390029895783
63.0	3395.689276004035
64.0	3477.878421898962
65.0	3468.5896629054255
66.0	3442.5913612514037
67.0	3482.227891768032
68.0	3511.6401076862685
69.0	3462.627538485253
70.0	3508.9934921986533
71.0	3481.275906082616
72.0	3512.4817124300102
73.0	3540.2745102055665
74.0	3626.9237997783325
75.0	3727.502078115883
76.0	3907.0077223717635
77.0	4038.6515837963175
78.0	4003.4792588244213
79.0	3926.43793593849
80.0	3761.754503424081
81.0	3709.1716149847844
82.0	3696.8176677468946
83.0	3608.024027283067
84.0	3561.205574496989
85.0	3567.1878211824232
86.0	3474.4907862563177
87.0	3460.358832042695
88.0	3437.9444014233854
89.0	3460.341593486324
90.0	3373.145587457095
91.0	3238.9659001492455
92.0	3031.8793674974354
93.0	2893.330670420872
94.0	2540.50272803129
95.0	2131.900942232072
96.0	1583.114053684609
97.0	976.4420338932046
98.0	469.12365713916654
99.0	108.63006436240717
