sample	read_end	cycle	frac_a	frac_c	frac_g	frac_t	frac_n
HG03953	1	1	0.30975	0.18919	0.19019	0.31022	0.00065
HG03953	1	2	0.30713	0.19160	0.19281	0.30819	0.00027
HG03953	1	3	0.30462	0.19428	0.19553	0.30557	0.00000
HG03953	1	4	0.30297	0.19619	0.19728	0.30355	0.00001
HG03953	1	5	0.30289	0.19593	0.19741	0.30377	0.00000
HG03953	1	6	0.29902	0.19995	0.20136	0.29967	0.00000
HG03953	1	7	0.30009	0.19900	0.20029	0.30060	0.00001
HG03953	1	8	0.30112	0.19832	0.19923	0.30132	0.00000
HG03953	1	9	0.30170	0.19760	0.19878	0.30192	0.00000
HG03953	1	10	0.29928	0.19991	0.20117	0.29964	0.00000
HG03953	1	11	0.30018	0.19903	0.19999	0.30081	0.00000
HG03953	1	12	0.29995	0.19940	0.20026	0.30039	0.00000
HG03953	1	13	0.30100	0.19803	0.19923	0.30173	0.00000
HG03953	1	14	0.30030	0.19868	0.19982	0.30121	0.00000
HG03953	1	15	0.29995	0.19904	0.20032	0.30070	0.00000
HG03953	1	16	0.30011	0.19908	0.20017	0.30064	0.00000
HG03953	1	17	0.30006	0.19912	0.20017	0.30065	0.00000
HG03953	1	18	0.29951	0.19962	0.20060	0.30027	0.00000
HG03953	1	19	0.29910	0.19990	0.20126	0.29974	0.00000
HG03953	1	20	0.29843	0.20070	0.20187	0.29900	0.00000
HG03953	1	21	0.29835	0.20080	0.20199	0.29885	0.00001
HG03953	1	22	0.29789	0.20143	0.20239	0.29826	0.00003
HG03953	1	23	0.29802	0.20130	0.20233	0.29835	0.00000
HG03953	1	24	0.29704	0.20223	0.20346	0.29727	0.00000
HG03953	1	25	0.29737	0.20181	0.20321	0.29761	0.00000
HG03953	1	26	0.29704	0.20209	0.20336	0.29751	0.00000
HG03953	1	27	0.29662	0.20253	0.20367	0.29718	0.00000
HG03953	1	28	0.29666	0.20270	0.20361	0.29703	0.00000
HG03953	1	29	0.29646	0.20266	0.20378	0.29710	0.00001
HG03953	1	30	0.29597	0.20307	0.20445	0.29651	0.00000
HG03953	1	31	0.29580	0.20328	0.20458	0.29634	0.00001
HG03953	1	32	0.29555	0.20347	0.20477	0.29621	0.00000
HG03953	1	33	0.29556	0.20350	0.20491	0.29602	0.00000
HG03953	1	34	0.29557	0.20364	0.20479	0.29600	0.00000
HG03953	1	35	0.29473	0.20415	0.20550	0.29560	0.00003
HG03953	1	36	0.29519	0.20392	0.20515	0.29575	0.00000
HG03953	1	37	0.29540	0.20359	0.20496	0.29604	0.00000
HG03953	1	38	0.29508	0.20400	0.20541	0.29551	0.00000
HG03953	1	39	0.29490	0.20431	0.20549	0.29530	0.00000
HG03953	1	40	0.29471	0.20434	0.20585	0.29509	0.00000
HG03953	1	41	0.29471	0.20432	0.20558	0.29539	0.00000
HG03953	1	42	0.29445	0.20436	0.20579	0.29540	0.00000
HG03953	1	43	0.29448	0.20436	0.20567	0.29548	0.00000
HG03953	1	44	0.29409	0.20486	0.20609	0.29496	0.00001
HG03953	1	45	0.29411	0.20500	0.20608	0.29481	0.00000
HG03953	1	46	0.29438	0.20471	0.20603	0.29487	0.00001
HG03953	1	47	0.29431	0.20475	0.20603	0.29490	0.00001
HG03953	1	48	0.29428	0.20499	0.20618	0.29455	0.00000
HG03953	1	49	0.29391	0.20514	0.20630	0.29465	0.00001
HG03953	1	50	0.29386	0.20507	0.20627	0.29480	0.00001
HG03953	1	51	0.29414	0.20482	0.20610	0.29494	0.00000
HG03953	1	52	0.29386	0.20510	0.20617	0.29486	0.00000
HG03953	1	53	0.29412	0.20487	0.20599	0.29501	0.00000
HG03953	1	54	0.29393	0.20506	0.20633	0.29467	0.00001
HG03953	1	55	0.29362	0.20548	0.20662	0.29428	0.00000
HG03953	1	56	0.29343	0.20548	0.20659	0.29447	0.00003
HG03953	1	57	0.29377	0.20522	0.20625	0.29476	0.00000
HG03953	1	58	0.29391	0.20518	0.20599	0.29491	0.00000
HG03953	1	59	0.29333	0.20549	0.20653	0.29464	0.00001
HG03953	1	60	0.29341	0.20567	0.20686	0.29404	0.00002
HG03953	1	61	0.29343	0.20566	0.20674	0.29416	0.00001
HG03953	1	62	0.29356	0.20548	0.20645	0.29450	0.00000
HG03953	1	63	0.29396	0.20510	0.20656	0.29437	0.00000
HG03953	1	64	0.29359	0.20534	0.20689	0.29418	0.00000
HG03953	1	65	0.29347	0.20560	0.20674	0.29419	0.00000
HG03953	1	66	0.29353	0.20559	0.20658	0.29429	0.00000
