sample	cycle	mean_quality
HG03953	1	29.59
HG03953	2	29.63
HG03953	3	29.65
HG03953	4	29.69
HG03953	5	29.77
HG03953	6	29.75
HG03953	7	29.78
HG03953	8	29.80
HG03953	9	29.80
HG03953	10	29.81
HG03953	11	29.81
HG03953	12	29.82
HG03953	13	29.82
HG03953	14	29.81
HG03953	15	29.82
HG03953	16	29.82
HG03953	17	29.82
HG03953	18	29.82
HG03953	19	29.81
HG03953	20	29.79
HG03953	21	29.80
HG03953	22	29.81
HG03953	23	29.80
HG03953	24	29.79
HG03953	25	29.77
HG03953	26	29.72
HG03953	27	29.71
HG03953	28	29.69
HG03953	29	29.71
HG03953	30	29.68
HG03953	31	29.67
HG03953	32	29.68
HG03953	33	29.67
HG03953	34	29.65
HG03953	35	29.65
HG03953	36	29.66
HG03953	37	29.63
HG03953	38	29.64
HG03953	39	29.62
HG03953	40	29.63
HG03953	41	29.64
HG03953	42	29.62
HG03953	43	29.59
HG03953	44	29.58
HG03953	45	29.59
HG03953	46	29.61
HG03953	47	29.59
HG03953	48	29.58
HG03953	49	29.59
HG03953	50	29.56
HG03953	51	29.56
HG03953	52	29.55
HG03953	53	29.54
HG03953	54	29.54
HG03953	55	29.56
HG03953	56	29.54
HG03953	57	29.53
HG03953	58	29.53
HG03953	59	29.53
HG03953	60	29.52
HG03953	61	29.52
HG03953	62	29.50
HG03953	63	29.51
HG03953	64	29.50
HG03953	65	29.48
HG03953	66	29.48
HG03953	67	29.49
HG03953	68	29.49
HG03953	69	29.48
HG03953	70	29.48
HG03953	71	29.48
HG03953	72	29.48
HG03953	73	29.45
HG03953	74	29.45
HG03953	75	29.44
HG03953	76	29.44
HG03953	77	29.44
HG03953	78	29.44
HG03953	79	29.44
HG03953	80	29.42
HG03953	81	29.42
HG03953	82	29.41
HG03953	83	29.42
HG03953	84	29.40
HG03953	85	29.38
HG03953	86	29.37
HG03953	87	29.36
HG03953	88	29.36
HG03953	89	29.36
HG03953	90	29.38
HG03953	91	29.36
HG03953	92	29.34
HG03953	93	29.35
HG03953	94	29.34
HG03953	95	29.34
HG03953	96	29.32
HG03953	97	29.31
HG03953	98	29.32
HG03953	99	29.30
HG03953	100	29.31
HG03953	101	29.31
HG03953	102	29.29
HG03953	103	29.29
HG03953	104	29.30
HG03953	105	29.28
HG03953	106	29.27
HG03953	107	29.26
HG03953	108	29.26
HG03953	109	29.27
HG03953	110	29.24
HG03953	111	29.24
HG03953	112	29.25
HG03953	113	29.24
HG03953	114	29.19
HG03953	115	29.19
HG03953	116	29.21
HG03953	117	29.22
HG03953	118	29.20
HG03953	119	29.21
HG03953	120	29.18
HG03953	121	29.18
HG03953	122	29.17
HG03953	123	29.17
HG03953	124	29.16
HG03953	125	29.17
HG03953	126	29.17
HG03953	127	29.15
HG03953	128	29.14
HG03953	129	29.14
HG03953	130	29.12
HG03953	131	29.10
HG03953	132	29.07
HG03953	133	29.04
HG03953	134	29.10
HG03953	135	29.11
HG03953	136	29.09
HG03953	137	29.05
HG03953	138	29.05
HG03953	139	29.05
HG03953	140	29.04
HG03953	141	29.06
HG03953	142	29.08
HG03953	143	29.07
HG03953	144	29.03
HG03953	145	28.97
HG03953	146	29.03
HG03953	147	29.03
HG03953	148	28.99
HG03953	149	29.15
HG03953	150	29.14
HG03953	151	29.81
HG03953	152	29.79
HG03953	153	29.76
HG03953	154	29.76
HG03953	155	29.78
HG03953	156	29.73
HG03953	157	29.74
HG03953	158	29.70
HG03953	159	29.73
HG03953	160	29.72
HG03953	161	29.71
HG03953	162	29.70
HG03953	163	29.70
HG03953	164	29.68
HG03953	165	29.68
HG03953	166	29.67
HG03953	167	29.67
HG03953	168	29.66
HG03953	169	29.66
HG03953	170	29.66
HG03953	171	29.66
HG03953	172	29.64
HG03953	173	29.64
HG03953	174	29.63
HG03953	175	29.62
HG03953	176	29.62
HG03953	177	29.59
HG03953	178	29.58
HG03953	179	29.60
HG03953	180	29.59
HG03953	181	29.56
HG03953	182	29.58
HG03953	183	29.57
HG03953	184	29.55
HG03953	185	29.52
HG03953	186	29.52
HG03953	187	29.52
HG03953	188	29.51
HG03953	189	29.50
HG03953	190	29.50
HG03953	191	29.49
HG03953	192	29.50
HG03953	193	29.49
HG03953	194	29.48
HG03953	195	29.46
HG03953	196	29.46
HG03953	197	29.46
HG03953	198	29.44
HG03953	199	29.44
HG03953	200	29.44
HG03953	201	29.43
HG03953	202	29.43
HG03953	203	29.43
HG03953	204	29.42
HG03953	205	29.39
HG03953	206	29.39
HG03953	207	29.38
HG03953	208	29.38
HG03953	209	29.37
HG03953	210	29.35
HG03953	211	29.37
HG03953	212	29.36
HG03953	213	29.36
HG03953	214	29.34
HG03953	215	29.34
HG03953	216	29.33
HG03953	217	29.33
HG03953	218	29.33
HG03953	219	29.32
HG03953	220	29.29
HG03953	221	29.30
HG03953	222	29.30
HG03953	223	29.29
HG03953	224	29.29
HG03953	225	29.27
HG03953	226	29.25
HG03953	227	29.28
HG03953	228	29.26
HG03953	229	29.25
HG03953	230	29.24
HG03953	231	29.27
HG03953	232	29.25
HG03953	233	29.25
HG03953	234	29.24
HG03953	235	29.21
HG03953	236	29.21
HG03953	237	29.18
HG03953	238	29.20
HG03953	239	29.18
HG03953	240	29.18
HG03953	241	29.18
HG03953	242	29.17
HG03953	243	29.17
HG03953	244	29.17
HG03953	245	29.17
HG03953	246	29.18
HG03953	247	29.15
HG03953	248	29.13
HG03953	249	29.11
HG03953	250	29.11
HG03953	251	29.09
HG03953	252	29.11
HG03953	253	29.11
HG03953	254	29.09
HG03953	255	29.07
HG03953	256	29.05
HG03953	257	29.09
HG03953	258	29.05
HG03953	259	29.02
HG03953	260	29.02
HG03953	261	29.03
HG03953	262	28.99
HG03953	263	29.01
HG03953	264	29.00
HG03953	265	29.02
HG03953	266	29.00
HG03953	267	29.03
HG03953	268	29.02
HG03953	269	29.00
HG03953	270	28.97
HG03953	271	28.96
HG03953	272	28.95
HG03953	273	28.95
HG03953	274	28.95
HG03953	275	28.98
HG03953	276	28.94
HG03953	277	28.95
HG03953	278	28.91
HG03953	279	28.87
HG03953	280	28.86
HG03953	281	28.90
HG03953	282	28.87
HG03953	283	28.86
HG03953	284	28.89
HG03953	285	28.80
HG03953	286	28.86
HG03953	287	28.84
HG03953	288	28.86
HG03953	289	28.81
HG03953	290	28.79
HG03953	291	28.81
HG03953	292	28.82
HG03953	293	28.79
HG03953	294	28.84
HG03953	295	28.81
HG03953	296	28.88
HG03953	297	28.76
HG03953	298	28.68
HG03953	299	28.92
HG03953	300	28.90
