sample	depth	bases	frac_bases	bases_at_or_above	frac_bases_at_or_above
HG03953	0	544461140	0.17890	3043453562	1.00000
HG03953	1	701573680	0.23052	2498992422	0.82110
HG03953	2	737951772	0.24247	1797418742	0.59059
HG03953	3	538916709	0.17707	1059466970	0.34811
HG03953	4	301918141	0.09920	520550261	0.17104
HG03953	5	137550393	0.04520	218632120	0.07184
HG03953	6	53150615	0.01746	81081727	0.02664
HG03953	7	18081118	0.00594	27931112	0.00918
HG03953	8	5660422	0.00186	9849994	0.00324
HG03953	9	1779513	0.00058	4189572	0.00138
HG03953	10	656563	0.00022	2410059	0.00079
HG03953	11	322771	0.00011	1753496	0.00058
HG03953	12	208733	0.00007	1430725	0.00047
HG03953	13	150184	0.00005	1221992	0.00040
HG03953	14	114032	0.00004	1071808	0.00035
HG03953	15	90322	0.00003	957776	0.00031
HG03953	16	70929	0.00002	867454	0.00029
HG03953	17	55649	0.00002	796525	0.00026
HG03953	18	45201	0.00001	740876	0.00024
HG03953	19	39375	0.00001	695675	0.00023
HG03953	20	34310	0.00001	656300	0.00022
HG03953	21	30633	0.00001	621990	0.00020
HG03953	22	27932	0.00001	591357	0.00019
HG03953	23	25737	0.00001	563425	0.00019
HG03953	24	24121	0.00001	537688	0.00018
HG03953	25	23146	0.00001	513567	0.00017
HG03953	26	22324	0.00001	490421	0.00016
HG03953	27	21863	0.00001	468097	0.00015
HG03953	28	21787	0.00001	446234	0.00015
HG03953	29	21043	0.00001	424447	0.00014
HG03953	30	20320	0.00001	403404	0.00013
HG03953	31	19045	0.00001	383084	0.00013
HG03953	32	17960	0.00001	364039	0.00012
HG03953	33	16504	0.00001	346079	0.00011
HG03953	34	14769	0.00000	329575	0.00011
HG03953	35	13444	0.00000	314806	0.00010
HG03953	36	12063	0.00000	301362	0.00010
HG03953	37	10601	0.00000	289299	0.00010
HG03953	38	9295	0.00000	278698	0.00009
HG03953	39	8032	0.00000	269403	0.00009
HG03953	40	7278	0.00000	261371	0.00009
HG03953	41	6774	0.00000	254093	0.00008
HG03953	42	6263	0.00000	247319	0.00008
HG03953	43	5552	0.00000	241056	0.00008
HG03953	44	5391	0.00000	235504	0.00008
HG03953	45	4797	0.00000	230113	0.00008
HG03953	46	4513	0.00000	225316	0.00007
HG03953	47	4084	0.00000	220803	0.00007
HG03953	48	4088	0.00000	216719	0.00007
HG03953	49	3775	0.00000	212631	0.00007
HG03953	50	3676	0.00000	208856	0.00007
HG03953	51	3416	0.00000	205180	0.00007
HG03953	52	3126	0.00000	201764	0.00007
HG03953	53	3099	0.00000	198638	0.00007
HG03953	54	2971	0.00000	195539	0.00006
