WTCHG_171117_262	WTCHG_171117_264	
0	0	
0	0	
0	0	
0	0	
49	59	
58	45	
52	48	
40	46	
29	52	
42	37	
26	25	
23	41	
33	28	
21	21	
29	31	
31	31	
23	28	
36	19	
21	31	
17	24	
23	22	
32	20	
12	28	
17	17	
25	24	
32	19	
23	34	
7	14	
12	14	
19	22	
4	18	
25	23	
23	27	
21	32	
22	19	
18	7	
7	22	
13	12	
13	24	
18	17	
10	17	
11	19	
19	13	
10	26	
9	20	
18	10	
8	21	
9	8	
15	6	
13	17	
8	8	
8	12	
11	15	
18	2	
18	3	
15	9	
9	3	
2	19	
4	6	
8	6	
4	22	
2	6	
7	3	
19	10	
8	3	
10	6	
9	3	
9	6	
9	5	
9	7	
12	6	
12	13	
4	3	
7	9	
18	6	
5	3	
5	11	
3	5	
6	3	
8	7	
5	5	
5	1	
8	7	
5	3	
4	13	
6	1	
14	11	
3	2	
5	12	
12	5	
5	4	
2	3	
4	3	
11	11	
12	4	
4	7	
2	2	
4	5	
1	4	
1	4	
12	0	
8	2	
8	7	
7	8	
1	4	
4	1	
3	5	
4	4	
3	6	
3	3	
4	4	
6	6	
4	5	
6	2	
5	5	
4	6	
1	6	
8	6	
3	4	
8	3	
4	1	
11	3	
9	7	
6	2	
5	5	
1	4	
3	0	
3	2	
1	1	
7	5	
3	0	
3	2	
1	8	
1	1	
11	5	
2	0	
2	0	
7	3	
0	0	
4	2	
2	2	
3	1	
4	0	
5	4	
9	5	
4	4	
5	0	
0	5	
1	5	
3	10	
7	0	
2	1	
3	2	
1	14	
2	3	
3	0	
4	1	
0	7	
5	1	
2	2	
1	0	
1	8	
2	1	
4	1	
1	0	
0	3	
2	0	
1	3	
2	1	
6	1	
3	4	
6	2	
4	3	
2	3	
7	2	
3	1	
5	4	
2	1	
1	0	
7	2	
0	0	
0	2	
0	2	
2	0	
1	4	
0	2	
0	1	
1	1	
0	2	
1	0	
1	3	
2	0	
0	0	
3	1	
3	7	
4	3	
2	1	
10	1	
0	0	
2	0	
1	4	
2	1	
1	1	
1	0	
4	3	
2	2	
0	7	
1	0	
0	2	
1	0	
1	2	
3	2	
2	0	
1	0	
2	4	
0	0	
0	0	
1	1	
0	1	
2	0	
1	1	
1	1	
2	1	
2	4	
2	1	
1	1	
0	1	
0	1	
0	0	
0	3	
1	3	
2	1	
2	3	
1	0	
1	2	
0	2	
0	7	
5	5	
0	1	
1	2	
0	2	
0	2	
2	0	
0	0	
3	1	
2	1	
0	5	
0	2	
0	3	
4	0	
1	3	
0	0	
6	8	
0	0	
2	2	
4	1	
5	5	
0	0	
1	0	
3	0	
1	7	
1	0	
7	0	
5	0	
3	2	
0	1	
3	1	
2	4	
1	0	
2	1	
2	0	
0	2	
3	1	
1	2	
1	3	
5	0	
4	0	
0	0	
0	1	
5	2	
0	0	
1	0	
2	2	
0	1	
0	0	
0	0	
1	2	
1	0	
0	3	
0	0	
0	0	
0	1	
0	0	
1	2	
0	0	
2	1	
1	2	
0	2	
1	0	
1	0	
0	0	
1	1	
1	1	
0	2	
0	4	
2	0	
0	0	
0	0	
2	3	
0	2	
1	1	
0	0	
0	0	
0	4	
0	0	
0	1	
2	0	
0	1	
0	0	
0	2	
0	2	
0	0	
0	0	
0	0	
1	0	
0	1	
1	1	
0	0	
4	0	
1	1	
2	2	
0	0	
0	0	
0	0	
0	0	
0	0	
0	0	
0	0	
0	0	
0	3	
0	0	
1	0	
1	0	
0	1	
2	2	
0	1	
1	0	
0	0	
0	0	
1	7	
1	0	
1	0	
1	1	
0	0	
0	1	
0	1	
1	3	
0	0	
0	0	
1	0	
2	0	
1	0	
0	1	
0	1	
0	0	
2	2	
0	0	
0	1	
0	0	
0	0	
0	0	
0	0	
0	0	
0	0	
0	1	
1	2	
0	0	
1	1	
0	0	
1	0	
0	0	
0	1	
0	1	
0	0	
0	0	
3	1	
0	0	
0	0	
1	0	
0	0	
0	1	
0	0	
0	0	
0	0	
0	0	
1	0	
0	0	
3	0	
0	0	
0	0	
0	1	
0	0	
0	0	
0	0	
0	0	
1	4	
1	1	
1	1	
1	0	
0	0	
0	0	
0	0	
0	0	
12	0	
3	0	
0	0	
0	0	
0	0	
1	0	
1	0	
3	1	
1	1	
0	0	
0	0	
0	0	
0	0	
0	0	
1	0	
0	0	
2	0	
0	0	
0	2	
0	3	
0	0	
0	3	
0	0	
0	0	
0	0	
0	0	
0	0	
2	1	
0	0	
0	0	
0	0	
1	0	
0	1	
6	1	
0	1	
0	0	
0	0	
0	0	
0	1	
0	0	
0	0	
0	0	
0	0	
0	0	
0	0	
0	0	
0	4	
0	0	
0	0	
0	1	
0	1	
2	0	
0	0	
0	0	
0	0	
0	0	
1	0	
0	0	
0	1	
1	1	
0	0	
0	0	
1	5	
0	0	
0	0	
0	0	
0	4	
0	0	
0	0	
0	0	
0	1	
0	0	
1	1	
0	0	
1	1	
0	0	
0	0	
0	0	
0	4	
0	0	
0	0	
0	0	
0	0	
0	2	
0	0	
0	0	
70	107	
