WTCHG_171117_262	WTCHG_171117_264	
2.221	1.637	
3.448	2.268	
3.938	2.499	
4.169	2.661	
4.446	2.859	
4.483	3.078	
4.431	3.045	
4.379	3.06	
4.283	3.044	
4.214	3.116	
4.049	3.076	
4.127	3.113	
4.217	3.027	
4.192	3.028	
4.018	2.93	
4.042	2.952	
4.047	2.877	
4.037	2.783	
4.055	2.7	
4.022	2.717	
3.941	2.738	
3.825	2.855	
3.737	2.916	
3.777	2.88	
3.793	2.941	
3.832	2.984	
3.925	3.001	
3.944	3.015	
3.952	3.022	
3.87	3.07	
3.9	3.091	
4.015	3.08	
4.012	3.088	
3.828	3.094	
3.844	3.01	
3.836	2.882	
3.862	2.832	
4.041	2.84	
4.04	2.812	
3.996	2.771	
3.987	2.752	
4.08	2.719	
4.168	2.69	
4.082	2.654	
3.959	2.735	
3.921	2.785	
3.895	2.897	
3.912	2.902	
3.915	2.922	
3.865	2.937	
3.818	2.974	
3.649	3.05	
3.701	3.143	
3.696	3.155	
3.81	3.256	
3.786	3.338	
3.742	3.376	
3.817	3.411	
3.885	3.406	
3.859	3.227	
3.768	3.239	
3.832	3.348	
3.981	3.442	
4.035	3.471	
4.069	3.514	
4.095	3.476	
4.044	3.512	
4.053	3.575	
4.071	3.689	
4.225	3.739	
4.22	3.803	
4.267	3.731	
4.284	3.613	
4.286	3.642	
4.23	3.664	
4.165	3.755	
4.203	3.837	
4.358	3.975	
4.553	4.113	
4.574	4.452	
4.693	4.643	
4.834	4.755	
4.939	4.779	
5.083	4.858	
5.34	4.935	
5.468	5.006	
5.562	5.283	
5.778	5.347	
5.84	5.398	
5.839	5.559	
6.043	5.805	
6.159	5.801	
6.107	5.768	
6.153	5.703	
6.013	5.587	
5.859	5.292	
5.4	4.789	
4.407	4.052	
2.97	3.052	
1.405	1.86	
