WTCHG_171117_262	WTCHG_171117_264	
27.836	26.26	
33.023	30.558	
41.758	37.332	
48.745	42.888	
54.73	48.353	
61.312	53.929	
68.398	60.057	
74.043	65.065	
81.602	73.778	
87.132	78.953	
91.516	83.042	
95.684	87.09	
100.437	91.456	
104.937	95.854	
109.278	100.253	
113.268	104.02	
117.393	107.411	
121.129	110.931	
124.802	114.425	
128.518	117.64	
132.209	120.713	
135.945	124.105	
139.467	127.408	
143.334	130.934	
147.166	134.208	
151.07	137.807	
155.093	141.26	
160.213	145.585	
164.435	149.074	
168.726	151.835	
172.776	155.352	
177.301	159.203	
181.575	162.864	
186.369	166.695	
190.893	170.457	
195.154	174.242	
199.496	177.98	
204.415	182.405	
208.745	186.174	
213.456	190.271	
218.435	194.57	
223.294	198.579	
227.863	202.619	
232.573	206.775	
238.036	211.146	
243.259	215.572	
248.795	220.333	
254.268	224.986	
259.467	229.332	
265.661	234.426	
271.518	239.405	
284.078	248.809	
289.889	253.778	
296.284	258.795	
302.792	264.277	
308.843	269.668	
315.231	275.242	
321.63	280.677	
327.495	285.622	
334.242	291.267	
341.156	297.166	
347.758	302.898	
355.058	309.054	
361.483	314.483	
369.105	320.782	
376.697	326.854	
385.139	333.859	
392.581	340.155	
400.207	346.567	
408.715	353.623	
416.675	360.044	
424.843	366.821	
432.488	373.212	
440.26	379.966	
447.472	385.895	
455.709	392.754	
464.275	399.564	
473.506	407.063	
481.732	413.884	
491.212	421.996	
500.059	429.264	
512.059	440.868	
521.3	448.284	
531.125	456.489	
540.819	464.666	
549.924	472.534	
559.529	480.454	
569.493	488.454	
579.22	496.793	
588.756	504.531	
598.783	512.901	
608.202	520.778	
616.537	528.119	
625.82684	535.7958	
633.6256	541.53253	
640.7908	546.6176	
646.3253	550.9049	
651.45746	554.979	
656.68365	559.1411	
661.07306	562.26825	
665.5996	565.4945	
659.7966	560.80664	
664.53204	564.3637	
669.2525	566.91486	
674.3427	570.04407	
683.9349	580.498	
668.2515	548.08014	
692.51105	584.3036	
698.5962	589.1413	
704.8457	594.26855	
711.93085	600.0491	
719.09717	605.28156	
726.59216	610.985	
734.42584	617.25653	
742.8657	624.1643	
750.7946	630.1012	
759.1423	636.495	
767.78656	642.80664	
776.5491	649.90784	
787.6974	657.0451	
795.8657	663.2054	
805.3427	670.2906	
813.507	676.7114	
822.5331	684.0782	
830.19336	690.1613	
839.89777	698.9168	
847.6924	705.51	
855.8948	711.77856	
863.9509	718.7555	
872.7064	725.8507	
881.1052	732.67334	
888.91583	739.56714	
897.2034	746.508	
905.4008	753.3477	
914.33264	760.27155	
923.2054	767.48895	
931.32166	774.11926	
938.9018	779.83264	
947.43585	785.7505	
955.3637	792.8888	
963.5471	799.41583	
973.18536	807.6493	
981.6543	813.96594	
990.9579	820.77356	
1000.2345	828.7485	
1008.987	835.53406	
1017.0932	841.7826	
1025.3688	848.14526	
1032.9529	854.6744	
1040.1693	860.3016	
1046.981	865.71344	
1054.3988	871.61725	
1063.4819	878.67236	
1071.2565	884.5902	
1077.993	889.0912	
1086.9419	897.015	
1094.5902	902.68335	
1101.6102	908.47595	
1109.3677	914.71643	
1116.5662	920.7074	
1123.0441	926.03705	
1129.8336	931.72046	
1137.2776	937.57117	
1145.2495	943.7876	
1152.5491	949.7856	
1159.3066	954.9499	
1166.0371	960.37476	
1173.1643	965.5281	
1179.7355	970.4469	
1185.8607	975.22644	
1191.7926	979.92487	
1198.7145	985.9269	
1205.2836	991.2445	
1211.97	995.8587	
1218.6031	1001.41986	
1224.1162	1006.1573	
1229.6643	1010.28656	
1234.6664	1014.7966	
1240.1493	1019.57513	
1245.1553	1023.4549	
1250.4069	1027.9048	
1255.3126	1031.51	
1260.0631	1035.2114	
1264.6102	1038.7024	
1275.3086	1044.2795	
1282.2816	1048.5822	
1288.2986	1052.8457	
1293.0581	1056.9219	
1298.4229	1061.4319	
1304.9209	1066.2054	
1310.4819	1069.7164	
1316.969	1074.8527	
1322.6112	1078.4469	
1327.495	1081.8488	
1331.6884	1085.1943	
1336.2054	1088.1674	
1336.469	1088.4479	
1341.5321	1091.0992	
1345.9679	1094.1653	
1350.3407	1098.4238	
1354.1884	1101.3538	
1358.1473	1104.4069	
1363.9338	1108.6312	
1369.0602	1112.7886	
1373.2826	1116.0531	
1377.1774	1119.4679	
1380.6403	1121.2365	
1383.7245	1123.3817	
1388.1583	1127.2095	
1392.3167	1130.3867	
1396.531	1133.3767	
1402.3938	1138.1703	
1406.4729	1141.008	
1410.1603	1144.0952	
1413.3347	1146.524	
1416.2766	1149.1724	
1419.3467	1152.1523	
1422.4298	1154.5762	
1426.1152	1156.7515	
1428.9719	1159.0181	
1432.3527	1162.3657	
1434.5511	1164.0691	
1436.7054	1165.996	
1438.8778	1167.514	
1440.6533	1169.1362	
1442.7736	1169.9619	
1444.8247	1172.1393	
1447.2996	1173.5521	
1450.2946	1175.3367	
1451.3567	1176.3167	
1453.1564	1178.001	
1454.1042	1179.0541	
1457.2595	1180.6974	
1461.1272	1182.4238	
1465.9359	1185.525	
1470.1593	1187.8938	
1475.1974	1190.2615	
1478.8798	1192.5671	
1482.9879	1194.9348	
1487.6703	1197.6533	
1490.7395	1199.6222	
1497.9329	1204.0802	
1501.9438	1206.4248	
1505.2505	1208.6302	
1508.5631	1210.6323	
1509.9369	1211.6012	
1511.8907	1212.9469	
1514.6804	1214.494	
1518.0652	1215.6212	
1521.8116	1218.6333	
1526.7715	1222.3326	
1529.3958	1223.6714	
1531.4398	1225.1031	
1534.445	1226.5471	
1537.0992	1228.445	
1539.1833	1229.8096	
1541.2104	1230.4879	
1544.0391	1231.5931	
1546.0171	1231.503	
1546.7916	1231.5652	
1548.7064	1232.1462	
1550.0721	1232.3286	
1550.0902	1231.7305	
1549.7445	1231.001	
1549.3336	1230.4779	
1550.0681	1231.2996	
1550.2435	1231.6624	
1549.9438	1231.1512	
1551.9058	1231.6573	
1553.9429	1232.0631	
1555.1443	1232.3136	
1558.3807	1233.969	
1560.6543	1234.5521	
1562.8577	1236.0612	
1565.9679	1237.8307	
1568.1002	1239.1984	
1570.481	1241.1243	
1571.4579	1241.2184	
1572.8517	1242.5521	
1574.6693	1243.8757	
1575.9288	1244.2936	
1579.0731	1245.5881	
1580.3357	1246.4298	
1576.5902	1242.5321	
1580.5942	1247.0862	
1580.1725	1246.9078	
1580.5266	1246.004	
1581.0461	1245.1143	
1582.651	1245.6252	
1582.5076	1244.499	
1582.0942	1244.3527	
1577.685	1240.5741	
1577.996	1239.971	
1578.6168	1239.9398	
1578.4243	1239.2114	
1576.0371	1237.1693	
1575.6335	1236.685	
1572.1055	1230.5728	
1576.7208	1236.006	
1577.008	1235.701	
1577.8344	1235.1725	
1578.5492	1233.4655	
1578.6014	1232.8606	
1577.2169	1231.5397	
1576.1335	1230.6549	
1578.256	1232.2307	
1581.2148	1233.9529	
1581.745	1234.3641	
1582.3876	1233.5999	
1581.0171	1232.0933	
1583.8813	1233.514	
1584.5577	1233.3905	
1585.1005	1233.1656	
1586.0543	1233.2571	
1585.8875	1232.6195	
1585.6593	1232.1948	
1584.404	1229.3715	
1584.4352	1228.524	
1583.8965	1227.8353	
1584.6161	1227.5834	
1584.9176	1227.0502	
1586.0603	1228.3092	
1586.4644	1227.6556	
1586.4542	1227.9448	
1587.607	1227.3835	
1588.1146	1226.7811	
1589.3065	1226.6948	
1590.2915	1227.3142	
1591.0361	1227.1295	
1589.1125	1225.3334	
1589.4241	1224.6637	
1589.3126	1223.9498	
1589.6251	1222.9056	
1589.5085	1222.504	
1589.2583	1221.9347	
1589.7277	1221.3464	
1590.9508	1221.8634	
1591.7568	1222.1285	
1591.7507	1221.9729	
1592.1849	1220.9639	
1592.1075	1220.247	
1592.0834	1219.2369	
1588.793	1215.6556	
1587.3597	1213.24	
1586.9036	1211.51	
1587.4171	1210.511	
1586.1237	1209.3193	
1585.2804	1214.9708	
1584.179	1213.4518	
1583.4784	1211.8243	
1582.0764	1209.0602	
1582.4739	1208.207	
1581.8622	1208.0422	
1580.0704	1206.0422	
1579.6938	1204.6077	
1578.137	1202.9528	
1577.2427	1201.0795	
1577.0947	1199.9688	
1574.8992	1197.992	
1571.6946	1193.9879	
1569.7833	1191.1611	
1567.7863	1188.5569	
1565.0483	1186.9073	
1560.1704	1181.3313	
1558.1804	1180.9275	
1556.9092	1179.5312	
1555.3844	1176.9193	
1555.3784	1175.991	
1555.8063	1175.4325	
1556.3707	1175.0778	
1555.0172	1173.2583	
1555.7717	1172.336	
1554.7202	1171.0364	
1553.2778	1169.566	
1552.3889	1168.6599	
1551.8041	1167.1423	
1552.5956	1167.0485	
1551.369	1165.1262	
1551.0526	1164.5262	
1550.1567	1163.0505	
1548.7158	1161.5374	
1548.2123	1160.8282	
1547.4838	1159.3903	
1545.9677	1158.2437	
1544.7356	1156.9191	
1543.4772	1155.6437	
1541.9878	1154.8229	
1540.6809	1153.3168	
1537.1996	1151.4535	
1534.1499	1149.335	
1533.215	1147.5248	
1530.7465	1145.4661	
1520.132	1137.5344	
1516.4213	1134.428	
1516.2733	1134.1421	
1514.629	1131.8193	
1514.4913	1131.3435	
1512.4883	1129.6971	
1510.5992	1127.4807	
1507.1383	1124.311	
1504.6674	1122.372	
1502.3105	1121.0132	
1502.0398	1121.9277	
1499.7706	1120.499	
1497.5056	1118.2852	
1495.0347	1116.3544	
1490.7737	1112.8055	
1488.452	1111.0979	
1487.143	1110.2081	
1486.7689	1110.0234	
1485.3374	1108.7252	
1483.9877	1107.345	
1482.957	1106.3735	
1480.7635	1106.3121	
1479.3787	1105.1914	
1479.0922	1104.4514	
1475.1945	1102.7318	
1473.3439	1100.4033	
1470.3556	1098.6926	
1470.0841	1097.8553	
1465.2451	1093.7365	
1463.0902	1091.8739	
1462.12	1090.6852	
1463.5966	1090.2742	
1465.4132	1090.7472	
1466.3618	1090.557	
