WTCHG_171117_262	WTCHG_171117_264	
0	0	
0	0	
0	0	
0	0	
22	26	
8	4	
12	17	
12	9	
7	23	
14	22	
21	12	
14	10	
16	10	
2	8	
6	11	
12	4	
13	14	
4	16	
9	5	
3	3	
10	9	
2	2	
5	3	
3	11	
4	5	
5	10	
3	17	
5	3	
5	10	
3	5	
2	10	
2	5	
12	1	
8	4	
0	8	
11	4	
2	18	
2	4	
3	2	
9	1	
1	1	
8	2	
2	1	
2	4	
0	1	
1	1	
1	5	
4	3	
7	5	
0	2	
3	2	
0	5	
2	0	
3	4	
0	2	
0	6	
3	0	
0	2	
4	5	
0	0	
2	0	
5	2	
2	2	
5	4	
2	3	
1	4	
4	1	
10	0	
1	3	
1	1	
11	2	
1	1	
1	3	
5	1	
0	0	
1	0	
7	1	
0	1	
0	0	
5	0	
1	0	
0	4	
1	1	
2	1	
3	1	
1	1	
0	1	
0	1	
1	1	
1	3	
3	1	
0	2	
0	3	
0	6	
0	0	
0	0	
0	1	
3	0	
6	1	
0	0	
0	2	
1	3	
4	2	
0	3	
0	1	
0	0	
0	2	
2	0	
0	2	
0	0	
6	0	
0	1	
2	0	
2	2	
0	0	
0	0	
1	2	
2	4	
1	0	
0	1	
0	1	
0	0	
1	2	
0	3	
0	0	
0	1	
1	0	
1	1	
0	0	
0	0	
0	0	
0	1	
0	1	
1	0	
2	1	
1	0	
0	0	
0	0	
0	1	
2	0	
2	0	
7	0	
0	0	
1	10	
1	0	
0	0	
0	1	
0	0	
0	0	
5	0	
0	0	
0	0	
0	0	
0	0	
0	0	
0	0	
1	0	
0	1	
0	1	
0	0	
0	0	
2	2	
0	1	
0	0	
0	1	
0	1	
2	0	
0	0	
0	0	
0	1	
2	0	
1	0	
0	1	
0	0	
0	0	
1	0	
0	2	
1	1	
1	7	
1	0	
0	1	
2	0	
1	0	
1	0	
0	0	
0	0	
0	1	
0	0	
2	0	
0	1	
0	0	
0	0	
1	1	
0	0	
0	0	
0	3	
1	1	
0	0	
0	0	
0	1	
1	9	
0	0	
3	0	
0	0	
0	0	
1	0	
1	0	
0	0	
3	1	
0	0	
0	1	
0	0	
0	0	
0	0	
0	1	
4	1	
0	0	
0	2	
1	0	
0	0	
0	0	
0	0	
0	0	
0	0	
2	0	
0	0	
0	0	
0	0	
1	2	
0	0	
0	7	
2	0	
0	0	
0	0	
4	0	
0	1	
0	0	
0	4	
0	0	
0	0	
0	0	
0	0	
0	1	
0	0	
0	0	
0	0	
1	2	
0	0	
0	0	
0	3	
0	0	
1	2	
0	0	
0	3	
0	2	
0	1	
0	6	
0	0	
1	0	
0	1	
0	0	
0	0	
0	1	
0	0	
0	0	
1	0	
0	0	
0	0	
0	0	
0	0	
0	0	
0	0	
1	1	
0	0	
0	0	
0	0	
0	0	
0	0	
0	0	
1	1	
0	0	
0	0	
3	0	
0	0	
2	0	
0	0	
1	0	
0	0	
0	0	
1	2	
0	0	
0	0	
3	0	
1	0	
0	0	
1	1	
0	0	
0	0	
0	0	
0	0	
0	0	
0	0	
0	0	
2	0	
0	0	
0	2	
0	0	
0	0	
0	1	
0	0	
0	0	
0	0	
0	1	
0	1	
0	0	
0	0	
0	0	
0	0	
1	0	
0	0	
0	0	
1	0	
0	0	
0	0	
3	0	
0	0	
0	0	
1	0	
0	0	
0	0	
0	0	
0	1	
0	0	
0	1	
0	0	
0	1	
0	0	
0	0	
0	0	
0	0	
0	0	
0	0	
0	0	
1	3	
2	0	
0	0	
3	0	
0	0	
0	0	
0	0	
0	0	
0	0	
0	0	
0	0	
0	0	
0	0	
0	0	
0	0	
0	0	
0	0	
0	0	
0	0	
0	0	
1	0	
0	0	
0	0	
0	0	
0	0	
0	0	
0	0	
0	0	
0	0	
0	0	
0	0	
0	0	
0	0	
0	0	
0	0	
0	0	
0	0	
0	0	
0	0	
0	0	
0	0	
0	0	
0	0	
0	0	
0	0	
1	0	
0	0	
0	4	
0	0	
0	0	
0	0	
0	0	
1	1	
0	0	
0	0	
0	0	
0	0	
0	0	
0	0	
0	0	
0	0	
0	0	
0	0	
0	0	
0	0	
0	0	
0	0	
0	0	
0	0	
0	0	
0	0	
0	0	
0	0	
0	0	
0	0	
0	0	
0	0	
0	0	
0	0	
0	0	
0	0	
0	0	
0	0	
0	0	
0	0	
0	0	
0	0	
0	0	
0	0	
0	0	
0	0	
0	0	
0	0	
0	0	
0	0	
0	0	
0	0	
0	0	
0	0	
0	0	
0	0	
0	0	
0	0	
0	0	
0	0	
0	0	
0	0	
0	0	
0	0	
0	0	
0	0	
0	0	
0	0	
0	0	
0	0	
0	0	
0	0	
0	0	
0	0	
0	0	
0	0	
0	0	
0	0	
0	0	
0	0	
1	0	
0	0	
0	0	
0	0	
0	0	
0	0	
0	0	
0	0	
0	0	
0	0	
0	0	
0	0	
0	0	
0	0	
0	0	
0	0	
0	0	
0	0	
0	0	
0	0	
0	0	
0	0	
0	0	
0	0	
0	0	
0	0	
0	0	
0	0	
0	1	
0	0	
0	0	
6	12	
