WTCHG_171117_262	WTCHG_171117_264	
0	0	
0	0	
0	0	
0	0	
110	139	
92	105	
107	96	
107	117	
112	94	
92	82	
83	96	
76	100	
84	91	
88	82	
98	96	
85	88	
60	75	
71	80	
71	74	
74	75	
74	53	
60	62	
57	73	
88	70	
44	68	
47	68	
73	48	
73	53	
46	56	
62	57	
37	54	
42	46	
64	36	
47	53	
47	59	
42	61	
38	38	
25	47	
49	32	
40	62	
48	58	
45	35	
41	29	
26	36	
44	47	
32	28	
53	19	
28	28	
33	39	
36	28	
28	43	
26	31	
21	33	
34	26	
34	30	
30	40	
33	21	
23	29	
27	19	
33	36	
38	30	
23	22	
28	30	
27	19	
19	40	
20	35	
19	25	
27	24	
25	35	
23	22	
20	28	
19	31	
17	16	
29	17	
21	29	
19	19	
13	22	
36	25	
26	17	
13	31	
26	27	
14	21	
25	19	
27	17	
25	15	
18	6	
15	13	
18	15	
11	33	
10	16	
16	15	
11	10	
12	8	
9	9	
10	9	
10	9	
13	26	
10	16	
7	13	
12	25	
19	17	
14	14	
15	14	
12	11	
13	20	
13	16	
9	17	
15	17	
10	12	
7	14	
16	14	
10	10	
13	10	
4	16	
10	18	
6	11	
7	16	
13	16	
6	13	
11	14	
7	18	
15	5	
13	17	
12	15	
12	12	
12	11	
9	13	
13	10	
18	12	
11	7	
11	5	
11	4	
6	10	
5	8	
9	3	
10	9	
4	9	
8	11	
3	3	
5	17	
23	16	
11	4	
4	8	
4	8	
3	9	
4	9	
8	8	
13	4	
4	1	
9	9	
8	8	
4	7	
11	9	
6	8	
9	6	
13	12	
9	10	
7	2	
13	11	
9	10	
3	9	
9	10	
7	17	
8	9	
1	9	
15	5	
2	4	
3	13	
9	8	
6	11	
10	7	
5	10	
10	7	
10	4	
9	11	
5	6	
5	11	
4	5	
4	2	
13	2	
7	12	
9	7	
9	10	
8	6	
3	6	
2	3	
1	10	
6	7	
5	7	
1	4	
2	6	
6	4	
2	5	
5	4	
6	4	
11	6	
9	3	
2	6	
4	7	
4	5	
3	10	
7	6	
7	9	
4	7	
1	3	
4	10	
5	5	
4	4	
2	2	
5	6	
1	2	
5	3	
1	3	
4	5	
8	3	
1	8	
2	0	
11	8	
7	5	
3	6	
8	12	
3	11	
3	4	
3	3	
4	1	
2	2	
0	5	
6	4	
3	7	
3	0	
5	3	
4	2	
3	3	
3	2	
4	6	
3	9	
2	4	
6	4	
0	4	
4	7	
3	5	
6	8	
3	7	
2	1	
6	4	
5	3	
2	3	
2	2	
2	2	
3	2	
1	0	
1	9	
3	1	
7	4	
6	6	
4	1	
2	2	
4	5	
1	1	
5	2	
1	2	
1	2	
4	2	
9	3	
3	4	
4	8	
2	1	
8	4	
0	4	
4	0	
12	6	
4	3	
0	4	
2	1	
1	2	
3	0	
3	6	
7	3	
1	2	
6	5	
8	3	
2	5	
1	1	
1	10	
5	2	
5	1	
1	4	
7	0	
2	4	
1	13	
1	1	
1	3	
2	5	
9	1	
1	4	
3	8	
2	8	
3	2	
5	1	
3	1	
9	2	
7	1	
2	7	
2	3	
2	3	
0	1	
1	5	
1	2	
4	3	
2	4	
1	2	
2	1	
3	1	
0	3	
8	2	
2	2	
2	1	
2	2	
0	0	
6	5	
0	4	
0	3	
7	4	
4	0	
2	1	
1	0	
0	4	
2	6	
1	3	
1	3	
0	2	
2	2	
1	5	
1	3	
1	1	
2	1	
4	9	
1	1	
2	1	
1	8	
2	1	
0	0	
1	2	
1	2	
6	5	
2	1	
4	2	
0	1	
3	1	
6	4	
0	0	
1	1	
11	3	
0	1	
3	5	
3	5	
3	1	
1	1	
1	1	
0	4	
3	1	
0	2	
3	3	
0	3	
2	2	
0	0	
2	0	
1	0	
1	0	
2	9	
3	2	
0	7	
2	5	
1	0	
0	2	
0	5	
0	3	
2	1	
2	0	
2	2	
0	2	
1	0	
2	1	
1	3	
3	3	
4	3	
0	4	
3	1	
0	0	
0	4	
1	7	
4	2	
2	0	
1	3	
10	0	
4	0	
5	1	
2	1	
0	5	
0	1	
1	0	
5	3	
0	2	
0	3	
1	2	
3	1	
0	1	
1	1	
1	3	
3	3	
2	0	
0	2	
0	1	
1	4	
5	3	
4	1	
4	0	
1	1	
1	0	
2	4	
0	4	
0	5	
1	1	
0	1	
5	2	
0	3	
1	1	
0	1	
4	2	
1	1	
0	3	
0	8	
3	2	
1	0	
1	0	
0	0	
0	1	
0	0	
5	2	
0	0	
0	0	
1	3	
2	1	
1	1	
0	2	
5	3	
1	3	
1	0	
1	2	
1	1	
1	4	
0	3	
0	5	
3	0	
1	2	
3	0	
1	6	
2	2	
3	2	
0	5	
0	1	
0	2	
0	2	
1	0	
2	1	
0	0	
3	0	
1	0	
0	2	
0	1	
1	3	
0	0	
5	1	
1	2	
1	0	
0	4	
4	2	
6	2	
0	3	
0	9	
1	4	
2	4	
3	0	
2	3	
1	0	
0	2	
6	2	
2	5	
1	0	
2	3	
0	2	
1	2	
0	0	
4	0	
0	1	
2	3	
2	1	
1	0	
0	1	
376	559	
