WTCHG_171117_262	WTCHG_171117_264	
1.873	3.065	
1.97	3.191	
2.103	3.366	
2.255	3.565	
2.399	3.7	
2.559	3.879	
2.691	4.03	
2.836	4.26	
2.951	4.399	
3.06	4.548	
3.161	4.669	
3.228	4.771	
3.295	4.871	
3.396	5.041	
3.487	5.118	
3.564	5.24	
3.71	5.303	
3.784	5.389	
3.857	5.48	
3.934	5.538	
4.046	5.594	
4.107	5.676	
4.211	5.777	
4.294	5.841	
4.375	5.944	
4.436	6.043	
4.525	6.144	
4.62	6.261	
4.682	6.352	
4.762	6.444	
4.852	6.537	
4.975	6.642	
5.245	6.743	
5.375	6.794	
5.454	6.898	
5.576	6.986	
5.675	7.088	
5.745	7.157	
5.85	7.27	
5.955	7.399	
6.034	7.485	
6.163	7.609	
6.244	7.715	
6.356	7.863	
6.43	7.971	
6.526	8.096	
6.646	8.23	
6.738	8.324	
6.833	8.454	
6.944	8.612	
7.07	8.725	
7.199	8.844	
7.296	8.961	
7.415	9.08	
7.52	9.201	
7.644	9.33	
7.779	9.455	
7.898	9.596	
8.004	9.72	
8.154	9.841	
8.294	9.989	
8.422	10.163	
8.563	10.31	
8.686	10.457	
8.851	10.634	
9.0	10.787	
9.142	10.917	
9.371	11.1	
9.509	11.254	
9.619	11.439	
9.788	11.582	
9.946	11.727	
10.06	11.934	
10.214	12.117	
10.378	12.284	
10.564	12.481	
10.741	12.654	
10.931	12.841	
11.091	13.012	
11.243	13.162	
11.415	13.382	
11.577	13.564	
11.736	13.739	
11.885	13.89	
12.063	14.044	
12.233	14.2	
12.419	14.377	
12.552	14.567	
12.705	14.748	
12.887	14.913	
13.088	15.108	
13.26	15.334	
13.33	15.483	
13.536	15.655	
13.718	15.759	
13.824	15.857	
13.992	15.96	
14.057	16.037	
14.107	16.086	
14.132	16.15	
14.155	16.24	
14.265	16.339	
14.322	16.432	
14.391	16.475	
14.508	16.577	
14.588	16.621	
14.678	16.666	
14.742	16.695	
14.852	16.778	
14.979	16.829	
15.103	16.971	
15.232	17.054	
15.362	17.185	
15.527	17.261	
15.67	17.398	
15.799	17.477	
15.928	17.673	
16.031	17.826	
16.178	17.975	
16.347	18.153	
16.508	18.349	
16.686	18.567	
16.826	18.647	
16.984	18.799	
17.116	18.966	
17.287	19.155	
17.412	19.303	
17.607	19.462	
17.741	19.619	
17.908	19.742	
17.962	19.866	
18.027	19.924	
18.154	20.036	
18.267	20.215	
18.429	20.379	
18.602	20.493	
18.705	20.666	
18.826	20.756756	
18.937	20.87888	
19.038	20.996998	
19.204	21.117117	
19.339	21.239239	
19.488	21.368368	
19.694	21.46947	
19.918	21.585585	
20.037	21.713715	
20.137	21.836838	
20.257	21.96096	
20.381	22.053053	
20.474	22.124125	
20.628	22.242243	
20.713	22.376377	
20.782	22.476477	
20.921	22.602602	
21.047	22.75976	
21.215	22.913914	
21.327	22.997997	
21.842	23.089088	
22.009	23.27928	
22.147	23.377377	
22.228	23.518518	
22.256	23.602602	
22.394	23.656656	
22.506	23.815815	
22.589	23.901901	
22.745	24.034035	
22.753	24.144144	
22.798	24.149149	
22.919	24.27127	
23.068	24.377377	
23.144	24.458458	
23.3	24.532532	
23.404	24.572573	
23.397	24.656656	
23.438	24.738739	
23.501	24.795795	
23.589	24.891891	
23.621	24.938938	
23.725	25.084084	
23.886	25.20921	
24.138	25.275276	
24.253	25.365366	
24.282	25.466467	
24.511	25.587587	
24.589	25.644644	
24.627	25.731731	
24.702	25.88889	
24.782	26.025024	
