Total reads: 71859250
Fragment number: 83076623
percentile	count
0	1229004
1	2278823
2	3449469
3	4079240
4	4594841
5	5048720
6	5392849
7	5944981
8	6327546
9	5991127
10	5781059
11	5866267
12	5982053
13	6379509
14	6578498
15	6422294
16	6356895
17	6798001
18	6674320
19	6740319
20	6780793
21	6783684
22	6799645
23	6857295
24	7017357
25	7007347
26	7048490
27	7260115
28	7427723
29	7547180
30	7539181
31	7592033
32	7414192
33	7337816
34	7321417
35	7312425
36	7283938
37	7433268
38	7625110
39	7619510
40	7691938
41	7739574
42	7769030
43	7781408
44	7825438
45	7850680
46	7708352
47	7580988
48	7551790
49	7737717
50	7741146
51	7878452
52	7905535
53	7755355
54	7667321
55	7604257
56	7577723
57	7454607
58	7367306
59	7228710
60	7052556
61	6994068
62	7177289
63	7556194
64	7746654
65	7810280
66	7824939
67	7893729
68	7921413
69	7955468
70	7723807
71	7591076
72	7603009
73	7686396
74	7800716
75	7826154
76	7825273
77	7813972
78	7844225
79	7819088
80	7832137
81	7784178
82	7634980
83	7494957
84	7467775
85	7336060
86	7316532
87	7096841
88	6853081
89	6788453
90	7241110
91	7327842
92	7207341
93	6863699
94	6569435
95	6253149
96	5980128
97	5579921
98	4684025
99	3968454
100	2991411
