percentile	count
0	589951
1	668817
2	777453
3	891730
4	1002704
5	1102917
6	1184290
7	1269528
8	1342687
9	1419151
10	1483217
11	1578655
12	1636062
13	1695077
14	1788131
15	1851463
16	1915994
17	1967129
18	2052179
19	2099417
20	2145865
21	2147833
22	2181858
23	2223797
24	2231002
25	2250525
26	2322324
27	2338164
28	2352873
29	2376010
30	2390604
31	2446509
32	2481134
33	2522621
34	2538743
35	2585949
36	2584986
37	2620079
38	2650978
39	2646776
40	2673661
41	2673863
42	2685570
43	2707150
44	2719564
45	2734952
46	2738718
47	2760055
48	2759471
49	2766809
50	2796028
51	2809276
52	2813840
53	2814534
54	2823815
55	2811349
56	2822540
57	2816694
58	2834217
59	2867045
60	2856410
61	2842469
62	2837908
63	2793324
64	2804635
65	2802253
66	2797005
67	2795575
68	2817711
69	2787603
70	2776881
71	2766050
72	2768637
73	2752337
74	2765708
75	2743789
76	2742491
77	2754774
78	2734665
79	2710991
80	2719319
81	2719640
82	2710261
83	2715622
84	2651159
85	2613149
86	2586144
87	2536576
88	2486594
89	2441815
90	2385927
91	2314199
92	2208692
93	2104847
94	2016698
95	1894864
96	1758705
97	1604948
98	1450723
99	1288898
