percentile	count
0	904052
1	1017852
2	1116620
3	1201517
4	1277348
5	1355619
6	1428870
7	1500810
8	1553804
9	1615108
10	1660027
11	1704199
12	1772982
13	1831222
14	1893758
15	1945183
16	1990629
17	2017613
18	2052249
19	2095212
20	2116886
21	2146833
22	2187134
23	2221113
24	2259992
25	2285695
26	2328303
27	2351709
28	2368914
29	2381136
30	2394353
31	2408364
32	2418817
33	2428891
34	2456877
35	2471705
36	2473479
37	2490112
38	2508068
39	2508503
40	2517303
41	2515320
42	2528987
43	2532034
44	2539394
45	2539093
46	2544405
47	2559997
48	2560387
49	2581833
50	2588867
51	2582635
52	2591233
53	2590593
54	2602617
55	2608356
56	2606852
57	2613210
58	2606899
59	2602854
60	2585869
61	2585735
62	2598564
63	2592732
64	2587531
65	2574416
66	2563763
67	2570213
68	2560221
69	2550891
70	2545365
71	2530628
72	2524841
73	2510413
74	2507255
75	2468081
76	2459396
77	2457614
78	2443102
79	2430491
80	2428130
81	2411493
82	2404541
83	2393571
84	2381935
85	2375181
86	2351421
87	2313326
88	2285374
89	2247438
90	2206549
91	2166658
92	2114338
93	2070713
94	2001886
95	1920238
96	1819881
97	1655173
98	1468417
99	1250926
