UniqueCount	AmbigCount
58	0
0	131
0	95
0	121
0	121
2	124
3	54
6	26
0	26
8	348
0	346
1	0
347	552
0	552
0	11
0	11
0	9
0	11
0	9
0	9
0	11
0	9
7	44
0	44
1	731
1	624
26	620
2379	0
2	1836
90	2352
4	1074
1	1837
0	41
0	41
286	0
24	0
2	528
0	464
0	443
0	1
0	0
0	1
65	459
1	459
333	548
22	548
308	0
0	0
6	13
0	13
6	0
1	65
0	50
14	56
0	157
0	157
0	157
0	157
0	157
0	157
0	156
0	156
28	0
357	0
10	371
0	374
0	376
0	374
0	376
9	0
0	132
0	127
1	132
0	0
0	0
11	106
17	106
765	0
0	0
0	0
0	2444
1	2428
0	2449
0	0
0	176
7	176
191	0
0	1
0	1
0	1
145	0
0	37
3	37
2	25
0	35
2	3
0	3
0	2
0	25
0	25
0	0
0	0
0	52
5	52
685	0
192	0
39	176
4	176
14	127
3	65
4	13
0	13
0	0
1025	0
1	25
0	25
121	1308
10	1318
7	1252
5	1247
160	0
295	0
0	1
0	0
0	1
0	0
0	1
0	0
5	718
119	718
84	1583
21	1583
0	37
2	53
0	39
0	51
0	25
2	25
0	8
1	8
0	0
46	0
552	0
753	6152
0	6152
482	0
14	101
1	101
17	419
0	410
0	410
1	419
0	14
3	14
1	8
0	8
0	7
82	0
0	51
4	51
0	49
1	0
0	17
0	19
1	12
0	14
0	17
458	0
7	15
0	15
287	0
156	0
403	0
0	43
0	43
0	40
0	40
4	37
52	74
0	79
0	15
1	13
0	14
0	14
301	0
466	0
3	551
0	551
110	541
0	541
10	0
1127	0
0	175
2	177
0	177
1	7
78	74
0	61
0	54
0	63
0	33
0	0
0	18
0	18
0	16
0	15
0	0
26	37
0	352
0	448
1	339
8	356
0	352
1	188
0	222
2	196
2	220
5	157
161	0
166	0
0	162
0	149
0	154
0	151
696	0
252	0
0	0
317	0
149	0
0	78
0	56
1	75
0	77
4	77
0	70
2	198
3	157
4	175
2	0
0	0
185	0
33	0
2	37
2	37
0	2
12	0
0	829
2	829
0	828
68	230
16	214
14	230
50	423
7	350
13	473
432	0
118	837
12	856
7	824
594	0
811	0
0	218
0	140
1	222
0	222
1092	0
137	153
14	153
515	0
55	0
0	5
0	5
0	134
0	138
0	100
0	135
1	128
0	0
102	0
9	0
1	0
3	267
0	267
11	183
0	183
36	799
4	799
92	0
368	0
1857	0
5	5
0	5
0	0
290	0
139	0
3	31
0	31
17	0
0	266
0	266
0	266
68	0
30	0
17	0
10	41
1	41
0	0
7	164
1	164
0	164
1	15
3	24
0	19
1	0
0	0
23	0
17	0
28	44
1	44
576	0
0	0
2	0
394	6202
17	6202
0	0
0	79
0	79
0	79
0	5
0	5
0	0
0	0
2386	0
9	0
6	0
2	0
0	0
0	0
0	0
0	254
12	176
2	181
55	2
0	2
0	2
948	0
2	60
2	60
957	0
0	33
0	37
0	47
0	17
0	37
0	47
0	39
215	0
11	131
0	131
17	0
33	24
0	24
42	61
0	61
187	0
107	0
59	103
0	103
0	0
4	0
5992	0
0	0
19	0
135	0
0	0
219	0
9	0
0	0
370	1275
4	1451
6	1017
0	1488
17	1381
12	252
3	263
7	224
5	206
0	272
102	148
0	148
0	88
319	0
0	171
0	169
1	178
2	172
0	169
1	173
106	761
0	761
222	0
94	295
6	295
2049	11
456	2009
14	2009
0	1
0	2
0	2
0	1
0	82
1	71
0	79
0	53
1	82
0	0
0	0
7	119
3	137
4	151
5	159
1	166
1	130
0	0
11	0
0	0
0	0
0	90
0	103
0	102
0	103
0	83
0	102
278	0
0	16
0	16
0	15
0	0
42	198
9	198
3	410
1	350
16	345
0	0
2	4
6	4
0	397
0	402
0	399
0	396
0	10
0	10
0	10
1	762
1	762
2	762
6	4242
165	4242
26	24
0	0
2	0
109	0
4	6
4	6
12028	0
893	0
313	0
0	393
0	360
2	352
1	372
5	0
7	0
0	25
0	26
0	26
0	25
0	24
0	23
0	77
0	77
17	0
39	250
10	250
2091	1
636	1
3	0
0	251
1	217
0	214
1	172
74	0
44	0
5	346
2	346
0	346
7	479
0	480
1	437
0	479
0	404
0	397
0	36
0	175
0	175
2	0
0	0
314	0
27	0
399	0
80	0
1	146
0	146
17	178
1	178
515	1
0	1
0	0
59	266
5	266
0	319
0	74
49	175
10	175
250	0
4	0
0	0
1	99
1	99
1	92
2	174
3	168
0	174
0	173
1950	0
0	0
50	19
3	0
0	0
19	0
0	0
26	191
0	191
154	0
4	0
0	16
21	36
9	282
0	215
0	229
0	124
0	105
0	83
0	74
102	0
0	0
378	0
4555	0
115	430
4	430
0	37
0	34
0	34
1	34
0	36
0	38
0	37
1	37
0	35
0	39
0	38
0	37
0	37
121	877
2	877
0	0
45	0
2	8
1	8
2	0
2992	0
46	102
3	102
10	0
0	0
0	0
0	0
0	0
120	0
110	503
11	503
0	0
0	0
54	0
182	0
3	97
1	62
0	94
0	92
0	93
0	88
2	42
1	93
0	86
9	0
17	0
0	0
103	0
0	64
7	64
6	42
0	42
5	261
77	251
13	216
15	728
3	679
1	705
2061	0
0	0
0	0
1422	0
1	33
0	36
2	36
0	35
24	500
0	500
0	28
1	27
0	28
323	0
0	0
58	19
180	0
0	124
1	121
0	121
0	121
0	95
0	121
0	118
298	60
0	1
0	1
0	2
0	2
0	0
0	0
73	0
0	23
0	0
176	0
0	0
5	0
108	0
6	0
0	3
2	45
0	45
0	0
4	0
22	51
0	35
0	0
1	0
1253	16
0	0
3	0
0	14
0	14
0	13
5	38
0	0
0	0
0	3
94	0
2	0
0	37
0	1050
1	1004
23	1022
0	1032
2	1004
0	0
0	0
8	0
0	0
0	0
73	2
0	0
0	1
1	2
93	0
20	20
0	458
0	385
0	453
0	2
0	0
14	49
0	49
2	2
0	0
225	770
19	770
0	0
5	0
2	0
1	0
0	0
5	46
0	46
0	10
0	0
8	770
0	770
0	0
0	0
25	0
7	276
0	0
223	0
3	0
4	5
67	148
7	129
0	131
0	0
0	0
231	0
0	0
0	9
79	80
9	0
0	0
21	93
1	73
0	60
0	0
0	81
1	81
0	0
4	80
183	0
0	0
0	0
197	0
0	0
5	0
1516	1806
1	1806
0	0
3	0
2	393
6	393
0	0
0	0
91	70
0	61
0	0
5	23
0	0
1	1052
0	1041
0	1042
0	1049
0	1051
0	1002
2	0
0	0
0	126
0	126
19	0
0	0
3	0
0	0
3	0
0	0
0	0
246	0
0	92
3	0
196	0
7	22
5	1
54	0
0	1
2	0
0	0
0	0
0	0
0	1
0	1
0	0
0	0
96	0
2	0
0	0
