#SentieonCommandLine: /mnt/ix1/Resources/tools/sentieon-genomics/v201808.08/libexec/driver -t 8 -i Pinsky_150_repl1_PE.st.mdup.bam -r /mnt/ix1/Projects_lite/20200402_BL_COVID_primer_selection/00_seq/reference_genome/merged.fasta --algo MeanQualityByCycle Pinsky_150_repl1_PE.st.mdup.metrics.QualCycle
CYCLE	MEAN_QUALITY	
1	35.310438	
2	35.236871	
3	36.220161	
4	36.369141	
5	36.525391	
6	36.712999	
7	36.696832	
8	36.722548	
9	36.682617	
10	36.611979	
11	36.729384	
12	36.683702	
13	36.728299	
14	36.705729	
15	36.716254	
16	36.701606	
17	36.703234	
18	36.730035	
19	36.726237	
20	36.716797	
21	36.735243	
22	36.731771	
23	36.666775	
24	36.708116	
25	36.708767	
26	36.706380	
27	36.711372	
28	36.700738	
29	36.698676	
30	36.705838	
31	36.702148	
32	36.753567	
33	36.724905	
34	36.706565	
35	36.674769	
36	36.704069	
37	36.696565	
38	36.686689	
39	36.708177	
40	36.705557	
41	36.737125	
42	36.684342	
43	36.691180	
44	36.674176	
45	36.691205	
46	36.713122	
47	36.715185	
48	36.692692	
49	36.700494	
50	36.683810	
51	36.686074	
52	36.694764	
53	36.689876	
54	36.683359	
55	36.719500	
56	36.672081	
57	36.692425	
58	36.704457	
59	36.664094	
60	36.659871	
61	36.703285	
62	36.668589	
63	36.706401	
64	36.671785	
65	36.691419	
66	36.655748	
67	36.677444	
68	36.660176	
69	36.615473	
70	36.598275	
71	36.658710	
72	36.635012	
73	36.657896	
74	36.648733	
75	36.600460	
76	36.623473	
77	36.646201	
78	36.640395	
79	36.626813	
80	36.633584	
81	36.623404	
82	36.641740	
83	36.578164	
84	36.644982	
85	36.558182	
86	36.591749	
87	36.615197	
88	36.599911	
89	36.613322	
90	36.634919	
91	36.617893	
92	36.605548	
93	36.598350	
94	36.574418	
95	36.606052	
96	36.623407	
97	36.602037	
98	36.583609	
99	36.565608	
100	36.592135	
101	36.575638	
102	36.588060	
103	36.573935	
104	36.600181	
105	36.595476	
106	36.555581	
107	36.564641	
108	36.534688	
109	36.599114	
110	36.593832	
111	36.562596	
112	36.557737	
113	36.524005	
114	36.530328	
115	36.497276	
116	36.525868	
117	36.527380	
118	36.522722	
119	36.552768	
120	36.516986	
121	36.514761	
122	36.497359	
123	36.494066	
124	36.500233	
125	36.485904	
126	36.506171	
127	36.432993	
128	36.504548	
129	36.456771	
130	36.510021	
131	36.467816	
132	36.439300	
133	36.464684	
134	36.464916	
135	36.392045	
136	36.478448	
137	36.465191	
138	36.381195	
139	36.434234	
140	36.403648	
141	36.354520	
142	36.393628	
143	36.424121	
144	36.361201	
145	36.398100	
146	36.338265	
147	36.428974	
148	36.324884	
149	36.344702	
150	36.290670	
151	28.746322	
152	36.138575	
153	35.999240	
154	36.175825	
155	36.259991	
156	36.304083	
157	36.414205	
158	36.409970	
159	36.446134	
160	36.454930	
161	36.397480	
162	36.491638	
163	36.411164	
164	36.411599	
165	36.405408	
166	36.431364	
167	36.421373	
168	36.457537	
169	36.415617	
170	36.448306	
171	36.415074	
172	36.451564	
173	36.395851	
174	36.388467	
175	36.463836	
176	36.452541	
177	36.503801	
178	36.395417	
179	36.451672	
180	36.425825	
181	36.389118	
182	36.468506	
183	36.399728	
184	36.418051	
185	36.386662	
186	36.340285	
187	36.358640	
188	36.389562	
189	36.422147	
190	36.454733	
191	36.412883	
192	36.404378	
193	36.406812	
194	36.376609	
195	36.430264	
196	36.429689	
197	36.403902	
198	36.424876	
199	36.369742	
200	36.384707	
201	36.366310	
202	36.352794	
203	36.387584	
204	36.416504	
205	36.328332	
206	36.361096	
207	36.395791	
208	36.422527	
209	36.358716	
210	36.329272	
211	36.269997	
212	36.371687	
213	36.355257	
214	36.263387	
215	36.354259	
216	36.339368	
217	36.348680	
218	36.304376	
219	36.294574	
220	36.294201	
221	36.320037	
222	36.300678	
223	36.246553	
224	36.274609	
225	36.277607	
226	36.218683	
227	36.268151	
228	36.265156	
229	36.299863	
230	36.223909	
231	36.212128	
232	36.231023	
233	36.250854	
234	36.123448	
235	36.276382	
236	36.194606	
237	36.270091	
238	36.169715	
239	36.216962	
240	36.157158	
241	36.166342	
242	36.241356	
243	36.074856	
244	36.151370	
245	36.144086	
246	36.179685	
247	36.208681	
248	36.065017	
249	36.175203	
250	36.130757	
251	36.110761	
252	36.115826	
253	36.056761	
254	36.103721	
255	36.006048	
256	36.096650	
257	36.086592	
258	36.024512	
259	35.953414	
260	36.056342	
261	35.911172	
262	35.991276	
263	36.026561	
264	35.971059	
265	35.980570	
266	35.937389	
267	35.904395	
268	35.930283	
269	35.936811	
270	35.884969	
271	35.733727	
272	35.759373	
273	35.785806	
274	35.833556	
275	35.652714	
276	35.797570	
277	35.748303	
278	35.612307	
279	35.689416	
280	35.678407	
281	35.683028	
282	35.612848	
283	35.660907	
284	35.649825	
285	35.483886	
286	35.496037	
287	35.500179	
288	35.235935	
289	35.385007	
290	35.523380	
291	35.461956	
292	35.281627	
293	35.293114	
294	35.181631	
295	35.210437	
296	35.161088	
297	35.086036	
298	35.189003	
299	35.130532	
300	35.054300	
301	34.981468	
302	23.323519	



