#SentieonCommandLine: /usr/local/sentieon-genomics-201911/libexec/driver -t 36 -i sorted_0.bam -i sorted_1.bam -r genome/hs37d5.fa --algo GCBias --summary gc_summary.txt gc_metric.txt
ACCUMULATION_LEVEL	READS_USED	GC	WINDOWS	READ_STARTS	MEAN_BASE_QUALITY	NORMALIZED_COVERAGE	ERROR_BAR_WIDTH	SAMPLE	LIBRARY	READ_GROUP	
All Reads	ALL	0	147859	1034	19	0.182258	0.005668				
All Reads	ALL	1	108735	197	15	0.047218	0.003364				
All Reads	ALL	2	125328	334	15	0.069456	0.003800				
All Reads	ALL	3	161707	1369	17	0.220642	0.005963				
All Reads	ALL	4	172430	1191	16	0.180016	0.005216				
All Reads	ALL	5	176048	2351	14	0.348044	0.007178				
All Reads	ALL	6	197132	6179	16	0.816909	0.010392				
All Reads	ALL	7	207827	5041	17	0.632161	0.008904				
All Reads	ALL	8	233446	3014	15	0.336488	0.006129				
All Reads	ALL	9	260866	4557	16	0.455276	0.006744				
All Reads	ALL	10	302776	5394	16	0.464304	0.006322				
All Reads	ALL	11	366886	4800	16	0.340975	0.004922				
All Reads	ALL	12	475988	6157	17	0.337121	0.004296				
All Reads	ALL	13	625806	11772	18	0.490256	0.004519				
All Reads	ALL	14	884586	10931	19	0.322057	0.003080				
All Reads	ALL	15	1299770	17696	19	0.354831	0.002667				
All Reads	ALL	16	1939300	29751	20	0.399824	0.002318				
All Reads	ALL	17	2908647	54067	20	0.484456	0.002083				
All Reads	ALL	18	4359342	82776	20	0.494876	0.001720				
All Reads	ALL	19	6430002	123297	21	0.499752	0.001423				
All Reads	ALL	20	9284118	184030	21	0.516608	0.001204				
All Reads	ALL	21	13051720	257752	21	0.514692	0.001014				
All Reads	ALL	22	17810187	348927	21	0.510598	0.000864				
All Reads	ALL	23	23626936	460658	21	0.508141	0.000749				
All Reads	ALL	24	30480566	600828	22	0.513736	0.000663				
All Reads	ALL	25	38211236	751989	22	0.512901	0.000591				
All Reads	ALL	26	46523994	929781	22	0.520855	0.000540				
All Reads	ALL	27	55206768	1123004	22	0.530154	0.000500				
All Reads	ALL	28	63974508	1328059	22	0.541032	0.000469				
All Reads	ALL	29	72527056	1535253	22	0.551687	0.000445				
All Reads	ALL	30	80679703	1749000	23	0.564987	0.000427				
All Reads	ALL	31	88258407	1955443	23	0.577433	0.000413				
All Reads	ALL	32	94991572	2157251	23	0.591873	0.000403				
All Reads	ALL	33	100740761	2379467	23	0.615584	0.000399				
All Reads	ALL	34	105345024	2583563	23	0.639172	0.000398				
All Reads	ALL	35	108891484	2789486	23	0.667641	0.000400				
All Reads	ALL	36	111158823	2979227	23	0.698510	0.000405				
All Reads	ALL	37	111918627	3140343	23	0.731286	0.000413				
All Reads	ALL	38	110882356	3256554	23	0.765436	0.000424				
All Reads	ALL	39	108379615	3343657	23	0.804057	0.000440				
All Reads	ALL	40	104836501	3379256	23	0.840081	0.000457				
All Reads	ALL	41	100572106	3364886	23	0.871978	0.000475				
All Reads	ALL	42	95856492	3317665	23	0.902036	0.000495				
