File	#Seq	Total bp	Avg	N50	N75	N90	auN	Min	Max
data/Bpacificus-ATCC10987-rep1-sWGS-MiSeqi100-241111_S1_L001_R1_001.fastq.gz	12326	1861226	151.00	151	151	151	0.01	151	151
data/Bpacificus-ATCC10987-rep1-sWGS-MiSeqi100-241111_S1_L001_R2_001.fastq.gz	12326	1861226	151.00	151	151	151	0.01	151	151
data/Bpacificus-ATCC10987-rep2-sWGS-MiSeqi100-241111_S2_L001_R1_001.fastq.gz	12904	1948504	151.00	151	151	151	0.01	151	151
data/Bpacificus-ATCC10987-rep2-sWGS-MiSeqi100-241111_S2_L001_R2_001.fastq.gz	12904	1948504	151.00	151	151	151	0.01	151	151
data/Bpacificus-ATCC10987-rep3-sWGS-MiSeqi100-241111_S3_L001_R1_001.fastq.gz	14095	2128345	151.00	151	151	151	0.01	151	151
data/Bpacificus-ATCC10987-rep3-sWGS-MiSeqi100-241111_S3_L001_R2_001.fastq.gz	14095	2128345	151.00	151	151	151	0.01	151	151
data/Bpacificus-ATCC10987-rep4-sWGS-MiSeqi100-241111_S4_L001_R1_001.fastq.gz	11225	1694975	151.00	151	151	151	0.01	151	151
data/Bpacificus-ATCC10987-rep4-sWGS-MiSeqi100-241111_S4_L001_R2_001.fastq.gz	11225	1694975	151.00	151	151	151	0.01	151	151
data/Bpacificus-ATCC10987-rep5-sWGS-MiSeqi100-241111_S5_L001_R1_001.fastq.gz	16257	2454807	151.00	151	151	151	0.01	151	151
data/Bpacificus-ATCC10987-rep5-sWGS-MiSeqi100-241111_S5_L001_R2_001.fastq.gz	16257	2454807	151.00	151	151	151	0.01	151	151
data/Bpacificus-ATCC10987-rep6-sWGS-MiSeqi100-241111_S6_L001_R1_001.fastq.gz	13951	2106601	151.00	151	151	151	0.01	151	151
data/Bpacificus-ATCC10987-rep6-sWGS-MiSeqi100-241111_S6_L001_R2_001.fastq.gz	13951	2106601	151.00	151	151	151	0.01	151	151
data/Bpacificus-ATCC10987-rep7-sWGS-MiSeqi100-241111_S7_L001_R1_001.fastq.gz	14550	2197050	151.00	151	151	151	0.01	151	151
data/Bpacificus-ATCC10987-rep7-sWGS-MiSeqi100-241111_S7_L001_R2_001.fastq.gz	14550	2197050	151.00	151	151	151	0.01	151	151
data/Bpacificus-ATCC10987-rep8-sWGS-MiSeqi100-241111_S8_L001_R1_001.fastq.gz	13500	2038500	151.00	151	151	151	0.01	151	151
data/Bpacificus-ATCC10987-rep8-sWGS-MiSeqi100-241111_S8_L001_R2_001.fastq.gz	13500	2038500	151.00	151	151	151	0.01	151	151
data/Ecoli-ATCC700926-rep1-sWGS-MiSeqi100-241111_S9_L001_R1_001.fastq.gz	11595	1750845	151.00	151	151	151	0.01	151	151
data/Ecoli-ATCC700926-rep1-sWGS-MiSeqi100-241111_S9_L001_R2_001.fastq.gz	11595	1750845	151.00	151	151	151	0.01	151	151
