#sample_a	sample_b	relatedness	ibs0	ibs2	hom_concordance	hets_a	hets_b	hets_ab	shared_hets	hom_alts_a	hom_alts_b	shared_hom_alts	n	x_ibs0	x_ibs2	expected_relatedness
CPG13045	CPG68692	-0.159	1634	7335	-0.064	5806	6359	11888	2323	5970	5588	2910	16211	47	169	-1.0
CPG13045	CPG13052	-0.140	1629	7352	-0.073	5806	6596	12210	2406	5970	5514	2854	16379	60	150	-1.0
CPG13045	CPG13060	-0.165	1653	7131	-0.092	5806	6428	11975	2319	5970	5507	2799	16121	93	147	-1.0
CPG13045	CPG13078	-0.126	1594	7292	-0.071	5806	6702	12335	2409	5970	5455	2803	16403	57	151	-1.0
CPG13045	CPG13086	-0.145	1625	7202	-0.081	5806	6553	12073	2374	5970	5454	2806	16152	93	152	-1.0
CPG13045	CPG13094	-0.166	1685	7224	-0.104	5806	6461	11968	2379	5970	5462	2803	16119	47	147	-1.0
CPG13045	CPG13102	-0.126	1600	7332	-0.065	5806	6716	12331	2422	5970	5527	2840	16419	91	175	-1.0
CPG13045	CPG13110	-0.148	1652	7174	-0.106	5806	6697	12302	2395	5970	5385	2734	16338	55	145	-1.0
CPG13045	CPG13128	-0.192	1732	7175	-0.124	5806	6355	11864	2326	5970	5529	2781	16119	58	154	-1.0
CPG13045	CPG13136	-0.103	1500	7048	-0.057	5806	6647	12082	2377	5970	5285	2701	15876	47	145	-1.0
CPG13045	CPG13144	-0.145	1657	7220	-0.097	5806	6607	12113	2434	5970	5404	2792	16122	105	141	-1.0
CPG13045	CPG13151	-0.130	1619	7270	-0.081	5806	6625	12178	2444	5970	5487	2794	16179	38	156	-1.0
CPG13045	CPG13169	-0.128	1599	7019	-0.100	5806	6663	12111	2423	5970	5246	2671	15883	80	165	-1.0
CPG13045	CPG13177	-0.172	1679	7234	-0.094	5806	6502	12113	2318	5970	5580	2836	16390	54	148	-1.0
CPG13045	CPG13185	-0.153	1638	7181	-0.089	5806	6473	12002	2355	5970	5464	2787	16111	94	161	-1.0
CPG13045	CPG13193	-0.173	1671	7043	-0.108	5806	6453	11994	2302	5970	5498	2746	16104	53	137	-1.0
CPG13045	CPG13201	-0.208	1779	7135	-0.138	5806	6442	12055	2306	5970	5600	2786	16357	94	166	-1.0
CPG13045	CPG13219	-0.068	1460	7239	-0.034	5806	6685	12074	2507	5970	5244	2741	15759	96	144	-1.0
CPG13045	CPG13227	-0.146	1632	7149	-0.089	5806	6543	12066	2383	5970	5423	2781	16081	94	150	-1.0
CPG13045	CPG13235	-0.162	1636	7162	-0.080	5806	6453	11951	2305	5970	5531	2831	16139	83	157	-1.0
CPG13045	CPG13243	-0.176	1657	7085	-0.102	5806	6322	11787	2277	5970	5402	2762	15975	55	135	-1.0
CPG13045	CPG13250	-0.144	1625	7391	-0.062	5806	6483	12092	2378	5970	5591	2905	16352	96	164	-1.0
CPG13045	CPG13268	-0.122	1585	7234	-0.083	5806	6561	11999	2440	5970	5247	2736	15938	81	167	-1.0
CPG13045	CPG13276	-0.120	1627	7400	-0.078	5806	6756	12396	2510	5970	5489	2827	16403	53	154	-1.0
CPG13045	CPG13284	-0.175	1691	7136	-0.111	5806	6437	11931	2338	5970	5429	2781	16082	92	149	-1.0
CPG13045	CPG13292	-0.164	1739	7448	-0.109	5806	6584	12215	2477	5970	5616	2865	16448	118	148	-1.0
CPG13045	CPG13300	-0.147	1583	7149	-0.066	5806	6387	11894	2291	5970	5476	2807	16044	78	168	-1.0
CPG13045	CPG13318	-0.178	1708	7262	-0.099	5806	6508	12135	2333	5970	5649	2858	16439	45	151	-1.0
CPG13045	CPG13334	-0.242	1600	6516	-0.113	5806	5368	10349	1947	5970	5212	2609	14571	53	133	-1.0
CPG13045	CPG13342	-0.117	1554	6965	-0.093	5806	6722	12164	2395	5970	5221	2620	15893	42	159	-1.0
CPG13045	CPG13359	-0.135	1602	7226	-0.073	5806	6582	12090	2387	5970	5421	2807	16144	81	169	-1.0
CPG13045	CPG13367	-0.097	1505	7084	-0.057	5806	6447	11756	2437	5970	5208	2712	15471	83	148	-1.0
CPG13045	CPG13375	-0.136	1609	6989	-0.102	5806	6597	12011	2402	5970	5314	2674	15805	106	143	-1.0
CPG13045	CPG13383	-0.119	1557	6971	-0.085	5806	6664	12035	2399	5970	5264	2668	15765	49	132	-1.0
