read1_position	read2_position	discordance_type	count
10	0	R1:T_R2:C	1
11	0	R1:A_R2:T	1
13	1	R1:A_R2:C	1
13	3	R1:C_R2:T	1
13	3	R1:T_R2:C	1
14	1	R1:C_R2:A	1
16	4	R1:C_R2:G	1
17	7	R1:C_R2:T	1
18	2	R1:A_R2:T	1
18	5	R1:G_R2:T	1
18	6	R1:C_R2:T	1
20	3	R1:T_R2:A	1
20	9	R1:C_R2:G	1
20	10	R1:G_R2:A	1
21	0	R1:A_R2:T	1
21	0	R1:G_R2:T	1
21	1	R1:A_R2:C	1
23	12	R1:G_R2:T	1
24	3	R1:G_R2:T	1
24	5	R1:G_R2:C	1
24	6	R1:A_R2:T	1
25	1	R1:G_R2:T	1
25	14	R1:T_R2:C	1
26	14	R1:T_R2:C	1
26	15	R1:A_R2:C	1
27	10	R1:C_R2:G	1
27	15	R1:A_R2:C	1
27	15	R1:T_R2:C	1
28	1	R1:A_R2:G	1
28	2	R1:C_R2:A	1
28	2	R1:T_R2:C	1
29	5	R1:T_R2:G	1
29	12	R1:T_R2:C	1
30	1	R1:A_R2:G	1
30	6	R1:A_R2:C	1
30	8	R1:G_R2:T	1
30	9	R1:C_R2:G	1
30	13	R1:G_R2:A	1
31	2	R1:A_R2:T	1
31	4	R1:G_R2:T	1
