P4701_1022	P4701_1008	P4701_1010	P4701_1015	P4701_1019	P4701_1020	P4701_1016	P4701_1012	P4701_1018	P4701_1011	P4701_1009	P4701_1017	P4701_1021	P4701_1004	P4701_1002	P4701_1006	P4701_1005	P4701_1003	P4701_1007	P4701_1001	P4701_1014	P4701_1013
P4701_1022	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P4701_1008	6.45647645863086	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P4701_1010	6.42150280955962	5.6213458962597	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P4701_1015	6.62245516262651	5.58054872061397	5.12562427401638	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P4701_1019	6.39745113065001	5.60371899220006	5.33718193660942	4.85403254681384	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P4701_1020	6.37909757182119	5.60997998796332	5.32121307409174	4.84340168179045	4.97682573369014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P4701_1016	6.77258879541485	5.66360710661335	5.18065679715398	3.0712445747101	4.88048992773408	4.8976230829402	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P4701_1012	5.53526547746898	4.80853277920942	4.52662703193329	3.81097979699642	4.34153720538981	4.29559848940761	3.75880716729036	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P4701_1018	6.37523943377742	5.32675678774648	4.95007253803173	3.52457818939902	4.70106811839886	4.66848685544779	3.42776358298926	3.40497686278861	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P4701_1011	5.55048343335659	4.8284499659345	4.58955103975264	3.90318507679402	4.40845403356017	4.33585413985061	3.80067664649	2.28507651810315	3.43562169275889	0	0	0	0	0	0	0	0	0	0	0	0	0
P4701_1009	6.8291819138876	5.69904662922975	4.63163319314102	4.76622943392589	5.2910365718115	5.27580056115213	4.67635187560753	4.29187975922128	4.60676487927021	4.35428471374719	0	0	0	0	0	0	0	0	0	0	0	0
P4701_1017	6.41178080212725	5.32737559040784	4.95406514094278	3.49097433331298	4.68584067787917	4.70498274947102	3.4015148584787	3.44062073465591	3.09550304338308	3.47295251995749	4.61693610015047	0	0	0	0	0	0	0	0	0	0	0
P4701_1021	5.83089773896367	4.97665952897349	4.62888039381301	3.98537835306181	4.14536636289024	4.12402731692463	3.93638889803658	3.03291151620485	3.52418465796302	3.04898965422995	4.46263124123916	3.50289770391418	0	0	0	0	0	0	0	0	0	0
P4701_1004	7.43603714579079	5.33349204716385	5.63396759987212	5.21717580285636	5.72485652880664	5.74113656815129	5.14199946456926	4.81499924727921	5.0461358423566	4.77477150193269	4.93744893193682	5.04768724603532	4.88675679596638	0	0	0	0	0	0	0	0	0
P4701_1002	7.3982546651735	5.95287837933054	5.57622374946856	4.96834655195315	5.41722618757764	5.48072164294342	4.98132905718418	4.51028183884487	4.88021601751416	4.49493951586699	5.32473077558435	4.84936582854402	4.56228836990791	5.35451207221498	0	0	0	0	0	0	0	0
P4701_1006	7.46033451181318	5.32934514055103	5.63067666207231	5.23168821170638	5.75024949999373	5.74386021982101	5.14611580051912	4.81860509717151	5.0584100519703	4.78885203469983	4.9581640503129	5.05483975618584	4.89712598824424	2.57143100672328	5.3653703720972	0	0	0	0	0	0	0
P4701_1005	7.40863318903546	5.33256403149131	5.62498284272719	5.24140353444433	5.73475963262799	5.69193652554407	5.1667931762899	4.80663257825374	5.05819948874209	4.78867443217252	4.93639785778053	5.06199832143125	4.87952282910822	2.64729900703955	5.33976589193906	2.67829601383576	0	0	0	0	0	0
P4701_1003	7.37055821056976	5.91296849285253	5.56065979696423	4.94663726535726	5.38474724181919	5.44558487520007	4.98364074933295	4.51605154502132	4.85897677064629	4.49444249457396	5.31713391357706	4.84619698346008	4.54564768654185	5.3617474759721	1.91801591737076	5.37738639552257	5.34556812737726	0	0	0	0	0
P4701_1007	6.39243614082101	5.44827613631962	5.09130188075171	4.99435907868263	5.24484566392475	5.27032790377784	5.01800113078684	4.47170816141609	4.84975112292208	4.51210386852061	4.95015004568294	4.79975335527611	4.60167315865294	5.49383245596679	5.27350377218448	5.50747970701568	5.49413989159346	5.2567120977179	0	0	0	0
P4701_1001	7.40573570806372	5.96040484520245	5.58242646893965	4.96352905911895	5.42905355900834	5.48163922403783	5.00599335945249	4.52055924067926	4.87249647091775	4.50834257919372	5.33975722393979	4.8540007063447	4.5601960250532	5.34587175259052	1.8881012124488	5.36264218413754	5.33085744028203	1.86751906868582	5.28367022368613	0	0	0
P4701_1014	5.82016433912151	4.96443527345093	4.59041689851651	3.65788238759963	4.379993300698	4.36270579649937	3.53344112516567	2.41086641886961	3.04636814312432	2.38815796022556	4.18367844688365	3.04003648199015	2.95201379858365	4.56520557838278	4.41374708233564	4.57982148031229	4.58332703419693	4.42060610721746	4.52030054155173	4.4223623807168	0	0
P4701_1013	5.8599951119599	4.98515938185927	4.60780494939214	3.66271419612662	4.37558707895582	4.36803656735516	3.52705247225449	2.36720767771919	3.01241858991147	2.36304246762795	4.214173173729	3.01984903890947	2.93050826807322	4.5643693323339	4.4218721303429	4.58887186014427	4.57403221349057	4.42963914163304	4.52464947039624	4.43334219597235	1.75036119717989	0
