TOTAL_READS	EXPECTED_DISTINCT	LOWER_0.95CI	UPPER_0.95CI
0	0	0	0
1000000.0	545654.0	542404.8	548922.6
2000000.0	949109.5	943554.4	954697.4
3000000.0	1298672.0	1291321.0	1306064.9
4000000.0	1613105.0	1604217.5	1622041.7
5000000.0	1899483.0	1889324.7	1909695.9
6000000.0	2166254.5	2155030.6	2177536.9
7000000.0	2414286.0	2401716.5	2426921.2
8000000.0	2646935.5	2633197.5	2660745.1
9000000.0	2864768.5	2850372.8	2879236.9
10000000.0	3072788.5	3057641.6	3088010.4
11000000.0	3269589.5	3254143.5	3285108.9
12000000.0	3456207.0	3439789.8	3472702.6
13000000.0	3635010.5	3618137.9	3651961.8
14000000.0	3805409.0	3787822.0	3823077.6
15000000.0	3968483.0	3950480.7	3986567.4
16000000.0	4124767.5	4105844.3	4143777.9
17000000.0	4275101.5	4256209.1	4294077.8
18000000.0	4419409.0	4400337.6	4438563.0
19000000.0	4558265.5	4538875.6	4577738.2
20000000.0	4691683.5	4671890.6	4711560.2
21000000.0	4821200.0	4801262.7	4841220.1
22000000.0	4945828.5	4925435.0	4966306.4
23000000.0	5065426.5	5044862.0	5086074.8
24000000.0	5181890.0	5161345.1	5202516.6
25000000.0	5295009.5	5274186.0	5315915.2
26000000.0	5403873.3	5382906.3	5424921.9
27000000.0	5509479.0	5488368.9	5530670.4
