TOTAL_READS	EXPECTED_DISTINCT	LOWER_0.95CI	UPPER_0.95CI
0	0	0	0
2000000.0	1083942.0	1079700.1	1088200.5
4000000.0	1734342.5	1728707.3	1739996.0
6000000.0	2194514.5	2188042.8	2201005.4
8000000.0	2539316.0	2532934.0	2545714.1
10000000.0	2807010.5	2800466.4	2813569.9
12000000.0	3020898.0	3014590.2	3027219.0
14000000.0	3195089.0	3189043.5	3201145.9
16000000.0	3339525.0	3333858.3	3345201.3
18000000.0	3461280.5	3455958.0	3466611.2
20000000.0	3565057.5	3559931.4	3570191.0
22000000.0	3654504.5	3649656.4	3659359.0
24000000.0	3732504.5	3727904.6	3737110.1
26000000.0	3800706.5	3796233.9	3805184.3
28000000.0	3860921.0	3856585.6	3865261.2
30000000.0	3914992.0	3911058.3	3918929.7
32000000.0	3962817.0	3958943.7	3966694.0
34000000.0	4006578.0	4002934.6	4010224.7
36000000.0	4045816.5	4042197.4	4049438.8
38000000.0	4081695.5	4078286.2	4085107.7
40000000.0	4114386.5	4111146.1	4117629.4
