#Transcript position	Transcript coverage profile
0.0	606.2246638365543
1.0	1067.659005322208
2.0	1402.650478493951
3.0	1587.174902034246
4.0	1768.6862745634792
5.0	1947.0147798764172
6.0	2038.758742679856
7.0	2048.147241457242
8.0	2002.9872155633952
9.0	2071.2882782448833
10.0	2131.017636940083
11.0	2161.0226972067544
12.0	2183.022084494294
13.0	2291.639461186679
14.0	2425.452262961912
15.0	2491.3325621841536
16.0	2586.561738780193
17.0	2611.351292608039
18.0	2540.6911969020584
19.0	2538.0601455252477
20.0	2578.6858642672046
21.0	2574.6807165480373
22.0	2576.7901468637147
23.0	2754.2420380552126
24.0	2840.564219398459
25.0	2846.277157942434
26.0	2937.8030042699047
27.0	3103.6238796998937
28.0	3354.8841692366586
29.0	3391.619953030917
30.0	3313.615583139754
31.0	3151.1204220741547
32.0	2961.6822892363675
33.0	3015.3358286384996
34.0	3108.287734759353
35.0	3145.001310804404
36.0	3187.550919073462
37.0	3240.515149154378
38.0	3260.85485652733
39.0	3303.217271974142
40.0	3307.052975668625
41.0	3352.011078094264
42.0	3374.5730648297563
43.0	3352.9548997090665
44.0	3353.6394925108743
45.0	3405.630405130346
46.0	3458.412730060563
47.0	3412.9935522317323
48.0	3364.711324280485
49.0	3266.444162919427
50.0	3230.0301580202936
51.0	3196.259401536177
52.0	3287.941307627046
53.0	3339.7619338134236
54.0	3379.9066901025803
55.0	3343.327194668787
56.0	3280.852993697908
57.0	3202.9021911189334
58.0	3268.85390801317
59.0	3311.250213698512
60.0	3339.3834507679185
61.0	3317.588519845059
62.0	3291.7927256070247
63.0	3286.015643697476
64.0	3368.058569345927
65.0	3358.4123674187845
66.0	3332.103818433524
67.0	3370.1359349457307
68.0	3397.103528500064
69.0	3346.2434336194656
70.0	3393.6155432543756
71.0	3365.8097875938993
72.0	3396.5348389648047
73.0	3423.864655708012
74.0	3512.24996195294
75.0	3613.233002218837
76.0	3793.3791951907847
77.0	3923.866173304874
78.0	3887.703232037848
79.0	3808.962439598402
80.0	3643.1231270814524
81.0	3590.9167485856115
82.0	3579.0307311570423
83.0	3491.7857714692273
84.0	3445.9977038897023
85.0	3453.364504586203
86.0	3364.2240066728427
87.0	3355.6765515217953
88.0	3338.5625871724633
89.0	3368.6894102685774
90.0	3287.599754681769
91.0	3160.040903995635
92.0	2959.883917470667
93.0	2830.4706867985287
94.0	2486.32512874418
95.0	2085.907696153765
96.0	1549.0114100518317
97.0	954.4004363475369
98.0	458.4464909641405
99.0	106.4652611607222
