id,strand,fivelen,threelen,polyAlen,insertlen,primer
m64014_190506_005857/460004/ccs,+,25,23,62,2145,NEB_5p--NEB_Clontech_3p
m64014_190506_005857/460098/ccs,+,25,24,30,2011,NEB_5p--NEB_Clontech_3p
m64014_190506_005857/460415/ccs,+,22,25,30,3368,NEB_5p--NEB_Clontech_3p
m64014_190506_005857/460521/ccs,+,23,25,31,2132,NEB_5p--NEB_Clontech_3p
m64014_190506_005857/460603/ccs,+,25,23,31,1673,NEB_5p--NEB_Clontech_3p
m64014_190506_005857/460809/ccs,+,25,24,54,1993,NEB_5p--NEB_Clontech_3p
m64014_190506_005857/461524/ccs,+,23,22,40,6635,NEB_5p--NEB_Clontech_3p
m64014_190506_005857/524592/ccs,+,22,25,30,1635,NEB_5p--NEB_Clontech_3p
m64014_190506_005857/524891/ccs,+,25,22,28,4984,NEB_5p--NEB_Clontech_3p
m64014_190506_005857/525291/ccs,+,22,25,50,2366,NEB_5p--NEB_Clontech_3p
m64014_190506_005857/525409/ccs,+,25,23,29,1753,NEB_5p--NEB_Clontech_3p
m64014_190506_005857/525991/ccs,+,25,23,30,3669,NEB_5p--NEB_Clontech_3p
m64014_190506_005857/526131/ccs,+,23,24,29,2542,NEB_5p--NEB_Clontech_3p
m64014_190506_005857/526276/ccs,+,23,25,28,1665,NEB_5p--NEB_Clontech_3p
m64014_190506_005857/527083/ccs,+,23,25,27,2025,NEB_5p--NEB_Clontech_3p
m64014_190506_005857/589858/ccs,+,23,22,30,1699,NEB_5p--NEB_Clontech_3p
m64014_190506_005857/589877/ccs,+,24,25,34,1536,NEB_5p--NEB_Clontech_3p
m64014_190506_005857/589906/ccs,+,23,25,34,5746,NEB_5p--NEB_Clontech_3p
m64014_190506_005857/590058/ccs,+,23,22,23,2063,NEB_5p--NEB_Clontech_3p
m64014_190506_005857/590157/ccs,+,23,25,33,2288,NEB_5p--NEB_Clontech_3p
m64014_190506_005857/590703/ccs,+,25,24,95,2571,NEB_5p--NEB_Clontech_3p
m64014_190506_005857/591014/ccs,+,23,25,28,1964,NEB_5p--NEB_Clontech_3p
m64014_190506_005857/591212/ccs,+,25,22,27,2584,NEB_5p--NEB_Clontech_3p
m64014_190506_005857/591759/ccs,+,25,23,34,2754,NEB_5p--NEB_Clontech_3p
m64014_190506_005857/592697/ccs,+,24,25,29,2079,NEB_5p--NEB_Clontech_3p
m64014_190506_005857/655386/ccs,+,25,22,29,1343,NEB_5p--NEB_Clontech_3p
m64014_190506_005857/655456/ccs,+,22,25,42,2410,NEB_5p--NEB_Clontech_3p
m64014_190506_005857/655570/ccs,+,23,23,36,2605,NEB_5p--NEB_Clontech_3p
m64014_190506_005857/655636/ccs,+,25,24,29,3446,NEB_5p--NEB_Clontech_3p
m64014_190506_005857/655684/ccs,+,25,24,33,1494,NEB_5p--NEB_Clontech_3p
m64014_190506_005857/655949/ccs,+,23,25,65,2249,NEB_5p--NEB_Clontech_3p
m64014_190506_005857/656251/ccs,+,25,25,30,2426,NEB_5p--NEB_Clontech_3p
m64014_190506_005857/656691/ccs,+,25,23,31,3764,NEB_5p--NEB_Clontech_3p
m64014_190506_005857/657046/ccs,+,22,22,32,3936,NEB_5p--NEB_Clontech_3p
m64014_190506_005857/657186/ccs,+,21,25,36,1903,NEB_5p--NEB_Clontech_3p
m64014_190506_005857/657387/ccs,+,24,23,31,1731,NEB_5p--NEB_Clontech_3p
m64014_190506_005857/657907/ccs,+,22,25,29,1653,NEB_5p--NEB_Clontech_3p
m64014_190506_005857/658028/ccs,+,25,23,200,1061,NEB_5p--NEB_Clontech_3p
m64014_190506_005857/721004/ccs,+,25,21,29,1757,NEB_5p--NEB_Clontech_3p
m64014_190506_005857/721181/ccs,+,25,24,24,1731,NEB_5p--NEB_Clontech_3p
m64014_190506_005857/721365/ccs,+,21,25,32,1088,NEB_5p--NEB_Clontech_3p
m64014_190506_005857/721421/ccs,+,25,24,31,4536,NEB_5p--NEB_Clontech_3p
m64014_190506_005857/721703/ccs,+,25,22,30,2470,NEB_5p--NEB_Clontech_3p
m64014_190506_005857/721777/ccs,+,25,22,28,4774,NEB_5p--NEB_Clontech_3p
m64014_190506_005857/721786/ccs,+,22,25,36,2229,NEB_5p--NEB_Clontech_3p
m64014_190506_005857/721826/ccs,+,23,25,30,1842,NEB_5p--NEB_Clontech_3p
m64014_190506_005857/721862/ccs,+,22,24,31,2148,NEB_5p--NEB_Clontech_3p
m64014_190506_005857/721935/ccs,+,25,23,29,3276,NEB_5p--NEB_Clontech_3p
m64014_190506_005857/722043/ccs,+,25,23,31,2118,NEB_5p--NEB_Clontech_3p
m64014_190506_005857/722581/ccs,+,25,22,29,3649,NEB_5p--NEB_Clontech_3p
m64014_190506_005857/722616/ccs,+,23,25,32,2133,NEB_5p--NEB_Clontech_3p
m64014_190506_005857/722996/ccs,+,22,25,29,1800,NEB_5p--NEB_Clontech_3p
m64014_190506_005857/723056/ccs,+,23,25,83,3039,NEB_5p--NEB_Clontech_3p
m64014_190506_005857/723314/ccs,+,25,23,35,1390,NEB_5p--NEB_Clontech_3p
m64014_190506_005857/723358/ccs,+,24,25,136,1149,NEB_5p--NEB_Clontech_3p
m64014_190506_005857/723401/ccs,+,23,25,28,2367,NEB_5p--NEB_Clontech_3p
m64014_190506_005857/723634/ccs,+,25,22,29,2635,NEB_5p--NEB_Clontech_3p
m64014_190506_005857/786486/ccs,+,22,25,28,1702,NEB_5p--NEB_Clontech_3p
m64014_190506_005857/786580/ccs,+,23,24,28,3496,NEB_5p--NEB_Clontech_3p
m64014_190506_005857/786752/ccs,+,23,25,34,2064,NEB_5p--NEB_Clontech_3p
m64014_190506_005857/786810/ccs,+,22,25,33,2470,NEB_5p--NEB_Clontech_3p
m64014_190506_005857/786840/ccs,+,23,25,29,3513,NEB_5p--NEB_Clontech_3p
m64014_190506_005857/787045/ccs,+,25,22,34,1552,NEB_5p--NEB_Clontech_3p
m64014_190506_005857/787362/ccs,+,23,25,30,2218,NEB_5p--NEB_Clontech_3p
m64014_190506_005857/787904/ccs,+,25,21,24,3828,NEB_5p--NEB_Clontech_3p
m64014_190506_005857/787944/ccs,+,25,22,30,2310,NEB_5p--NEB_Clontech_3p
m64014_190506_005857/788061/ccs,+,25,22,29,2727,NEB_5p--NEB_Clontech_3p
m64014_190506_005857/788085/ccs,+,25,22,31,3869,NEB_5p--NEB_Clontech_3p
m64014_190506_005857/788101/ccs,+,25,23,29,2752,NEB_5p--NEB_Clontech_3p
m64014_190506_005857/788357/ccs,+,25,22,61,3537,NEB_5p--NEB_Clontech_3p
m64014_190506_005857/788555/ccs,+,23,25,27,4844,NEB_5p--NEB_Clontech_3p
m64014_190506_005857/789090/ccs,+,25,23,34,2720,NEB_5p--NEB_Clontech_3p
m64014_190506_005857/852249/ccs,+,23,23,31,1621,NEB_5p--NEB_Clontech_3p
m64014_190506_005857/852323/ccs,+,22,25,136,2896,NEB_5p--NEB_Clontech_3p
m64014_190506_005857/852338/ccs,+,23,23,340,1196,NEB_5p--NEB_Clontech_3p
m64014_190506_005857/852388/ccs,+,23,25,95,2864,NEB_5p--NEB_Clontech_3p
m64014_190506_005857/852413/ccs,+,25,23,30,2074,NEB_5p--NEB_Clontech_3p
m64014_190506_005857/852436/ccs,+,25,23,34,1734,NEB_5p--NEB_Clontech_3p
m64014_190506_005857/852869/ccs,+,25,23,39,6490,NEB_5p--NEB_Clontech_3p
m64014_190506_005857/852953/ccs,+,25,22,123,1649,NEB_5p--NEB_Clontech_3p
m64014_190506_005857/853786/ccs,+,25,23,30,3624,NEB_5p--NEB_Clontech_3p
m64014_190506_005857/854452/ccs,+,25,24,28,2559,NEB_5p--NEB_Clontech_3p
m64014_190506_005857/854648/ccs,+,25,23,29,2201,NEB_5p--NEB_Clontech_3p
m64014_190506_005857/854673/ccs,+,20,25,32,1516,NEB_5p--NEB_Clontech_3p
m64014_190506_005857/917742/ccs,+,21,23,29,2850,NEB_5p--NEB_Clontech_3p
m64014_190506_005857/918933/ccs,+,23,25,35,1163,NEB_5p--NEB_Clontech_3p
m64014_190506_005857/919361/ccs,+,25,23,31,2784,NEB_5p--NEB_Clontech_3p
m64014_190506_005857/919596/ccs,+,25,23,31,2202,NEB_5p--NEB_Clontech_3p
m64014_190506_005857/919936/ccs,+,25,21,26,2032,NEB_5p--NEB_Clontech_3p
m64014_190506_005857/919945/ccs,+,25,23,29,1843,NEB_5p--NEB_Clontech_3p
m64014_190506_005857/920048/ccs,+,25,23,42,2195,NEB_5p--NEB_Clontech_3p
m64014_190506_005857/984499/ccs,+,23,25,33,2034,NEB_5p--NEB_Clontech_3p
m64014_190506_005857/984605/ccs,+,23,19,30,2433,NEB_5p--NEB_Clontech_3p
m64014_190506_005857/984772/ccs,+,23,25,31,4731,NEB_5p--NEB_Clontech_3p
