#FILE	NUM_FOUND	blaOXA-605	blaOXA-659
ncbi.PNUSAC001326-UT-M70330-170113-.out.tab	2	99.75	7.13
ncbi.PNUSAC001327-UT-M70330-170113-.out.tab	2	99.75	7.13
ncbi.PNUSAC001328-UT-M70330-170113-.out.tab	2	99.75	7.13
ncbi.PNUSAC001329-UT-M70330-170113-.out.tab	2	99.75	7.13
ncbi.PNUSAC001330-UT-M70330-170113-.out.tab	2	99.75	7.13
ncbi.PNUSAC001331-UT-M70330-170113-.out.tab	2	99.75	7.13
ncbi.PNUSAC001332-UT-M70330-170113-.out.tab	2	99.75	7.13
ncbi.PNUSAC001333-UT-M70330-170113-.out.tab	2	99.75	7.13
ncbi.PNUSAC001334-UT-M70330-170113-.out.tab	2	99.75	7.13
ncbi.PNUSAC001335-UT-M70330-170113-.out.tab	2	99.75	7.13
ncbi.PNUSAC001336-UT-M70330-170113-.out.tab	2	99.75	7.13
ncbi.PNUSAC001337-UT-M70330-170113-.out.tab	2	99.75	7.13
ncbi.PNUSAC001338-UT-M70330-170113-.out.tab	2	99.75	7.13
ncbi.PNUSAC001339-UT-M70330-170113-.out.tab	2	99.75	7.13
ncbi.PNUSAC001340-UT-M70330-170113-.out.tab	2	99.75	7.13
ncbi.PNUSAC001341-UT-M70330-170113-.out.tab	2	99.75	7.13
ncbi.PNUSAC001342-UT-M70330-170113-.out.tab	2	99.75	7.13
ncbi.PNUSAC001343-UT-M70330-170113-.out.tab	2	99.75	7.13
ncbi.PNUSAC001344-UT-M70330-170113-.out.tab	2	99.75	7.13
ncbi.PNUSAC001345-UT-M70330-170113-.out.tab	2	99.75	7.13
